行号	疑似误识	建议术语	原句
13	基细胞	壁细胞	兴师基细胞的这个这么一个标本啊,这么一个细胞来记录,RK1内向这种假通道,在不同摩电位情况下开放成都的这么一个实验记录图,这个图我们就称之为RK1的RIV电流电压关系曲线,我们叫RIV曲线,这个图在生理学,特别在电视力学的特别特殊,但是对我们理解更深层次的一些性别活动的发生与极其重要,
16	衡点位	锋电位	为什么呀,你还记得西方那一张,假粒子的平衡点位,进气点位,这个情况下,正好对假粒子来说,这个-90毫伏的电场力,阻碍了假粒子浓度差的动力,达到平衡状态,但是当然你要细致点的话,你在西方那张学过,说假粒子平衡点位理论上应该是多少,是-95毫伏,-90这么的平衡呢,说明新式机器宝,不但有RK1,还有一些纳豆通道,
16	衡点位	锋电位	为什么呀,你还记得西方那一张,假粒子的平衡点位,进气点位,这个情况下,正好对假粒子来说,这个-90毫伏的电场力,阻碍了假粒子浓度差的动力,达到平衡状态,但是当然你要细致点的话,你在西方那张学过,说假粒子平衡点位理论上应该是多少,是-95毫伏,-90这么的平衡呢,说明新式机器宝,不但有RK1,还有一些纳豆通道,
105	酸症度	酸中毒	高滤酸症度,
405	机细胞	壁细胞	心机细胞有两种,
527	基细胞	壁细胞	新式基细胞,
576	机细胞	壁细胞	那么这个书叫心机细胞,
738	虚极化	去极化	07虚极化消耗时间很少,
897	机细胞	壁细胞	接下来在新机细胞电活动这儿,
963	速复机	壶腹嵴	快速复机晚期复机化的,
969	入复机	壶腹嵴	摸就开始重新进入复机化,
980	机细胞	壁细胞	它在新时期和豆方机细胞三期的作用都非常巨大,
986	机细胞	壁细胞	新时机细胞一般是在复期有时,
987	机细胞	壁细胞	我们这儿在学新时机细胞动列位,
995	机细胞	壁细胞	新时机细胞动列位第四期,
1010	纳甲梦	钠钾泵	发现这个是纳甲梦的生电作用,
1018	机细胞	壁细胞	而你一度新时机细胞动列位发现,
1027	纳甲梦	钠钾泵	是纳甲梦的生电作用产生的,
1030	机细胞	壁细胞	那么莫非新时机细胞这个纳内流,
1034	纳甲梦	钠钾泵	纳甲梦在新机细胞上正好是存在的,
1034	机细胞	壁细胞	纳甲梦在新机细胞上正好是存在的,
1037	机细胞	壁细胞	你还记得细胞内障的第四级的机细胞收缩,
1038	机细胞	壁细胞	人家这个谷歌机细胞收缩,
1048	机细胞	壁细胞	但是新机细胞一定还记得,
1055	机细胞	壁细胞	进来之后再触发新机细胞内部,
1060	机细胞	壁细胞	新机细胞膜,
1067	机细胞	壁细胞	但新机细胞还需要多一块,
1137	基细胞	壁细胞	骨骼基细胞动作电位,
1238	基细胞	壁细胞	新石基细胞,
1239	基细胞	壁细胞	新黄基细胞,
1242	基细胞	壁细胞	新石基细胞叫快反应细胞,
1267	基细胞	壁细胞	新石基细胞复70,
1296	基细胞	壁细胞	所以新石基细胞动作列位,
1337	基细胞	壁细胞	新式基细胞,
1342	基细胞	壁细胞	新式基细胞,
1359	基细胞	壁细胞	借导着新式基细胞,
1368	基细胞	壁细胞	新式基细胞的进气电位,
1375	基细胞	壁细胞	那么新式基细胞,
1401	去旗化	去极化	就像零七纳内流去旗化一样,
1408	去旗化	去极化	零七去旗化,
1594	机细胞	壁细胞	你还记不记得在细胞内脏的机细胞收缩,
1615	际细胞	壁细胞	星际细胞的电活动,
1626	积细胞	壁细胞	还有新房积细胞,
1627	积细胞	壁细胞	它的时程比新室积细胞稍微短一点,
1698	机细胞	壁细胞	就是一个心机细胞,
1739	虚极化	去极化	它的灵细虚极化,
1748	虚极化	去极化	自动虚极化,
1758	虚极化	去极化	零期虚极化,
1789	糊计划	去极化	IK在模糊计划的时候,
1842	基细胞	壁细胞	但是它的动作的形状和性质基细胞,
1863	气自动虚极化	期自动去极化	特别是四气自动虚极化,
1863	虚极化	去极化	特别是四气自动虚极化,
