行号	疑似误识	建议术语	原句
70	心知识	心指数	这是咱们这一章一个核心知识。
204	未代白酶元	胃蛋白酶原	未代白酶元,
204	未代白酶	胃蛋白酶	未代白酶元,
206	乙代白酶元	胰蛋白酶原	乙代白酶元,
207	乙代白酶元	胰蛋白酶原	乙代白酶元,
278	时候强	视后像	所以到内科学的时候强调一个词,
367	糜带白酶	糜蛋白酶	第四块是胰带白酶和糜带白酶,
376	糜带白酶	糜蛋白酶	糜带白酶都是酶原性是存在的,
386	糜带白酶	糜蛋白酶	而糜带白酶就是由激活的胰带白酶,
389	胰带白酶原	胰蛋白酶原	胰带白酶原是被胰带白酶激活的。
394	胰带白酶原	胰蛋白酶原	胰带白酶原是被肠积酶激活的。
410	胰带白酶原	胰蛋白酶原	它负责激活胰带白酶原的。
419	去激活	去极化	它只是去激活一下胰带白酶。
436	胰带白酶原	胰蛋白酶原	另外除了胰带白酶原和米胰带白酶原以外,
436	胰带白酶原	胰蛋白酶原	另外除了胰带白酶原和米胰带白酶原以外,
527	氧分泌	旁分泌	叫酶氧分泌,
528	氧分泌	旁分泌	酶氧分泌,
530	氧分泌	旁分泌	酶氧分泌这样一个内物类版,
588	复返会	负反馈	有一个复返会抑制作用,
624	氧分泌	旁分泌	碱性水氧分泌和酶氧分泌,
624	氧分泌	旁分泌	碱性水氧分泌和酶氧分泌,
626	氧分泌	旁分泌	水氧分泌是什么,
627	氧分泌	旁分泌	是水氧分泌不够,
849	呼吸胜	呼吸商	和咱们呼吸胜利确认,
1169	去激活	去极化	它只是去激活一代白美联,
1799	内部细	内呼吸	大肠内部细菌的作用
1884	食物吸	施呼吸	所以食物吸收
1884	物吸收	骨吸收	所以食物吸收
1907	食物吸	施呼吸	为什么说小肠是食物吸收最主要的部位
1907	物吸收	骨吸收	为什么说小肠是食物吸收最主要的部位
2174	五吸收	骨吸收	所以在无激五吸收里边
2186	组吸收	骨吸收	所以消化组吸收的铁的量不大
2427	体化扩散	易化扩散	是载体化扩散的
2436	体化扩散	易化扩散	果糖是载体化扩散
