# 源音频：P59-生理学本科教学及考研基础课 p59 神经系统10-去大脑僵直.m4a
# 时长：3600s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们上节课谈了一下一个简单的概念,叫古国机械量感受。
[00:00:17] 实际上这是神经生理学乃至整个生理学三盟开始慢慢进入专业领域的一个切入的一扇大门。
[00:00:26] 所以说我这一做,我这要接着开始讲这个话题,我在想这个事儿,学生大概看一个知识点和老师看的角度不太一样。
[00:00:34] 大概这也是师生之间应该是携手并进,一起在这个医学的阳关大道上携手牵引的一个需要,一个价值所在。
[00:00:49] 上节课咱们讲到古国机械量反射的时候,景生谈了一个词在零下课的时候,说你这一回听完课之后,你和你读书去对比,咱们发现我想要积缩信奉,我有两个办法。
[00:01:01] 你背到教材古国机械量反射的概念本身的时候,他背的是
[00:01:05] 我牵拉肌肉,把肌肉拉长的时候,造成骨骼界的长度感受器,积缩信奉。
[00:01:12] 但是通过听课,通过读书思考,你会发现,我要不拉长肌肉的时候,单纯只是脊髓前脚的伽马神经元,它放点水平增高,它这个缩内肌啊,往两头牵拉一下。
[00:01:26] 一种是拉长肌肉,引发肌肉一个反射性的收缩,一个是我不拉肌肉的时候,我让肌缩内部,你看一个是外动,
[00:01:34] 一个是内动,你体会这两个拇指的间距改变。
[00:01:38] 在这我们复习了一个基本概念,说骨骼肌一块肌肉,我们为了研究它的活动特征,从解剖角度看过去,它有一个动点,一个定点。
[00:01:48] 但是在这个地方你不要着急,你再往下读书,我教材写了一个东西,说如果是我生理性脑下,我把肌肉拉长一下,骨骼肌发生,
[00:01:57] 间反射过来,肌紧张,切断反射,那么在一个正常的切断反射过程中,伽马神经元放点水平。
[00:02:04] 所以我拿手中逆笔画一下,你比如说这是一个肌缩,它们连了很多缩摆肌,肌肉原来长度这么长,肌肉多长,肌缩长在五合肌纤维的之间,叫并联关系。
[00:02:18] 肌肉这么长,肌缩也这么长,现在我一拉肌肉,啪一拉,肌肉反射进来,回缩,整个肌肉缩短了,你看咱们这个鼠标线,在肌肉缩短的时候,肌缩如果不发生相应改变,肌肉短的时候肌缩,就折回来了。
[00:02:34] 那么这个情况下,在这个背景情况下,我要想让肌缩信奉一下,我得先把肌缩拉直,再使劲拉,它才会信奉。
[00:02:44] 你想说什么不,这就开始升级了,所以你发现你背的是标配,靠的是plus版,是plus and pro,为什么这样,一体会一下。
[00:02:54] 肌肉在一个正常的自然程度的时候,肌缩自然像肌肉一样,它是绷紧的,像一根这个吉他的琴弦一样,绷紧的。
[00:03:03] 现在如果肌肉稍微,
[00:03:04] 有点短,我这个肌缩就是松弛的。
[00:03:06] 我这个情况下,想让肌缩信奉,我得首先把肌肉拉到一定长度,绷紧之后再拉,它才会信奉。
[00:03:13] 但是人长得没这么笨呀,所以实际上在生理的繁殖内部,不管肌肉长一点,还是肌肉短一点,其实肌缩,它的感受装置都是绷紧的。
[00:03:23] 那么这样怎么绷紧,我拿手给你比划一看,这是肌缩,我拇指和它比划,这是缩内肌,这边一段缩内肌,这边缩内肌。
[00:03:32] 所以刚才咱们讲到,
[00:03:33] 我复习上一节课说,我要是把肌肉拉长,肌缩长到信奉了,我不拉肌肉,我刺你杆嘛,把缩内肌这么收缩一下,你看,这装置,你看这两个拇指之间,长度是不是也会变长。
