行号	误识	纠正为	置信度	原句
14	基底神经解	基底神经节	high	一说神经生理学,他连基底神经解,帕金森定,亨廷顿,别说是细节,连名字都不懂。
54	脊羞科	脊休克	high	脊椎一下反应不过来,出于脊羞科。
55	脊羞科	脊休克	high	然后过一点时间吧,脊羞科就恢复了。
56	脊羞科	脊休克	high	脊羞科恢复以后,脊椎重新恢复它的支配能力了。
61	趋击反射	屈肌反射	high	第一个就是咱们学上的属于的趋击反射。
70	趋击反射	屈肌反射	high	有时候我讲课,我讲一句话说,趋击反射是单突出。
73	趋击反射	屈肌反射	high	设想一下,趋击反射快不快。
187	趋击反射	屈肌反射	high	趋击反射,
192	趋击反射	屈肌反射	high	这就叫趋击反射,
197	趋击反射	屈肌反射	high	先恢复的是趋击反射,
332	几休克	脊休克	high	所以几休克恢复以后,
336	几休克	脊休克	high	你不像几休克的时候,
343	拍鞭反射	排便反射	high	没有这个拍鸟拍鞭反射,
355	拍鞭反射	排便反射	high	没有拍鸟拍鞭反射,
370	结间反射	节间反射	high	像这个脊髓的结间反射,
372	扫帕反射	搔爬反射	high	能产生一个扫帕反射,
391	前掌反射	牵张反射	high	就是五个肌的前掌反射,
393	前掌反射	牵张反射	high	世界上有关前掌反射这四个字,
395	前掌反射	牵张反射	high	依次是肺的前掌反射,
405	前掌反射	牵张反射	high	因为肺的前掌反射的传入神经,
412	前掌反射	牵张反射	high	著名的骨骼肌前掌反射,
423	前掌反射	牵张反射	high	这个骨骼前掌反射,
424	感受起	感受器	high	感受起和效应其实同一块肌肉,
432	脊锈刻	脊休克	high	不是脊锈刻的,
524	管心病	冠心病	high	为什么有一个管心病,
556	前掌反射	牵张反射	high	没有前掌反射,
569	前掌反射	牵张反射	high	这个现象叫骨骼前掌反射,
571	脊紧张	肌紧张	high	间感射和脊紧张,
592	间器官	腱器官	high	是间器官诱发的,
595	间器官	腱器官	high	间器官是骨骼肌的张力感受器,
596	前掌反射	牵张反射	high	前掌反射感受器是肌缩,
597	间器官	腱器官	high	间器官诱发的反射,
598	前掌反射	牵张反射	high	叫前掌反射,
601	脊紧张	肌紧张	high	间反射和脊紧张,
603	脊紧张	肌紧张	high	间反射和脊紧张,
605	间器官	腱器官	high	间器官诱发那玩意叫反,
606	前掌反射	牵张反射	high	前掌反射,
623	间器官	腱器官	high	说间器官当然是,
625	间器官	腱器官	high	间器官要反射,
769	既紧张	肌紧张	high	既紧张
780	既紧张	肌紧张	high	既紧张更多的时候
794	既紧张	肌紧张	high	所以这个既紧张
795	多突出反射	多突触反射	high	是一个典型多突出反射
801	既紧张	肌紧张	high	这个叫既紧张
802	既紧张	肌紧张	high	所以这个间反射既紧张
906	中枢严格	中枢延搁	high	差不多中枢严格传一次
914	既紧张	肌紧张	high	既紧张是一个缩外肌的缓慢
930	既紧张	肌紧张	high	既紧张更多的是长度不变
936	既紧张	肌紧张	high	既紧张是紧张收缩
941	既紧张	肌紧张	high	对于既紧张有些影响呀
961	趋吉反射	屈肌反射	high	增强的趋吉反射
1044	感受起	感受器	high	感受起是激缩
1046	感受起	感受器	high	激缩作为感受起
1114	件器官	腱器官	high	二件器官
1117	件器官	腱器官	high	件器官和肌线位
1150	缩内肌线位	梭内肌纤维	high	缩内肌线位
1470	见乞官	腱器官	high	见乞官和缩外肌
1473	见反射	腱反射	high	见反射
1475	即紧张	肌紧张	high	即紧张
