行号	误识	纠正为	置信度	原句
20	预电位	阈电位	high	能电位,预电位这样一些话题,实际上就是想给细胞的,心机细胞的生物电,它的活动,打一个初步基础。
44	防湿严格	房室延搁	high	你看咱们胸膀肌肉学完之后,什么全新舒张期,什么防湿严格,脑子里专业数越来越多。
47	防湿严格	房室延搁	high	你都没有背过防湿严格四个字,你理解谁?
75	心脚痛	心绞痛	high	肺心病的,冠心病心梗的,心脚痛的。
128	痘性节律	窦性节律	high	它把痘性节律从右心室,
165	区计划	去极化	high	区计划,
166	负计划	复极化	high	负计划,
167	区计划	去极化	high	区计划,
168	负计划	复极化	high	负计划,
176	区计划	去极化	high	区计划,
177	负计划	复极化	high	负计划,
178	区计划	去极化	high	区计划,
287	动作点位	动作电位	high	是在细胞膜动作点位基础之上,
293	动作点位	动作电位	high	所以从膜的动作点位,
305	收缩欧联	收缩耦联	high	就是兴奋以后和收缩欧联起来的,
310	收缩欧联	收缩耦联	high	兴奋收缩欧联,
314	动作点位	动作电位	high	要没有动作点位,
316	收缩呀	收缩压	high	怎么收缩呀,
387	预刺激	阈刺激	high	它需要接受一个预刺激,
410	豆性节律	窦性节律	high	我们把正常的心脏活动叫做豆性节律,
465	自动解律性	自动节律性	high	是具有自动解律性的,
469	自动解律性	自动节律性	high	也是具有自动解律性的,
524	斗性节律	窦性节律	high	我们叫做斗性节律,
677	动作点位	动作电位	high	动作点位产生以后呀,
702	去计划	去极化	high	怎么去计划,
703	复计划	复极化	high	怎么复计划,
718	静息点位	静息电位	high	静息点位,
745	曲肌化	去极化	high	曲肌化,
746	腹肌化	复极化	high	腹肌化,
748	曲肌化	去极化	high	曲肌化,
749	腹肌化	复极化	high	腹肌化,
751	曲肌化	去极化	high	心房肌细胞曲肌化和腹肌化的这个实相,
751	腹肌化	复极化	high	心房肌细胞曲肌化和腹肌化的这个实相,
