行号	误识	纠正为	置信度	原句
33	机动剂	激动剂	high	生理学这门学科再往后门玩嘛,这个学期你学习你会发现,你学很多类似于受体啊,受体机动剂啊,
34	解抗剂	拮抗剂	high	解抗剂啊,交感神经兴奋,让心脏活动加强。
214	去钾肾上腺素	去甲肾上腺素	high	看看我给他加一个去钾肾上腺素,
918	神经地质	神经递质	high	就叫做交感神经的神经地质,
1026	美环境	内环境	medium	在美环境的恒定概念基础上,
1446	站立产热	战栗产热	high	非估计中站立产热,
1617	趋吉反射	屈肌反射	high	生理学叫趋吉反射,
2318	谢流量	血流量	medium	第二个人体代谢流量
2451	生理性支血	生理性止血	high	我们叫生理性支血
2747	主动脉工	主动脉弓	high	主动脉工呀
2758	复返亏	负反馈	high	叫复返亏
2760	复返亏	负反馈	high	复返亏就不好使
2780	复返亏	负反馈	high	这是典型一个复返亏
2792	复返亏	负反馈	high	怎么不给我复返亏的
2826	复返会	负反馈	medium	就不再接受复返会了
3221	复返回	负反馈	medium	复返回正反馈
3286	复反馈	负反馈	high	复反馈
