行号	疑似误识	建议术语	原句
43	感受压	感受野	它这个感受压力变化以后,就是以弥走神经感传入。
101	内脏供	内脏痛	所以我们从安静时候,内脏供血为主,到跑步时候,骨骼鸡供血为主,这一章就特别重要,叫血液的重新分配。
109	叫反射	腱反射	那么神经调节的话,必须有个结构,叫反射弧。
144	期长期	低常期	哎,这儿还有局部血流调节,还有动脉血压短期长期调节。
227	去激活	去极化	它就会把ATPC环化成CMP,然后它再去激活PKWGMA,WGMA激活之后,让心肌细胞帮忙盖通道,它代表着流算化。
237	气自动去医化	期自动去极化	不用想象,你给他吃了逆法不离地以后把他阻断了,那么动物环境细胞四气自动去医化的速度减慢,心率就减慢了。
237	去医化	去极化	不用想象,你给他吃了逆法不离地以后把他阻断了,那么动物环境细胞四气自动去医化的速度减慢,心率就减慢了。
256	心理失常	心律失常	就会让心脏的交界区传导减慢,能制造很多心理失常。
267	纳开交换体	钠钙交换体	甚至包括能够激活盖盆和纳开交换体。
267	激活盖	激活态	甚至包括能够激活盖盆和纳开交换体。
270	激活盖	激活态	如果激活盖盆,它就及时把盖给移走了,
295	丝细胞	壁细胞	会让斗黄结丝细胞第四期自动虚拟化速度加快,
392	机细胞	壁细胞	胆解是和心机细胞盲M2受体,
399	机细胞	壁细胞	因为它就会让心机细胞内部啊,
443	虚极化	去极化	变成虚极化超激化,
993	缸容量	氧容量	缸容量越来越小,
1177	到中树	饱中枢	到中树上,
1214	节叫反射	节间反射	说人体有一种功能调节叫反射,
1214	叫反射	腱反射	说人体有一种功能调节叫反射,
1215	叫反射	腱反射	反射结构基础叫反射弧,
1330	高种树	饱中枢	此外属的地方也都存在于到了咽喉并不是最高种树,
1741	音反射	近反射	抖音反射,
1761	音反射	近反射	每个人都长着抖音反射,
1765	音反射	近反射	他的抖音反射调定点,
1769	音反射	近反射	我这抖音反射,
1779	音反射	近反射	抖音反射过程,
2204	基态换	激肽原	但是要去基态换基态里边,
2254	基态缓	激肽原	与基态缓解态系统,
2308	比紧张	肌紧张	它的ARB比紧张数数体健康剂要更全面,
2319	皮质基素	抑制激素	缺骨统在人体是一个极其重要的生长血皮质基素,
2320	皮质基素	抑制激素	叫盐皮质基素,
2501	球膀器	球旁器	球膀器在肾脏里边
2503	球膀细胞	球旁细胞	他的球膀细胞合成释放的一个
2511	球膀器	球旁器	自身就是注明的球膀器
2527	础细胞	主细胞	刺激咱们的基础细胞
2533	础细胞	主细胞	基础细胞室保生素
2596	肾肠腺素	肾上腺素	肾肠腺素
2598	肾肠腺素	肾上腺素	去甲肾和肾肠腺素
2634	肾肠腺素	肾上腺素	如果打肾肠腺素的话
2654	肾肠腺素	肾上腺素	所以你打了肾肠腺素以后
2712	使用生	失用症	可以使用生长线素
2829	定兴奋	性兴奋	生长血组随制肯定兴奋
3036	基细胞	壁细胞	平滑基细胞内部产生CGMC
3039	基细胞	壁细胞	发生平滑基细胞的输胀
3124	康林药剂素	抗利尿激素	康林药剂素
3224	叫器官	腱器官	叫器官循环
