# 源音频：P70-生理学本科教学及考研基础课 p70 内分泌-第五节（肾上腺）.m4a
# 时长：3465s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:18] 好同学们,就像前面咱们谈过内分泌这个系统呀,东西特别杂,特别碎,特别多。
[00:00:26] 所以这样的话,咱们实际上在学习过程中试着给它归一下模块。
[00:00:31] 你比如说整个这一章贯穿始终的一个内容是所谓的复返规,三条靶腺轴,四个促激素。
[00:00:38] 然后你有第一块有一个激素的分类和作用机制的概念。
[00:00:43] 第二个你有一个下丘脑和腺垂体的这么一个,或者叫下丘脑和垂体。
[00:00:48] 这么一个模块的概念,里边夹杂一个生长激素,包括泌乳素等等。
[00:00:54] 那么第三个独立模块,像我刚才谈过的,甲状腺这个模块。
[00:00:59] 这事儿就是内分泌应该说独立出了一个很大的知识体系。
[00:01:03] 你也发现在甲状腺这块,咱们刻意的围绕着甲状腺功能抗净,甲状腺功能逼下,甲状螃蟹的损伤,
[00:01:12] 甚至包括一个甲状腺术后补不补甲状腺素,围绕着复返规的这种概念。
[00:01:18] 这些的掌握和应用,咱们做了很多阐述,所以做老师一直说,所有的一切不能举例子的医学,那就耍流氓。
[00:01:27] 就实际上你看见给人背的头头是刀,但是正经八百二你到临床医学去工作,你什么也不会。
[00:01:34] 如果甲状腺就是一个很大的独立体系的话,实际上第五届有关肾上界的内分泌,
[00:01:40] 这个模块对咱们医学生早期掌握医学,从肌肤到临床,它的意义更大。
[00:01:47] 其实医学生只要学到大学,只要学到医学,只要学到医学,
[00:01:48] 大二就应该明白。
[00:01:50] 不管什么原因吧,临床的糖皮质激素,老百姓俗称激素,
[00:01:55] 什么氢化可提松,
[00:01:57] 第三米松,包括胡锡力科里边的布德奈德,
[00:02:01] 福提卡松,这样一些东西。
[00:02:05] 激素的使用是非常广泛的,咱们都知道,在虚论局开始讲,
[00:02:09] 长期大剂量使用外围性糖皮质激素的话,不能突然停药。
[00:02:15] 一个是会造成激素的反跳,它的作用你突然撤掉以后,
[00:02:19] 这个病理的过程会突然反弹,变得更重,这是反跳作用。
[00:02:24] 一种是你突然停药之后,由于复返会的作用,
[00:02:28] 外围性的激素已经压抑了咱们体内的肾上血皮质轴。
[00:02:32] 这样你外围性激素突然停用了,体内又不能有效的,
[00:02:35] 合成需要的一个皮质激素。
[00:02:40] 那么这样很容易造成皮质微向。
[00:02:43] 所以肾上血皮质功能靠近或者是皮质功能低下,
[00:02:47] 都会有非常大的麻烦。
[00:02:50] 所以在肾上血皮质结构之后,应该好多医学生就一辈子记录了一个专业术语,
[00:02:54] 满月脸,水牛背,脂肪向心性的分布,向心肥胖,这些概念。
[00:03:01] 所以这些内容非常多,你也得往下看吧。
[00:03:04] 肾上腺的结构,我们知道,包括肾上腺的皮质和肾上腺的水质,
[00:03:08] 咱们分开阐述,而且就咱们学习来说的话,掌握更多的,
[00:03:13] 更关心,惦记更多的肾上腺皮质的问题。
[00:03:16] 皮质酮结构上,它有三层,所谓的球状、树状、网络带。
[00:03:21] 按照传统的,这是一个经典的生理学知识,按照传统的意义上的话,
[00:03:25] 这三层从结构和功能上,咱们是有所区分的。
[00:03:29] 但是慢慢慢慢到了第八、第九百,第九百教材,第九百教材的时候,它就变明朗了。
[00:03:36] 结构上肯定是球状、树状、网络带,所以按照传统意义的话,咱们掌握球状带主要是分泌全骨头人,所谓的盐皮质激素。
[00:03:46] 树状带主要分泌的是糖皮质激素,因氢化可提松微代表的皮质醇,也有少量皮质酮。
[00:03:52] 这是传统意义,传统意义上的网状带是合成和分泌,少量的一些性激素。
[00:03:59] 所以咱们学到这个地方也会发现,女性体内也是有特别在青春期的时候维持第二性征,维持外生之气的发育,
[00:04:07] 它的稳定的需要一定量的一个雄激素。
[00:04:10] 女性雄激素哪来的?
[00:04:12] 所以女性就是来自于食上一些皮质。
[00:04:15] 按照九百书的话,
[00:04:16] 咱们对于树状和网状带的分泌没有原来分别的那么清楚。
[00:04:21] 咱们现在一般认为是树状和网状带共同的都能分泌皮质醇,
[00:04:26] 但肯定是树状带分泌皮质醇更多。
[00:04:29] 但是不管树状还是网状带除了皮质醇以外,也能分泌少量的雄激素。
[00:04:35] 所以说这个地方写的就好说,网状带不但分泌一些性激素,也能分泌一些皮质醇。
[00:04:41] 所以这两个结构,树状和网状带的结构,咱们越来越不太会一谈呢。
[00:04:46] 但总体上讲的话,皮质醇这么一个著名的糖皮质激素,
[00:04:51] 这是医学上最大的一个知识体系之一了。
[00:04:53] 它实际上还是来自于树状带为主,原型是氢化可提松。
[00:04:58] 所以但是咱们一旦是学过药理学之后,
[00:05:01] 我们知道这一组皮质激素咱们开始谈了很多,
[00:05:04] 什么氢化可提松,波尼松,甲波尼龙,包括第三米松,
[00:05:09] 很多很多外用的,是把静脉的,口腹的等等。
[00:05:13] 那么这些里边咱们一定要强调一下,
[00:05:15] 这一次重新讲一下。
[00:05:16] 我们先学习,强调氢化可提松是原型,
[00:05:19] 说你强调原型干嘛老师?
[00:05:21] 咱们甲胀腺的模块,甲胀腺的模块谈为一个甲康微向的治疗,
[00:05:25] 你还记得?
[00:05:26] 咱们应用外围性的一个糖皮质激素冲击,
[00:05:29] 就给它短时间内给它大剂量糖皮质激素,
[00:05:32] 能够去有效的治疗和缓解甲康微向,
[00:05:37] 这样一个原理。
[00:05:38] 那么甲康微向治疗过程中,甲康的微向,
[00:05:41] 有氢化可提松,有第三米松,
[00:05:43] 有甲膨腺的那么多东西,我选有哪一个?
[00:05:46] 咱们在治疗甲康微向用的一般都是氢化可提松,
[00:05:48] 为什么呀?
[00:05:49] 因为氢化可提松是原型,
[00:05:51] 我们在临庖工作的时候喜欢叫氢考,
[00:05:54] 现在一般医生还这样叫,
[00:05:55] 氢化可提松简称氢考,
[00:05:57] 那啥叫氢考,不叫氢科,
[00:05:59] 不带而至,反正医学上有很多传统,
[00:06:02] 有很多传统的一些东西,
[00:06:03] 氢考,给它100毫克,120毫克,甚至200毫克,
[00:06:07] 大剂量冲击,
[00:06:09] 因为它是原型,
[00:06:10] 给到体内之后能直接发挥作用,
[00:06:13] 你要给它第三米松的话,
[00:06:14] 第三米松尽管作用更强,
[00:06:15] 应该是第三米松通胀剂量是氢化可提松的6倍,
[00:06:18] 我印象中是这个样子,
[00:06:20] 作用更强,
[00:06:21] 但是它需要到体内进一步转化成氢化可提松,
[00:06:25] 再发挥作用,
[00:06:26] 所以作用强,但是来的慢,
[00:06:28] 因此说你注意一下,
[00:06:30] 甲康微向的激素冲击用的是原型氢化可提松氢考,
[00:06:35] 而不用第三米松,
[00:06:36] 有这样一个临床的事实,
