# 源音频：P25-生理学本科教学及考研基础课 p25 呼吸-第一节（肺通气的动力）.m4a
# 时长：2998s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:01] 同学们大家好,我是生理教育室的刘东宝老师,非常高兴能够在课堂上和同学们见面。
[00:00:09] 这个学期教育室安排我给咱们一二系同学讲一下呼吸这么一章内容。
[00:00:18] 我们慢慢地从虚论开始学过细胞的功能,然后又学过血液的部分,包括上一章的循环系统。
[00:00:26] 那么第五章叫呼吸。
[00:00:30] 所以生理学这一门学科和其他的学科不太一样。
[00:00:34] 在基础学科很多个学科中,生理学一直强调功能。
[00:00:39] 别的学科你像解剖呀、足培呀,包括将来还有病理解剖等等,它更多强调的是结构,是形态学科。
[00:00:48] 生理学一直反复强调是功能学科,就是慢慢地你学习有体会。
[00:00:52] 所以在学完上一章,循环系统之后,你发现,血管不仅仅是一个管道,血管它的内皮还有强大内蜂蜜功能。
[00:01:01] 所以它在将来的血液循环过程中,对于凝血、抗凝、血管收缩、舒张等等一系列的生理活动,它都起到很强大的一个作用。
[00:01:12] 什么内皮素呀,什么内皮液性的舒张因子呀,内皮液性的超激化因子呀,这儿一些话题。
[00:01:18] 所以慢慢慢慢,这个学期经过生理学学习以后,我会更加的学习。
[00:01:19] 所以慢慢慢慢,这个学期经过生理学学习以后,我会更加的学习。
[00:01:21] 所以慢慢慢慢,这个学期经过生理学学习以后,我会更加的学习。
[00:01:51] 每一句话都会作为成堂证供。
[00:01:53] 在生理学这儿我想说一句话,你千万背过的每一句话,每一个字,每一个原理,每一个公式,在后面的学习中都要使用。
[00:02:03] 所以生理学一定要有一个比较正确的学习的思路和学习的理解。
[00:02:08] 不能说到期末我们在一起复习。
[00:02:10] 你读到呼吸就发现有很多循环系统内容要用。
[00:02:14] 读到生长时候发现细胞的,甚至血液的、循环的、呼吸的等等内容都要用。
[00:02:19] 到神经系统干脆。
[00:02:21] 背过的全要用。
[00:02:22] 所以它越往后面学,你需要在脑子里边调动的知识结构就越多。
[00:02:27] 假如你学完循环系统没有复习,直接学呼吸,就突然觉得很难。
[00:02:31] 就说老师在讲什么呀?
[00:02:32] 实际上他讲的很多内容,已经把前面学过的循环内容放在这边用了。
[00:02:38] 你慢慢就会发现,心肺是一家。
[00:02:41] 胸腔和腹腔是一家。
[00:02:44] 所以慢慢将来我还专门给同学们录了一个生理学的小校的扩展的课程,叫生理学与临床。
[00:02:50] 还专门谈的。
[00:02:51] 这两个话题。
[00:02:52] 你发现很多心脏不好的患者,没有死于心衰,死于呼吸功能衰竭。
[00:02:58] 所以慢慢慢慢咱们从大二到大三大四大五再往上走,你觉得知识体系越来越庞大,越来越丰富。
[00:03:04] 你发现你读的东西,都是前面所有东西堆砌起来以后,经过整合升级拿来再用。
[00:03:11] 不管它了,这也算是咱们在呼吸这一章的概述里边。
[00:03:16] 所谓老师与同学们讲一点,这叫展现动员吧。
[00:03:19] 就是这章内容该怎么学习。
[00:03:21] 咱们接着往下看。
[00:03:23] 呼吸这个概念比较通俗,生活中也总谈这个话题。
[00:03:27] 咱们通俗讲的呼吸,这教材给了个名字。
[00:03:30] Respiratory,就是机体与外界环境界的一个气体交换过程。
[00:03:36] 最初我们就这样背了一下过去了。
[00:03:38] 但实际上你作为专业的一个学生,临床医学专业,我们在来探讨这么一个话题的话,你发现它还有很多细节,值得咱们去思考,去商榷。
[00:03:49] 那么呼吸能干什么?
[00:03:50] 呼吸总体上是什么?
[00:03:51] 呼吸总体上是什么?
[00:03:51] 呼吸总体上是什么?
[00:03:51] 呼吸总体上是什么?
[00:03:51] 呼吸总体上是什么?
[00:03:51] 呼吸总体上是什么?
[00:03:52] 呼吸总体上是什么?
[00:03:52] 呼吸总体上是什么?
[00:03:52] 呼吸总体上是什么?
[00:03:52] 呼吸总体上是什么?
[00:03:52] 来看的话,是机体,应该也个意义上讲,机体的组织细胞摄入氧气,排出二氧化碳。
[00:04:00] 那么呼吸整个这个系统,就是为组织细胞,它的细胞代谢,来提供氧气,来排出它的代谢,为产二氧化碳。
