行号	疑似误识	建议术语	原句
461	脊细胞	壁细胞	然后内网层是把双脊细胞这一层然后再到
611	感受地点位	感受器电位	转换产生感受地点位的一个关键部位
612	感受地点位	感受器电位	那么产生感受地点位
618	击细胞	壁细胞	再往里边走就该谁就该水平细胞或双击细胞了
721	斯细胞	壁细胞	艾特瑟斯细胞层这叫外段
727	脊细胞	壁细胞	双脊细胞
898	基细胞	壁细胞	视追双基细胞是应接细胞之间1比1
1182	基细胞	壁细胞	骨骼基细胞说中板点位
1387	去形成	骨形成	去形成平台
1589	经济细胞	精子细胞	和一般的和神经细胞骨骼结细胞经济细胞去比较
1589	济细胞	壁细胞	和一般的和神经细胞骨骼结细胞经济细胞去比较
1683	觉细胞	血细胞	听觉细胞听毛细胞
1686	白龟管	半规管	就是白龟管头原的球囊
1689	计划去	易化区	该去计划去计划
1735	域化区	易化区	该区域化区域化
1809	视看细胞	施万细胞	视看细胞就一种是紫红织
1811	视蓝细胞	施万细胞	有视红细胞视绿细胞视蓝细胞
1819	去刺激	阈刺激	去刺激视网膜发现
1960	食物细	施呼吸	死弱的产生并不是由于缺乏某种食物细胞
1961	食物细	施呼吸	而是由于某种食物细胞反应的
1998	视感继胞	视杆细胞	咱们学过视感继胞了
2078	影示影	明适应	灵影示影相反
2085	影视觉	明视觉	灵影视觉就恢复了
2518	觉细胞	血细胞	有三种不同的视觉细胞来解释
