行号	误识	纠正为	置信度	原句
10	神经肌肉街头	神经肌肉接头	high	咱们说神经肌肉街头是具体的某一个结构
21	神经肌肉街头	神经肌肉接头	high	觉得说神经肌肉街头和突触街头前面就是胆气
24	中板电位	终板电位	high	后面上最后表现出来0.4个毫幅的微中板电位
44	容寿性数账	容受性舒张	high	什么容寿性数账是吧
167	心脚痛	心绞痛	high	便于心脚痛
297	超级化	超极化	high	这么一个超级化过程
338	曲继化	去极化	high	前膜曲继化电的活动
345	曲继化	去极化	high	引发后膜的曲继化呀
346	超级化	超极化	high	超级化
359	曲继化	去极化	high	突出前膜的曲继化
362	曲继化	去极化	high	因为只有前膜曲继化
366	曲继化	去极化	high	前膜曲继化的过程
375	曲继化	去极化	high	后膜曲继化幅度大小
376	曲继化	去极化	high	曲继化是不是合适
378	曲继化	去极化	high	那么后膜它的曲继化幅度
387	中板膜	终板膜	high	打死不做中板膜
388	中板膜	终板膜	high	中板膜完全是被动
423	区级化	去极化	high	有一些记录到就是区级化
424	超级化	超极化	high	有些记录到就是超级化
427	突出传递	突触传递	high	经过突出传递以后
429	区级化	去极化	high	有些是区级化
430	超级化	超极化	high	有些是超级化
431	区级化	去极化	high	有时候是区级化
432	超级化	超极化	high	有时候是超级化
436	突出传递	突触传递	high	经过突出传递以后
438	区级化	去极化	high	有些人在区级化
439	超级化	超极化	high	有些人在超级化
441	突出传递	突触传递	high	这个所谓的信奉性和意识性的突出传递
473	突出后点位	突触后电位	high	传统的突出后点位之后
475	突出后点位	突触后电位	high	比如说慢突出后点位
556	突出传递	突触传递	high	很多次的突出传递
603	超长期	超常期	high	超长期和低长期
603	低长期	低常期	high	超长期和低长期
605	复计化	复极化	high	细胞膜在复计化过程中
606	复计化	复极化	high	早期复计化早期
614	复计化	复极化	high	因此复计化过程中
618	预垫位	阈电位	high	那个预垫位的通道数量
672	突出传递	突触传递	high	再加上突出传递
676	突出传递	突触传递	high	神经肌头和突出传递
697	激松剂	激动剂	medium	统建堵激松剂
698	激松剂	激动剂	medium	二法营环摄毒激松剂
700	结抗剂	拮抗剂	high	受体的结抗剂
714	神经地质	神经递质	high	反正总之吐出前的神经地质释放
748	化学突出	化学突触	high	通传的有两种化学突出
750	化学突出	化学突触	high	化学突出有两种有固定的突出前模间隙和后模的经典定向的通传的
822	组织业	组织液	high	经过组织业
844	教改神经	交感神经	medium	所以这句话在教改神经上就是这样的东西
864	胶感神经	交感神经	high	还一部分来自于胶感神经末梢
866	胶感神经	交感神经	high	胶感神经释放地质以后
869	去张体	曲张体	high	去张体的形式
875	去张体	曲张体	high	所以听一下去张体
880	电图处	电突触	high	或者第三小块就是电图处
902	电突出	电突触	high	所以说假如说电突出和化学突出
902	化学突出	化学突触	high	所以说假如说电突出和化学突出
906	化学突出	化学突触	high	电学突出化学突出
910	化学突出	化学突触	high	化学突出是单向的
911	电突出	电突触	high	电突出是双向的
920	神经地质	神经递质	high	第一个不需要化学的神经地质参与
973	神经地质	神经递质	high	要需要化学性神经地质的话
989	电突出	电突触	high	电突出
994	化学突出	化学突触	high	化学突出
1008	化学突出	化学突触	high	化学突出
1010	电突出	电突触	high	是电突出
1014	电突出	电突触	high	电突出
1015	化学突出	化学突触	high	化学突出
1086	化学突出	化学突触	high	化学突出
1099	点突出	电突触	high	点突出
1351	结抗剂	拮抗剂	high	就叫结抗剂
1371	神经地质	神经递质	high	经典的神经地质的
1412	解抗剂	拮抗剂	high	有特异性的受激动解抗剂
1535	圣理学	生理学	high	是传统的神经圣理学的基本概念
1560	结抗剂	拮抗剂	high	HL受体结抗剂在消化系统
1595	突出后意志	突触后抑制	high	突出后意志
1600	突出前意志	突触前抑制	high	突出前意志
1622	阿片态	阿片肽	high	阿片态
1624	心房哪尿态	心房钠尿肽	high	心房哪尿态
1726	地质共存	递质共存	high	地质共存了
1738	地质共存	递质共存	high	所以地质共存
