行号	误识	纠正为	置信度	原句
4	解剖物小腔	解剖无效腔	high	好,同学们,咱们前两节课讲了一下呼吸系统的第一阶和第二阶,第一阶肺通气的原理和通气,包括一些肺功能的指标,通气功能的指标,特别是解剖物小腔、肺泡物小腔这些概念。
4	肺泡物小腔	肺泡无效腔	high	好,同学们,咱们前两节课讲了一下呼吸系统的第一阶和第二阶,第一阶肺通气的原理和通气,包括一些肺功能的指标,通气功能的指标,特别是解剖物小腔、肺泡物小腔这些概念。
33	呼吸伤	呼吸商	high	这个话题在咱们后面两章,在能量代谢的体能调节那一章就很简单提到呼吸伤呀,酸中毒碳中毒呀。
250	动作点位	动作电位	high	完全符合咱们在细胞内脏学的动作点位的特征,
353	养含量	氧含量	high	血氧含量和血红代白养含量,
354	养容量	氧容量	high	血氧容量和血红代白养容量,
362	养容量	氧容量	high	就把血红代白养容量,
363	养含量	氧含量	high	血红代白养含量,
701	氧力曲线	氧离曲线	high	氧力曲线啊,
715	氧力曲线	氧离曲线	high	一个是氧气运输的氧力曲线,
720	氧力曲线	氧离曲线	high	这儿先看氧力曲线,
721	氧力曲线	氧离曲线	high	氧力曲线是什么,
1276	灌埋循环	冠脉循环	high	灌埋循环,
1280	灌埋循环	冠脉循环	high	去灌埋循环,
1294	心肌梗丝	心肌梗死	high	你只听说过心肌梗丝,
1571	氧力曲线	氧离曲线	high	这就是著名的氧力曲线,
1572	氧力曲线	氧离曲线	high	那么氧力曲线不但有3段的生理意义,
1573	氧力曲线	氧离曲线	high	氧力曲线还有一个话题,
1575	氧力曲线	氧离曲线	high	叫影响氧力曲线的因素,
1576	氧力曲线	氧离曲线	high	氧力曲线的因素写到很多教材上,
1582	氧力曲线	氧离曲线	high	但是氧力曲线是个例外,
1584	氧力曲线	氧离曲线	high	氧力曲线刚才背了是干嘛的,
1904	氧力曲线	氧离曲线	high	氧力曲线,
1926	氧力曲线	氧离曲线	high	氧力曲线,
1935	氧力曲线	氧离曲线	high	氧力曲线三,
1945	氧力曲线	氧离曲线	high	氧力曲线是S型,
1948	氧力曲线	氧离曲线	high	以及氧力曲线的几个影响因素,
