行号	疑似误识	建议术语	原句
5	去细化	去极化	所以就是想跟同学们说,如果细胞内内一块,你比方说以高甲和低甲血症的时候,一个神经细胞,静息电位是发生去细化超细化,那么在细胞内内一块你只需要关系能力差就完了。
5	超细化	超极化	所以就是想跟同学们说,如果细胞内内一块,你比方说以高甲和低甲血症的时候,一个神经细胞,静息电位是发生去细化超细化,那么在细胞内内一块你只需要关系能力差就完了。
30	动作联位	动作电位	第二个特点,心脏收缩所谓的全或无特性,就像一个细胞动作联位一样。
34	部传导	骨传导	换句话说,信奉在心室内部传导,除了经典的波根液纤维之外,
45	动作变位	动作电位	你评论多高,你想让心肌细胞发生第二次动作变位,
56	动作变位	动作电位	一个心肌细胞动作变位的失成,
61	记细胞	壁细胞	谷歌记细胞动作得比失成,比神经细胞稍长一点,大约2到4个毫秒。
119	机细胞	壁细胞	设想一下,咱们在心机细胞电活动背过一个词,
629	减慢摄	腱反射	在减慢摄血期的时候,
655	减慢摄	腱反射	减慢摄血,
969	舒张发	舒张压	舒张发生的,
2489	基细胞	壁细胞	骨骼基细胞收缩有三个影响因素
2676	子分母	自分泌	分子分母都增加了
2776	肌肉固	肌肉素	这是肌肉固有的一个形式
2811	异肠自身调节	异长自身调节	叫异肠自身调节
2922	粗鸡丝	促激素	这个粗鸡丝就它了
2983	理传导	气传导	而且还兴奋咱们的心理传导速度
