行号	疑似误识	建议术语	原句
147	机细胞	壁细胞	实际上消耗到平滑机细胞呀,
167	纳甲棒	钠钾泵	一般都认为是一个纳甲棒的周期性的活动,
168	纳甲棒	钠钾泵	因为你知道纳甲棒是三个纳两个甲,
171	纳甲棒	钠钾泵	纳甲棒工作如果剧烈的话,
302	去异化	去极化	如果去异化到达,
341	反收缩	单收缩	收缩往回反收缩,
495	肌动力	激动剂	所以消耗到平滑肌动力内流,
527	基细胞	壁细胞	基细胞特性,
800	肠盖循环	肠肝循环	胆盐的肠盖循环,
862	阻抑制	去抑制	迷阻抑制
864	阻抑制	去抑制	迷阻抑制这句话
1223	到内分泌	胞内分泌	到内分泌里边还要讲
1315	相分泌	腔分泌	早相分泌剂
1420	乳激素	促激素	大量分泌雌乳激素
1422	乳激素	促激素	体内的雌乳激素往外排
1423	乳激素	促激素	雌乳激素水平突然降低
1440	乳激素	促激素	次级雌乳激素水平
1464	脾细胞	壁细胞	就会刺激脾细胞这么生
1477	脾细胞	壁细胞	胃黏膜脾细胞的质子崩
1487	复返会	负反馈	复返会作用就解除了
1919	数障碍	舒张期	消化系数障碍
1993	液电分酶	胰淀粉酶	另外一个脱液电分酶
2094	心知识	心指数	一道化学消化里边有一个核心知识
2225	物形成	骨形成	混合食物形成湿土
2225	形成湿	性成熟	混合食物形成湿土
