行号	误识	纠正为	置信度	原句
23	后复合	后负荷	high	到后复合,就复合外侧行。
41	后辅合	后负荷	high	后辅合。
42	后辅合	后负荷	high	是吧,后辅合就指的是辅测合团。
53	突出前移植	突触前抑制	high	各种各样的突出前移植,突出后移植,突出前移化,突出后移化,各种各样的。
53	突出后移植	突触后抑制	high	各种各样的突出前移植,突出后移植,突出前移化,突出后移化,各种各样的。
53	突出前移化	突触前易化	high	各种各样的突出前移植,突出后移植,突出前移化,突出后移化,各种各样的。
290	欲点位	阈电位	high	从进气点位到欲点位这一段,
295	欲刺激	阈刺激	high	欲刺激,
297	欲刺激	阈刺激	high	而在欲刺激之后,一旦纳内溜和加外溜产生差值以后,
832	底血压	低血压	high	到底血压高还是血压低
844	卫反射	胃反射	high	一般的疼痛引发人一个防卫反射
845	叫喊神经	交感神经	medium	叫喊神经兴奋
1000	神经线位	神经纤维	high	这个传入线位在神经线位分类上
1197	内脏疼	内脏痛	medium	所以内脏疼痛不用问要到第二代表区的话显然特点就是
1213	内脏疼	内脏痛	medium	内脏疼痛的
1218	内脏疼	内脏痛	medium	而内脏疼痛很有意思
1309	牵射痛	牵涉痛	high	牵射痛
1318	牵射痛	牵涉痛	high	这就属于比较典型的牵射痛
1319	牵射痛	牵涉痛	high	所以什么叫牵射痛呀
1328	牵射痛	牵涉痛	high	怎么内脏病变的时候就会发生牵射痛
1333	牵射痛	牵涉痛	high	有关牵射痛的一个发射机制
1336	牵射痛	牵涉痛	high	讲到牵射痛的时候
1716	牵涉通	牵涉痛	high	牵涉通的
1817	皮层几岁数	皮层脊髓束	high	什么皮层几岁数小脑几岁数前听几岁数网络几岁数
