# 源音频：P52-生理学本科教学及考研基础课 p52 神经系统3.m4a
# 时长：2886s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们上节课咱们简单的留了着突触之间的传递和神经肌肉接头处这种传递的一同点
[00:00:18] 简单做了一个阐述
[00:00:20] 差不多你要从一个叫做模式或者顺序角度看过去
[00:00:26] 突触界的传递和神经肌街头处的传递其实是一样的
[00:00:31] 电化学电
[00:00:32] 但是非要说区别的话
[00:00:34] 咱们说神经肌肉接头是具体的某一个结构
[00:00:38] 突触界传递在这一节谈的时候
[00:00:41] 是整个的所有类型的神经元和神经元之间
[00:00:45] 这种传递过程
[00:00:46] 所以这样的话
[00:00:47] 不同的神经元
[00:00:48] 前面就有不同的地支
[00:00:49] 后面就有不同的受体
[00:00:51] 这也是这一节要专门探讨的话题
[00:00:54] 因此这样的话
[00:00:54] 就有同学怎么都转播这个玩儿了
[00:00:56] 觉得说神经肌肉接头和突触街头前面就是胆气
[00:00:59] 是吧
[00:01:00] 囊炮一囊炮里边一万分子
[00:01:02] 后面上最后表现出来0.4个毫幅的微终板电位
[00:01:06] 这个地方怎么跟我说小儿青啊
[00:01:08] 透明的小儿致命中心
[00:01:09] 大儿致命中心的激活区的怎么这么多呀
[00:01:12] 他是混起来的
[00:01:13] 这个咱们得注意一下细节
[00:01:16] 另外在这张课件上很谨慎写了两个英文缩写
[00:01:20] 著名的EPSP和IPSP
[00:01:23] 所以这两年慢慢都觉得从2020年开始
[00:01:26] 2020年春天吧
[00:01:27] 正好疫情期间没谁敢在那瞎琢磨呀
[00:01:30] 就在想我的学生学习里什么学完之后还是什么都不会
[00:01:35] 所以后面脑子里边这个在读学幻小说
[00:01:38] 过程中就就就不曾借鉴过了燃灯大师
[00:01:41] 燃灯者百度人
[00:01:43] 哎
[00:01:44] 就就创造了一个词说点燃了一盏星灯
[00:01:47] 就是不管我学到什么时候
[00:01:49] 多少年之后
[00:01:51] 说开生理学呀
[00:01:52] 什么容受性舒张是吧
[00:01:55] 不是犯法未撑开的
[00:01:56] 是为主动张开怀抱取出那番的
[00:01:59] 这是乾坤
[00:02:01] 哎
[00:02:01] 什么红细胞的双面凹
[00:02:03] 雪尘快满不在红细胞而在雪浆
[00:02:07] 雪浆快满
[00:02:08] 白蛋白多
[00:02:09] 雪尘就慢
[00:02:10] 球蛋白多
[00:02:11] 雪尘就快
