行号	误识	纠正为	置信度	原句
139	解抗机	拮抗剂	high	它俩人被长校的MC解抗机,
188	基地神经节	基底神经节	high	基地神经节,
191	藏白球	苍白球	high	藏白球杏仁荷,
204	解抗剂	拮抗剂	high	解抗剂,
206	解抗剂	拮抗剂	high	为什么用M3解抗剂能缓解帕金森,
210	基地神经节	基底神经节	high	基地神经节里边,
409	副脚感神经	副交感神经	high	副脚感神经,
424	千张反射	牵张反射	high	肺的千张反射,
654	最适出场度	最适初长度	high	最适出场度,
664	最适出场度	最适初长度	high	最适出场度是2.0到2.2,
678	最适出场度	最适初长度	high	最适出场度,
691	最适出场度	最适初长度	high	这就叫最适出场度,
700	最适出场度	最适初长度	high	最适出场度概念,
962	结抗剂	拮抗剂	high	M的结抗剂,
1010	单间能受体	胆碱能受体	high	单间能受体,
1011	结抗剂	拮抗剂	high	下面还有结抗剂,
1013	单间能受体	胆碱能受体	high	单间能受体本是属于什么呀,
1085	解抗基	拮抗剂	high	那么肠的解抗基,
1087	解抗基	拮抗剂	high	这个解抗基应该写这,
1092	解抗基	拮抗剂	high	这应该叫肠的解抗基,
1097	解抗基	拮抗剂	high	肠的解抗基是阿托皮,
1101	解抗基	拮抗剂	high	它的一个非血液性的一个解抗基,
1183	解抗剂	拮抗剂	high	以及常用的解抗剂,
1293	胆检能纤维	胆碱能纤维	high	就一定你问自己是不是掌握了周围神经系统中经典的四条胆检能纤维,
1426	优势卵炮	优势卵泡	high	优势卵炮,
1435	优势卵炮	优势卵泡	high	这是存在一个所谓的优势卵炮的概念,
1517	解抗剂	拮抗剂	high	是个非选择性的β受体的解抗剂,
1523	解抗剂	拮抗剂	high	β受体解抗剂,
1674	结抗剂	拮抗剂	high	结抗剂,
1687	结抗剂	拮抗剂	high	β二组织剂的非水准的结抗剂,
1729	解抗剂	拮抗剂	high	贝塔医术的解抗剂,
1757	解抗剂	拮抗剂	high	贝塔是一个学生的解抗剂,
1801	自身调解	自身调节	high	我们最早背到自身调解四个字的时候,
1812	自身调解	自身调节	high	我的肾脏血流量是自身调解,
1889	解抗剂	拮抗剂	high	那么阿尔法受体的非血液的解抗剂,
1918	解抗剂	拮抗剂	high	阿尔法一的血液性解抗剂,
1983	抑导素	胰岛素	high	会抑制抑导的抑导素,
2119	解抗剂	拮抗剂	high	非选择性的二法的解抗剂,
2155	突出后抑制	突触后抑制	high	肝氨酸借到的突出后抑制,
2156	突出前抑制	突触前抑制	high	肝氨基丁酸借到的突出前抑制,
2226	粒子通道型受体	离子通道型受体	high	粒子通道型受体,
2384	去几化	去极化	high	嘎巴A改变去几化,
2385	复几化	复极化	high	嘎巴B改变复几化,
2401	突出传递	突触传递	high	才是整个突出传递,
2409	突出前抑制	突触前抑制	high	这个现象在教材上称之为突出前抑制,
2420	曲解身上线素	去甲肾上腺素	medium	第二类是曲解身上线素,
2474	视追细胞	视锥细胞	high	一个视追细胞通过一个双极细胞,
2579	批层脊髓术	皮层脊髓束	high	批层脊髓术
2683	中枢严格	中枢延搁	high	第二条中枢严格
2717	中枢严格	中枢延搁	high	依次中枢严格的时间
2720	单突出反射	单突触反射	high	单突出反射和多突出反射
2720	多突出反射	多突触反射	high	单突出反射和多突出反射
2727	见反射	腱反射	high	见反射和近景张
2742	中枢严格	中枢延搁	high	中枢严格
2797	动作点位	动作电位	high	动作点位的发生频率
2868	后发方	后发放	high	就叫后发方
2879	突出传递	突触传递	high	而你被突出传递
2928	神经地质	神经递质	high	氨基酸类的神经地质
2938	神经线位	神经纤维	high	神经线位上心膨反波
2950	神经线位	神经纤维	high	神经线位心膨反波
2955	中枢严格	中枢延搁	high	单向中枢严格
2966	突出传递	突触传递	high	它的突出传递
2969	突出传递	突触传递	high	突出传递
