行号	误识	纠正为	置信度	原句
8	超长期	超常期	high	为什么心统性会经历一个绝对不应、相对不应、超长期和低长期,因为这样的话题一到心机电活动的时候,它就升级了。
8	低长期	低常期	high	为什么心统性会经历一个绝对不应、相对不应、超长期和低长期,因为这样的话题一到心机电活动的时候,它就升级了。
24	区计划	去极化	high	在这段电位的过程中,细胞结束有个适当的刺激,膜电位发生一个快速区计划,又快速复计划,这一段我们称之为风电位。
24	复计划	复极化	high	在这段电位的过程中,细胞结束有个适当的刺激,膜电位发生一个快速区计划,又快速复计划,这一段我们称之为风电位。
24	风电位	锋电位	high	在这段电位的过程中,细胞结束有个适当的刺激,膜电位发生一个快速区计划,又快速复计划,这一段我们称之为风电位。
25	风电位	锋电位	high	但风电位之后呀,膜电位并没有完全静止下来,它在进一步的复计划,向着进气电位方向慢慢去波动。
25	复计划	复极化	high	但风电位之后呀,膜电位并没有完全静止下来,它在进一步的复计划,向着进气电位方向慢慢去波动。
29	区计划	去极化	high	粗略的而讲,那内流区计划,加密的复计划没毛病。
29	复计划	复极化	high	粗略的而讲,那内流区计划,加密的复计划没毛病。
31	区计划	去极化	high	不是电刺激直接把膜的区计划完成了,实际上膜的区计划是那内流。
31	区计划	去极化	high	不是电刺激直接把膜的区计划完成了,实际上膜的区计划是那内流。
34	预点位	阈电位	high	因此讲了一个词叫燃点,燃点又叫做预点位。
41	膜点位	膜电位	high	把膜点位只要从进行点位,拉动到预点位水平,点着了,
41	预点位	阈电位	high	把膜点位只要从进行点位,拉动到预点位水平,点着了,
69	减慢摄血器	减慢射血期	high	在减慢摄血器的后半部分,
90	反击化	反极化	high	这个时候磨是外附内振的反击化,
118	封电位	锋电位	high	封电位就是那类字的快速内流去计划,和假类字快速外流复计划。
118	去计划	去极化	high	封电位就是那类字的快速内流去计划,和假类字快速外流复计划。
118	复计划	复极化	high	封电位就是那类字的快速内流去计划,和假类字快速外流复计划。
119	复计划	复极化	high	那么流通者怎么就不复计划,就慢着你
121	复计划	复极化	high	假类字怎么外流复计划的?
123	假漏通道	钾漏通道	high	至于是不是一定通过假漏通道,那不一定,摩尔通道数量很多,
127	假漏通道	钾漏通道	high	在你已知的假漏通道基础上,
133	假漏通道	钾漏通道	high	说什么假漏通道啊,
137	内向正漏	内向整流	medium	IK1,内向正漏假通道。
186	复计划	复极化	high	假例子都想忙着往外跑,让你复计划,但是门口堵着出不去。
188	复计划	复极化	high	这个复后电位这一段,为什么复计划到后半段突然速度慢了,
214	复计划	复极化	high	不管怎么样,把妈妈复计划也罢,
219	超计划	超极化	high	他超计划,怎么给人超了呀?
224	钠甲泵	钠钾泵	high	钠甲泵,好难。
226	钠甲泵	钠钾泵	high	钠甲泵怎么工作的?
229	钠甲泵	钠钾泵	high	钠甲泵是具有生变作用的。
230	去激化	去极化	high	细胞膜上钠内流去激化,甲胃流复计划,粒子浓度,
230	复计划	复极化	high	细胞膜上钠内流去激化,甲胃流复计划,粒子浓度,
233	钠甲泵	钠钾泵	high	你粒子浓度改变了,改变钠甲泵不高兴呀。
234	钠甲泵	钠钾泵	high	钠甲泵就巴拉巴拉往回泵,
236	钠甲泵	钠钾泵	high	但由于钠甲泵的生变作用,
241	复计划	复极化	high	在复计划的后半程钠甲泵泵得正高兴的时候,
241	钠甲泵	钠钾泵	high	在复计划的后半程钠甲泵泵得正高兴的时候,
243	钠甲泵	钠钾泵	high	当钠甲泵工作的正热情的时候,
246	超级化	超极化	high	超级化,
248	钠甲泵	钠钾泵	high	是钠甲泵的
302	去几话	去极化	high	去几话。
304	超几话	超极化	high	超几话。
