行号	误识	纠正为	置信度	原句
4	突出后意志	突触后抑制	high	好同学们,刚才咱们学了一下中数据的突出后意志,包括传入测试意志和回反式意志。
10	突出后意志	突触后抑制	high	突出后意志在大二的时候,您知道有这么一个名。
14	超级化	超极化	high	RPSP的话是一个绿粒子,突出后膜对绿粒子的变导突然增加以后,然后对内流发生一个超级化,达到意志效应的意志效果。
21	突出后意志	突触后抑制	high	突出后意志或者中枢意志,共同一个结构基础,需要一个意志性的神经元来解导。
106	传入侧直抑制	传入侧支抑制	high	有传入侧直抑制的,趋击反射的那个发生机制。
106	趋击反射	屈肌反射	high	有传入侧直抑制的,趋击反射的那个发生机制。
142	吐出前抑制	突触前抑制	high	粗粒子也好,粗带泻也好,什么叫吐出前抑制?
158	吐出前抑制	突触前抑制	high	就是你要多动吐出前抑制这个图,
162	吐出前抑制	突触前抑制	high	它说这个所谓的吐出前抑制,
166	突出前抑制	突触前抑制	high	那么所谓突出前抑制就是什么?
238	突出后意志	突触后抑制	high	突出后意志一定是
239	突出后意志	突触后抑制	high	突出后意志
259	超级化	超极化	high	发生趋地化化超级化
260	突出前意志	突触前抑制	high	而突出前意志不是
261	突出前意志	突触前抑制	high	突出前意志
268	突出后意志	突触后抑制	high	突出后意志
269	突出后意志	突触后抑制	high	如果C是在突出后意志那个地方的话
271	突出前意志	突触前抑制	high	那么突出前意志
328	动作点位	动作电位	high	将来在正式动作点位的时候
329	动作点位	动作电位	high	动作点位时程就短了
336	型改通道	型钙通道	high	能打开电压门口的L型改通道
367	突出后抑制	突触后抑制	high	突出后抑制是直接改变的
368	突出后抑制	突触后抑制	high	突出后抑制
372	突出前抑制	突触前抑制	high	突出前抑制是A和C这突出传递过程中
372	突出传递	突触传递	high	突出前抑制是A和C这突出传递过程中
383	突出后抑制	突触后抑制	high	突出后抑制是直接改变突出后模性风性
385	超级化	超极化	high	但是它超级化了
387	突出前抑制	突触前抑制	high	那么突出前抑制并没有改变C升级液的性风性
392	突出后抑制	突触后抑制	high	突出后抑制是定性的
393	突出前抑制	突触前抑制	high	改变性质突出前抑制是定量的
400	突出后抑制	突触后抑制	high	突出后抑制是定性的
402	突出前抑制	突触前抑制	high	突出前抑制是改变曲化的幅度
409	突出后抑制	突触后抑制	high	你把突出后抑制在上一节课学完之后
410	突出前抑制	突触前抑制	high	突出前抑制这一节课再学
554	突出传递	突触传递	high	经过一突出传递以后
558	突出前意化	突触前易化	high	包括突出前意化也是一样
559	突出前意志	突触前抑制	high	在一突出前意志同样的结构基础之上
570	曲级化	去极化	high	中板发生0.4个号幅的曲级化的一个幅度
580	中板膜	终板膜	high	中板膜并没有这种选择权
584	中板膜	终板膜	high	打死不做中板膜
586	中板膜	终板膜	high	和一个中板膜的区别在于
593	中板膜	终板膜	high	那么一个中板膜
594	中板膜	终板膜	high	一个中板膜
903	神经线位	神经纤维	high	交叉之前就交叉的神经线位
1363	特异性透视系统	特异性投射系统	medium	特异性透视系统
1386	特异性透视系统	特异性投射系统	medium	这是特异性透视系统
