行号	误识	纠正为	置信度	原句
6	虚极化	去极化	medium	这个地方当然不是外地,是内流啊,内流多在的话,膜就虚极化了,内流少一点,膜就超极化了。
71	感受起	感受器	high	感受起来又是一次,
145	最大可听语	最大可听阈	high	你最大可听语区的这个范围就是这么一个面积,
186	最大可听语	最大可听阈	high	最大可听语和听语,
389	部传到	骨传导	medium	再通过脸部传到左耳,
1014	鼓传导	骨传导	high	还得想着鼓传导,
1026	鼓传导	骨传导	high	鼓传导和气传导比起来,
1027	鼓传导	骨传导	high	鼓传导就没有那么重要了,
1050	鼓传导	骨传导	high	所以有一款小米手机的发声就利用鼓传导阅历,
1051	鼓传导	骨传导	high	鼓传导,
1321	感觉习惯	感觉器官	medium	感觉习惯是这样
1326	感觉习惯	感觉器官	medium	感觉习惯这一招
1412	胜利学	生理学	high	所以蒋胜利学一直讲呀
1422	负赛米	呋塞米	high	负赛米就叫塑尿
1433	突出潜意志	突触前抑制	high	叫突出潜意志
1441	负赛米	呋塞米	high	又能用负赛米塑尿
1444	负赛米	呋塞米	high	说长期使用强烈利尿剂负赛米
1462	螺旋气	螺旋器	high	好底是气螺旋气
1482	跨膜点位	跨膜电位	high	跨膜点位差异非常大
1514	通向转运	同向转运	high	和那甲的通向转运
1775	虚极化	去极化	medium	膜就虚极化
1783	虚极化	去极化	medium	一会儿虚极化
1787	虚极化	去极化	medium	虚极化和超极化
1790	虚极化	去极化	medium	虚极化
1947	超激化	超极化	high	膜超激化
1985	感受极	感受器	medium	这样产生一个感受极点位
1987	感受极	感受器	medium	然后感受极点位兴奋以后呀
1988	感受极	感受器	medium	感受极点位发生了以后
1989	去激活	去极化	medium	再去激活毛细胞底部膜
2066	去句话	去极化	medium	去句话找句话
2128	超级化	超极化	high	它是超级化
2350	超级化	超极化	high	曲线化超级化
2389	半轨管	半规管	high	是半轨管的事
2391	护肤脊	壶腹嵴	high	这样示意图上画这个囊板和护肤脊的结构
2392	护肤脊	壶腹嵴	high	囊板护肤脊是感受人体的空间的位置
2400	护肤脊	壶腹嵴	high	护肤脊
2434	超级化	超极化	high	就超级化了
2443	去几化	去极化	high	这个基地模像古街的时候去几化
2444	候超级化	后超极化	high	现在的时候超级化
2450	潜艇器官	前庭器官	high	那么作为一个潜艇器官
2534	快动向	快动相	high	医学规定以野球的快动向做野正串方向
2551	快动向	快动相	high	眼球快动向左眼正串方向
2582	前停小脑	前庭小脑	high	前停小脑门
2584	前停小脑	前庭小脑	high	前停小脑
2600	基地神经结	基底神经节	high	是基地神经结症
2677	基底神经结	基底神经节	high	以及基底神经结合小脑病变的时候
