集号	行号	疑似误识	建议术语
P01	8	理学呀	低血压
P01	13	心理失常	心律失常
P01	209	种实验	正视眼
P01	242	脊细胞	壁细胞
P01	566	心理失常	心律失常
P01	964	解反射	近反射
P01	1014	意刺激	阈刺激
P01	1481	叫反射	腱反射
P01	1487	叫反射	腱反射
P01	1509	叫反射	腱反射
P01	1589	叫反射	腱反射
P01	2055	密细胞	壁细胞
P01	2073	绪刺激	阈刺激
P01	2078	经性奋	性兴奋
P01	2366	己调节	肌小节
P01	2377	蜜激素	雌激素
P01	3058	时候强	视后像
P01	3061	眠反射	腱反射
P01	3156	得血压	低血压
P01	3387	始上课	视上核
P02	40	心理失常	心律失常
P02	41	心理失常	心律失常
P02	138	心理市场	心律失常
P02	229	着细胞	主细胞
P02	447	着细胞	主细胞
P02	453	泄蛋白	铁蛋白
P02	461	切蛋白	铁蛋白
P02	594	理学呀	低血压
P02	1073	数蛋白	视蛋白
P02	1317	传到另	传导性
P02	1391	液化扩散	易化扩散
P02	1395	液化扩散	易化扩散
P02	1398	液化扩散	易化扩散
P02	1479	液化扩散	易化扩散
P02	1506	液化扩散	易化扩散
P02	1508	液化扩散	易化扩散
P02	1510	液化扩散	易化扩散
P02	1540	体化扩散	易化扩散
P02	2100	关进冰	冠心病
P02	2377	体化扩散	易化扩散
P02	2408	体化扩散	易化扩散
P02	2426	逆化扩散	易化扩散
P02	2449	逆化扩散	易化扩散
P02	2552	体化扩散	易化扩散
P02	2570	体化扩散	易化扩散
P02	2578	体化扩散	易化扩散
P02	2589	体化扩散	易化扩散
P02	2651	体化扩散	易化扩散
P02	2789	看通道	慢通道
P02	3051	般通道	慢通道
P02	3214	机细胞	壁细胞
P02	3240	学习药	血细胞
P02	3262	新知识	心指数
P02	3288	提华扩散	易化扩散
P02	3736	内部吸	内呼吸
P03	4	体化扩散	易化扩散
P03	21	单向转运体	反向转运体
P03	187	除细胞	主细胞
P03	204	食欲刺激	适宜刺激
P03	624	刺激颅	雌激素
P03	696	学习要	血细胞
P03	1514	激动体	激动剂
P03	1523	结抗期	拮抗剂
P03	1524	激动期	激动剂
P03	1525	结抗期	拮抗剂
P03	1565	经性分	性兴奋
P03	1966	种实验	正视眼
P03	2029	运动职	运动柱
P04	162	尿钙酸结合蛋白	鸟苷酸结合蛋白
P04	221	学习到	血细胞
P04	411	去积荟	去极化
P04	674	尿钙酸结合蛋白	鸟苷酸结合蛋白
P04	1183	基细胞	壁细胞
P04	1184	基细胞	壁细胞
P04	1187	去激活	去极化
P04	1212	内部细	内呼吸
P04	1222	脊细胞	壁细胞
P04	1228	脊细胞	壁细胞
P04	1236	脊细胞	壁细胞
P04	1236	脊细胞	壁细胞
P04	1241	脊细胞	壁细胞
P04	1242	脊细胞	壁细胞
P04	1252	脊细胞	壁细胞
P04	1275	脊细胞	壁细胞
P04	1279	脊细胞	壁细胞
P04	1287	脊细胞	壁细胞
P04	1297	脊细胞	壁细胞
P04	1304	脊细胞	壁细胞
P04	1316	分解合	肺结核
P04	1335	脊细胞	壁细胞
P04	1338	脊细胞	壁细胞
P04	1347	脊细胞	壁细胞
P04	1362	收缩卡	收缩压
P04	1363	脊细胞	壁细胞
P04	1367	脊细胞	壁细胞
P04	1370	脊细胞	壁细胞
P04	1402	脊细胞	壁细胞
P04	1423	脊细胞	壁细胞
P04	1465	尿钙酸结合蛋白	鸟苷酸结合蛋白
P04	1551	霉结合	肺结核
P05	5	着细胞	主细胞
P05	12	去激活	去极化
P05	13	去激活	去极化
P05	420	基细胞	壁细胞
P05	441	基细胞	壁细胞
P05	531	完呼吸	外呼吸
P05	750	着细胞	主细胞
P05	810	负点位	阈电位
P05	890	着细胞	主细胞
P05	1078	计划去	易化区
P06	35	续负极	壶腹嵴
P06	57	心理失常	心律失常
P06	71	有超计划	后超极化
P06	117	基细胞	壁细胞
P06	332	着细胞	主细胞
P06	875	衡点位	锋电位
P06	877	衡点位	锋电位
P06	880	衡点位	锋电位
P06	881	衡点位	锋电位
P06	885	衡点位	锋电位
P06	887	衡点位	锋电位
P06	901	衡点位	锋电位
P06	902	衡点位	锋电位
P06	903	衡点位	锋电位
P06	908	衡点位	锋电位
P06	909	衡点位	锋电位
P06	921	衡点位	锋电位
P06	926	衡点位	锋电位
P06	967	衡点位	锋电位
P06	1006	粒子能	离子泵
P06	1021	甲流通道	钾漏通道
P06	1304	基细胞	壁细胞
P06	1305	基细胞	壁细胞
P06	1419	基细胞	壁细胞
P06	1427	心理失常	心律失常
P06	1647	基细胞	壁细胞
P06	1651	础细胞	主细胞
P06	1652	基细胞	壁细胞
P06	1669	基细胞	壁细胞
P06	1678	腺体细胞	前体细胞
P06	1687	腺体细胞	前体细胞
P06	1897	风变位	锋电位
P06	1995	时候两	视后像
P06	2390	哪盖交换第	钠钙交换体
P06	2480	时候强	视后像
P06	2609	解抗器	拮抗剂
P06	2722	估刺激	阈刺激
P06	2750	压强度	阈强度
P06	2752	压强度	阈强度
P07	56	基细胞	壁细胞
P07	60	波细胞	壁细胞
P07	411	衡点位	锋电位
P07	433	衡点位	锋电位
P07	435	衡点位	锋电位
P07	600	集化区	易化区
P07	656	刺激区	雌激素
P07	676	伏刺激	阈刺激
P07	831	腹刺激	阈刺激
P07	831	伏刺激	阈刺激
P07	833	伏刺激	阈刺激
P07	886	部点位	阈电位
P07	970	衡点位	锋电位
P07	971	衡点位	锋电位
P07	978	衡点位	锋电位
P07	982	衡点位	锋电位
P07	988	衡点位	锋电位
P07	991	衡点位	锋电位
P07	999	衡点位	锋电位
P07	1002	衡点位	锋电位
P07	1141	域化区	易化区
P07	1142	域化区	易化区
P07	1213	基细胞	壁细胞
P07	1215	腺体细胞	前体细胞
P07	1223	衡点位	锋电位
P07	1229	衡点位	锋电位
P07	1231	衡点位	锋电位
P07	1338	体到周	胰岛轴
P07	1443	伏刺激	阈刺激
P07	1451	预点内	阈电位
P07	1499	基细胞	壁细胞
P08	6	心理市场	心律失常
P08	9	机细胞	壁细胞
P08	24	速复计	壶腹嵴
P08	55	去气化	去极化
P08	69	减慢摄	腱反射
P08	177	室三百	视蛋白
P08	349	有超级化	后超极化
P08	352	有超级化	后超极化
P08	449	机细胞	壁细胞
P08	453	基细胞	壁细胞
P08	622	半通道	慢通道
P08	694	半通道	慢通道
P08	742	心理失常	心律失常
P09	63	机细胞	壁细胞
P09	63	机细胞	壁细胞
P09	64	机细胞	壁细胞
P09	72	机细胞	壁细胞
