行号	误识	纠正为	置信度	原句
75	容受性书章	容受性舒张	high	有一个胃的容受性书章
326	醋胃野素	促胃液素	high	也叫醋胃野素
969	谁听到	水通道	medium	谁听到这个内容之后
971	胜利学	生理学	high	看看呼吸胜利学写的哪一页
1050	餐后减潮	餐后碱潮	high	餐后减潮
1051	餐后减潮	餐后碱潮	high	餐后减潮
1055	餐后减潮	餐后碱潮	high	一问餐后减潮
1060	餐后减潮	餐后碱潮	high	餐后减潮
1370	醋乙液素	促胰液素	high	醋乙液素
1373	醋乙液素	促胰液素	high	促进醋乙液素
1378	醋乙液素	促胰液素	high	醋乙液素吧
1428	猪细胞	主细胞	high	猪细胞和年叶细胞
1586	内瘾子	内因子	high	此外就是内瘾子
1587	内瘾子	内因子	high	内瘾子咱们大二都学过
1597	内瘾子	内因子	high	内瘾子的概念
1602	内瘾子	内因子	high	抗内瘾子抗体
1666	结抗剂	拮抗剂	high	就是H2的结抗剂
1669	质子绷	质子泵	high	质子绷
1727	醋益液素	促胰液素	high	特别是醋益液素
1991	醋胃液素	促胃液素	high	还叫醋胃液素释放钛
2275	肠蜜酸素	肠泌酸素	high	通过肠蜜酸素这样一些经典的
2469	渗透牙	渗透压	high	渗透牙和张力
2643	感受气	感受器	high	感受气引发
2746	舒张呀	舒张压	high	怎么让一个扩音机一会儿收缩一会儿舒张呀
2958	容瘦性舒张	容受性舒张	high	容瘦性舒张
2987	醋胃液素	促胃液素	high	就有醋胃液素
2988	醋胃液素	促胃液素	high	醋胃液素也能促进胃的排空
