行号	误识	纠正为	置信度	原句
5	此激素	雌激素	high	叫第二性式,然后你要指溶性激素最典型咱们谈的两类,一类是生殖器和皮质激素,所以到了内分泌这章就要详细讲生殖器和皮质包括盐皮质、糖皮质和性激素,这是一类,第二类主要是性性激素,此激素和性激素这一组来自于卵巢睾丸的激素,那么这一组激素基因比较大,所以实际上上节课咱们在讲到激素作用机制一开始做了很详细的探讨,
321	醋胃液素	促胃液素	high	醋胃液素释放钛,
377	线垂体	腺垂体	high	前页叫线垂体,
384	周江运输	轴浆运输	high	你最经典的快速顺向周江运输的方式,
729	释上合	视上核	high	一组是释上合和释旁合,
729	释旁合	室旁核	high	一组是释上合和释旁合,
731	释上合	视上核	high	释上合,
774	生长益素	生长激素	medium	另外还生长益素,
775	适当激素	释放激素	medium	调控适当激素的释放和抑制,
779	生长益素	生长激素	medium	生长益素,
782	适当激素	释放激素	medium	促进适当激素的合成和释放,
824	醋激素	促激素	high	醋激素的,
838	复反馈	负反馈	high	复反馈这么一个现象,
843	复反馈	负反馈	high	复反馈,
848	复反馈	负反馈	high	这就是符合最典型的复反馈,
908	线垂体	腺垂体	high	线垂体,
916	甲状线轴	甲状腺轴	high	甲状线轴,
920	线垂体	腺垂体	high	但是到了线垂体,
926	线垂体	腺垂体	high	但这道线垂体你发现了没,
937	靶线轴	靶腺轴	high	著名的三条靶线轴,
942	靶线轴	靶腺轴	high	在三条靶线轴上,
1003	靶线轴	靶腺轴	high	围绕靶线轴的话,
1004	靶线轴	靶腺轴	high	三条靶线轴就成了咱们内分泌和生殖了,
1024	猪乳症	侏儒症	high	什么猪乳症呀,
1027	止断肥大症	肢端肥大症	high	止断肥大症呀,
1030	猪乳症	侏儒症	high	猪乳症的患者,
1135	巨人称	巨人症	medium	蜂蜜多就巨人称,
1253	食脏激素	释放激素	medium	所以食脏激素很典型,
1258	食脏激素	释放激素	medium	实际上食脏激素有个作用在这儿,
1265	食脏激素	释放激素	medium	食脏激素增加了以后,
1279	激到素	胰岛素	medium	生长激素和生理激素也可以刺激到素分明,
1422	下球脑	下丘脑	high	会通过GHRH下球脑的,
1427	下球脑	下丘脑	high	所以下球脑往下走,
1531	枝端肺大症	肢端肥大症	high	有枝端肺大症的概念,
1559	醋胰液素	促胰液素	high	醋胰液素和苏打囊素,
1562	醋胰液素	促胰液素	high	醋胰液素引发胰液是碱性水样分泌,
1567	醋胰液素	促胰液素	high	醋胰液素是胰胰上皮,
1573	孕肌素	孕激素	high	孕肌素是对腺胞细胞产生作用的,
1638	育激素	促激素	medium	维持孕育激素的分泌,
1729	粗激素	促激素	high	四个粗激素,
1730	粗激素	促激素	high	还有三个非粗激素,
1753	解抗剂	拮抗剂	high	一个这个解抗剂,
1970	粗激素	促激素	high	四个粗激素,
1994	次激素	雌激素	high	并与LH协同促使脑泡分泌次激素,
1998	次激素	雌激素	high	少量LHFS协同促进脑泡分泌次激素,
2022	神经吹体	神经垂体	high	接下来神经吹体还有点东西,
2023	神经吹体	神经垂体	high	咱们说神经吹体,
2112	摄乳反射	射乳反射	high	所谓的摄乳反射,
2254	醋激素	促激素	high	一个是醋激素,
