行号	疑似误识	建议术语	原句
15	完呼吸	外呼吸	然后拿着这个东西,就把我的能力,我用我的能力去读这本书,还有同学是读完之后不往心里走,他打开书之后不管读多少遍,他都是从零开始,比如说他学完呼吸之后再学消化的时候,到消化就一点没有呼吸这种概念,
61	明时节	明视觉	一个清明时节雨纷纷
971	呼吸胜	呼吸商	看看呼吸胜利学写的哪一页
1132	残后减少	餐后碱潮	是残后减少
1169	残后减少	餐后碱潮	残后减少呀
1191	纳甲蚌	钠钾泵	纳甲蚌的周期性活动
1340	微黛白美	胃蛋白酶	微黛白美颜
1344	长期美	肠激酶	长期美
1345	微黛白美	胃蛋白酶	微黛白美颜激活
1348	微黛白美	胃蛋白酶	微黛白美
1351	微黛白美	胃蛋白酶	微黛白美颜
1356	微黛白美	胃蛋白酶	是给微黛白美颜
1701	生长益素	生长激素	最近就生长益素了
1725	生长益素	生长激素	生长益素
1785	氧分泌	旁分泌	结型水氧分泌
1786	氧分泌	旁分泌	煤氧分泌
1849	失常核	视上核	刺激失常核
1875	气分泌	自分泌	在胃液投气分泌的时候
2004	气分泌	自分泌	在胃液透气分泌的过程中
2072	气分泌	自分泌	胃气分泌
2135	气分泌	自分泌	在胃气分泌的时候
2143	基细胞	壁细胞	和这直接作用到胃头部的基细胞
2165	气分泌	自分泌	在头气分泌
2167	气分泌	自分泌	头气分泌
2169	气分泌	自分泌	头气分泌的时候
2194	气分泌	自分泌	胃液的胃气分泌
2204	气分泌	自分泌	胃液的胃气分泌
2227	气分泌	自分泌	这么一个胃气分泌
2242	气分泌	自分泌	消化期胃液的胃气分泌中
2301	步刺激	阈刺激	还会进一步刺激胃液分泌
2352	内激素	内皮素	被肠内激素那种
2436	类结合	肺结核	泰类结合
2440	记细胞	壁细胞	记细胞
2758	数张日	舒张期	所以到了容数数张日数起了
2879	慢收缩	单收缩	持续缓慢收缩
2897	天复合	前负荷	记录到的消化解析一天复合运动
3154	能量代谢里	能量代谢率	下一张能量代谢里
