行号	疑似误识	建议术语	原句
20	生物鞭	生物电	你比方说咱们在学到生理学,细胞这一章学细胞生物鞭,这些鞭位就是甲离子外流,甲骨通道。
21	纪细胞	壁细胞	到98月读到新世纪发现不对,新世纪细胞经济鞭位也是甲外流没问题,但那通道就不是甲漏,是RK1。
32	始复习	施呼吸	如果这样一个复杂的知识结构,你没有做好准备去感受,去把控,那实际上你开始学习,开始复习,你发现哪哪都是困难。
33	始复习	施呼吸	所以这两天微博上,因为很多22年考业同学开始复习了,你就发现,这一开始复习,每年的老话题,又重新来过。
33	始复习	施呼吸	所以这两天微博上,因为很多22年考业同学开始复习了,你就发现,这一开始复习,每年的老话题,又重新来过。
45	机细胞	壁细胞	以至于在112大开术往下读,会发现,新式机细胞三期的复计化后半程,
83	经学每	凝血酶	圣经学每张内容其实都讲四个话题,
92	天器官	腱器官	四,前天器官,
116	鼓弥录	骨泌素	鼓弥录,
479	激松剂	激动剂	琥珀胆解,给我来个激松剂,把我扛走呀?
830	眼眉呀	眼内压	就能明显的改变光线在眼眉呀
1054	据已知	去抑制	根据已知的物据和物体大小
1642	接壤机	拮抗剂	接壤机松弛
1855	去反馈	负反馈	那么以至于抑制和受体失去反馈作用
