# 源音频：P02-生理学本科教学及考研基础课 p02 细胞1.m4a
# 时长：6441s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们接下来看生理学的本科教学这一块的内容,第二章,细胞的基本功能。
[00:00:19] 所以想一想,时间过得真快,录虚论的时候还穿着短袖,录到细胞就已经穿皮衣了,就是这样,实际上时光仍然,岁月如梭,我觉得小时候写作文就这样说。
[00:00:33] 好,平时在教室给同学们讲本科这一章内容,也是这样,磨磨叽叽的废话连篇的。
[00:00:40] 一直在感慨,咱们的B站上我放了很多课程,比如说有本科的这一次,本科的生理学教学,有考研,针对考研同学的生理学的基础课,还有生理学的强化课,最后还有冲刺课,考前三个小时。
[00:00:58] 所以一边讲课,作为老师一边在感受,就同样这本生理学,你针对不同的人,
[00:01:03] 不同人群,不同时机讲的内容为什么不一样,可能听这本课的同学,大多数是大二的小朋友。
[00:01:10] 所以慢慢慢慢,你从大学第二年开始,到生理学的时候,就有点医学的味道了。
[00:01:16] 在解剖的时候,好的同学还认为是文科生理呀,四倍,人体有206块骨头,听小谷有六块,这么往下背,复古古,四个臂,两个孔,就是稀里糊涂的。
[00:01:29] 你慢慢慢慢,等你将来本科毕业时候,你反过来看。
[00:01:33] 这也是我前天晚上给我学生们
[00:01:35] 网络上直播的一个22年考研的一个导学课
[00:01:39] 临时一个感慨
[00:01:41] 说实际上这么多年一直给同学们说呀
[00:01:44] 这个医学的学习是从生理学开始到生理学结束
[00:01:49] 这个话已经说了至少15年了
[00:01:53] 所以这15年我的教学工作
[00:01:55] 一直这么慢慢的往前进行着
[00:01:57] 最近就感受特别深刻
[00:01:59] 就说实际上就包括细胞这样一个基本的内容
[00:02:02] 咱们在续论里面简单提过
[00:02:04] 生理学这门学课呀
[00:02:05] 它有三张内容特别难
[00:02:07] 一张就是细胞的功能
[00:02:10] 一学完就发现了
[00:02:11] 特别这张功能
[00:02:12] 这个细胞功能里边的第三节
[00:02:14] 有关细胞的生物电现象
[00:02:16] 这是同学们普遍投答的一个事情
[00:02:18] 就在答案的时候学的一步怎么样
[00:02:20] 从细胞的生物电开始
[00:02:23] 到第四章循环系统的心机电生理
[00:02:27] 再到将来在大三大四的时候
[00:02:29] 整段修的心电图
[00:02:31] 和大五的时候
[00:02:32] 大篇幅去学习一个应该叫一类
[00:02:35] 心脏病的表现
[00:02:37] 叫心理失常
[00:02:38] 心理失常可以是一个病
[00:02:39] 更多的时候是其他疾病
[00:02:42] 一个心脏的心电活动
[00:02:44] 紡乱的一个临床表现
[00:02:46] 所以你慢慢慢慢就发现
[00:02:48] 你越往后面学呀
[00:02:49] 针对某一张内容
[00:02:51] 它的信息就越丰富
[00:02:54] 所以我一直在想
[00:02:56] 生理学怎么样就要学明白了
[00:02:58] 生理学如果学得把里边的每一句话
[00:03:00] 都能取出力量
[00:03:01] 就能把里边的每一句话都能取出力量
[00:03:01] 就能把里边的每一句话都能取出力量
[00:03:01] 就能把里边的每一句话都能取出力量
[00:03:01] 就能把里边的每一句话都能取出力量
[00:03:01] 就能把里边的每一句话都能取出力量
[00:03:01] 就能把里边的每一句话都能取出力量
[00:03:01] 就能把里边的每一句话都能取出力量
[00:03:01] 有生理性的活动
[00:03:03] 还有一个临床疾病的表现
[00:03:06] 用这些内容来证实
[00:03:07] 咱们生理学的基本概念
[00:03:09] 这样的话
[00:03:09] 生理学你越学越丰满
[00:03:12] 所以不是说大二的时候
[00:03:13] 我的生理学的很low
[00:03:14] 不是
[00:03:15] 是我只有那么大的一个医学背景知识
[00:03:17] 我想不太学丰富
[00:03:19] 也不可能
[00:03:20] 所以作为老师你的责任在哪里
[00:03:23] 就是你跟同学们在讲授
[00:03:24] 大二的这么一门生理学课程的时候
[00:03:27] 你能不能在适当的时候
[00:03:28] 以适当的方式
[00:03:30] 适当的难度和角度
[00:03:33] 去举一些例子
[00:03:34] 这一辈子咱们临床的工作
[00:03:37] 时间越长
[00:03:38] 接的病人越多
[00:03:40] 临床案例积累越丰富
[00:03:42] 那么谈到生理学的时候
[00:03:43] 你能举出的例子
[00:03:45] 也就越丰富
[00:03:46] 所以世界上这一辈子的医学学习
