行号	疑似误识	建议术语	原句
14	组织已	组织液	比缺铁品轻一点,组织已经表现为缺铁了,指甲也不光滑,是吧,指甲凹陷,头发毛发干枯,见什么吃什么一时屁,地下捡块砖头就往嘴里咬,你还别说这个没有,你回家不服你情,原来我去讲课老说,在城市里边那会儿没啥吃的,孩子们经常在街上捡一块这个煤炭的煤壶,烧过的炉炸,咬嘴里吃了,农村孩子更简单,地里边卖油捡一块土块,咬嘴里去了,砖块把片都吃过,
314	熟细胞	主细胞	只有成熟细胞和原始细胞,
356	熟细胞	主细胞	是接近成熟细胞,
358	熟细胞	主细胞	接近成熟细胞,
586	聚质细胞	巨噬细胞	产生血小宝的聚质细胞,
965	形性本	性兴奋	所以变形性本身很重要,
1064	只往膜	视网膜	只往膜内崩两个甲,
1100	细胞摔倒	细胞衰老	因为红细胞摔倒之后,
2311	脉呼吸	外呼吸	血脉呼吸神经还记得,
2422	熟细胞	主细胞	最后往成熟细胞这儿去走,
2474	胜肠激素	生长激素	就是甲烙腺素和胜肠激素,
2655	死细胞	壁细胞	吞噬水解细菌和坏死细胞,
2664	聚属细胞	巨噬细胞	聚属细胞,
2664	属细胞	主细胞	聚属细胞,
2665	聚属细胞	巨噬细胞	变成聚属细胞以后,
2665	属细胞	主细胞	变成聚属细胞以后,
2717	着细胞	主细胞	T淋巴细胞参与着细胞免疫,
