行号	误识	纠正为	置信度	原句
251	趋极化	去极化	high	这一块假如趋极化的速度快一点,
298	路细胞	粒细胞	medium	那么这一组一路细胞慢慢往前生长发育,
308	力细胞	粒细胞	high	这个慢性力细胞白血冰,
315	力细胞	粒细胞	high	早期的一些分化的力细胞呀,
354	力细胞	粒细胞	high	或者早有力细胞,
371	力细胞	粒细胞	high	比如说慢性力细胞白血病,
462	聚合细胞	巨核细胞	high	还有点聚合细胞,
581	聚合细胞	巨核细胞	high	血小宝是聚合细胞,
588	聚合细胞	巨核细胞	high	产生聚合细胞,
633	巨石细胞	巨噬细胞	high	但和巨石细胞狼狈为奸,
1078	肾头牙	渗透压	high	肾头牙你还记得,
1079	肾头牙	渗透压	high	构成肾头牙高低的,
1083	肾头牙	渗透压	high	肾头牙越低,
1084	肾头牙	渗透压	high	而肾头牙咱们知道,
1271	肾糖欲	肾糖阈	high	叫肾糖欲,
1277	肾糖欲	肾糖阈	high	不但能够像糖那样有肾糖欲,
1297	巨石细胞	巨噬细胞	high	把它进一步在肝脏的蛋核巨石细胞里,
1306	巨石细胞	巨噬细胞	high	脾脏血洞里边有很多蛋核巨石细胞,
1520	非结合	肺结核	high	比如说一个非结合的病人,
1822	肾头牙	渗透压	high	把它放到肾头牙根低的液体,
2332	动作点位	动作电位	high	就像动作点位一样,
2341	动作点位	动作电位	high	动作点位是全或无的,
2347	动作点位	动作电位	high	动作点位当然是全或无的,
2588	氯细胞	粒细胞	medium	十酸氯细胞有0到7,
2589	氯细胞	粒细胞	medium	十酸氯细胞至少将来咱们在支气管哮喘的时候可以看到,
2598	氯细胞	粒细胞	medium	十酸氯细胞,
2663	氮核细胞	单核细胞	high	氮核细胞进入组织变成聚合细胞,
2663	聚合细胞	巨核细胞	high	氮核细胞进入组织变成聚合细胞,
