行号	误识	纠正为	置信度	原句
77	包甲利尿剂	保钾利尿剂	high	包甲利尿剂,为何能包甲?
147	异化扩散	易化扩散	high	去异化扩散。
168	轴降运输	轴浆运输	high	一是快速轴降运输的形式
169	轴降运输	轴浆运输	high	顺向轴降运输
172	神经垂涕	神经垂体	high	叫神经垂涕
173	神经垂涕	神经垂体	high	后液为什么叫神经垂涕
184	腺垂涕	腺垂体	high	把垂涕前液、腺垂涕
185	神经垂涕	神经垂体	high	和垂涕后液、神经垂涕
189	醋激素	促激素	high	醋激素、非醋激素
189	醋激素	促激素	high	醋激素、非醋激素
191	醋激素	促激素	high	有4大醋激素
199	醋激素	促激素	high	可不是醋激素
233	进去小管	近曲小管	high	从盛小球出来之后在皮质出来以后进去小管弯弯曲曲的
517	弗塞米	呋塞米	high	弗塞米塑尿就在这
560	小管业	小管液	high	浓缩小管业的一段
596	渗透亚	渗透压	high	是存在渗透亚差值的
599	渗透亚	渗透压	high	渗透亚是在1200毫升当量的
605	渗透亚	渗透压	high	所以这有渗透亚差
620	渗透亚	渗透压	high	内随部的渗透亚之所以能高
630	渗透亚	渗透压	high	组织液的渗透亚
631	渗透亚	渗透压	high	就比广内的小管渗透亚高
804	组织业	组织液	high	省随之组织业高盛
840	胜利学	生理学	high	这就是胜利学家说的一句话
