行号	误识	纠正为	置信度	原句
20	心脚痛	心绞痛	high	心脏的疼痛,心脚痛,就是通过交感传入,让人产生感受的,很多舒服的感受。
41	主动脉宫	主动脉弓	high	那么你想,这个是一通话的主动脉宫,脊椎脉动,这是压力感受反射。
44	主动脉宫	主动脉弓	high	你看主动脉宫这。
117	资深调节	自身调节	high	那边还有资深调节,刚才看了。
184	交概神经	交感神经	medium	在颈部的心状神经节、颈交概神经节。
218	蛋白基酶	蛋白激酶	high	去甲神和β1这么一个G蛋白偶联受体结合,通过GS蛋白激活AC,激活CMP,激活蛋白基酶A,PKA。
236	解抗剂	拮抗剂	high	逆法不离地,就是内科学常用的一个通用的叫RIF通道解抗剂。
255	节抗击	拮抗剂	high	你要给别人吃个改节抗击,比如说吃个微拉帕米,
266	肌盖蛋白	肌钙蛋白	high	另外还能降低肌盖蛋白,对盖的亲和力,
365	神经线微	神经纤维	high	所以没有神经线微,
421	超激化	超极化	high	超激化,
423	期自动区计划	期自动去极化	high	第四期自动区计划怎么实现不,
439	超激化	超极化	high	就超激化了,
443	超激化	超极化	high	变成虚极化超激化,
445	超激化	超极化	high	实际上是要模仿超激化,
446	超激化	超极化	high	超激化以后,
448	超激化	超极化	high	新的超激化有这个点位,
449	预点位	阈电位	high	那么和豆方结细胞那个预点位,
555	斗性节律	窦性节律	high	你知道我们是斗性节律的,
613	神经线位	神经纤维	high	支配的神经线位,
673	神经线位	神经纤维	high	第一个就是有关神经线位交感缩血管线位的分布,
729	体液调解	体液调节	high	提你这个内分泌体液调解呀,
735	结头前膜	接头前膜	high	结头前膜,
736	动作点位	动作电位	high	在发生动作点位的时候,
743	结头前膜	接头前膜	high	它这个结头前膜呀,
795	急休克	脊休克	high	叫急休克,
796	急休克	脊休克	high	急休克了,
809	神经线位	神经纤维	high	支配血管的神经线位,
1204	神经线位	神经纤维	high	这个神经线位叫,
1265	地质共存	递质共存	high	这是我们叫做地质共存原则,
1454	神经调解	神经调节	high	既然是神经调解,
1464	主动脉功	主动脉弓	high	和主动脉功压力感受反射,
1610	颈动脉豆	颈动脉窦	high	在这找这个所谓的颈动脉豆,
1611	颈动脉豆	颈动脉窦	high	颈动脉豆,
1613	颈动脉豆	颈动脉窦	high	颈动脉豆,
1615	主动脉功	主动脉弓	high	主动脉上也有这个主动脉功,
1621	颈动脉豆	颈动脉窦	high	颈动脉豆这个小感受器,
1625	主动脉功	主动脉弓	high	而主动脉功这个压力感受器,
1631	颈动脉豆	颈动脉窦	high	颈动脉豆,
1632	颈动脉豆	颈动脉窦	high	在这颈动脉豆和主动脉功,
1632	主动脉功	主动脉弓	high	在这颈动脉豆和主动脉功,
1686	主动脉功	主动脉弓	high	那么多主动脉功,
1780	主动脉功	主动脉弓	high	经过主动脉功压的感受,
1826	颈动脉豆	颈动脉窦	high	颈动脉豆,
1872	复返会	负反馈	medium	也叫做复返会的调定点,
1961	激血压	低血压	medium	会刺激血压升高吗,
1997	呼吸用	呼吸功	medium	如果把呼吸用呼吸机控制住,
2056	酸重度	酸中毒	high	酸重度这一回事呢,
2204	换基态	缓激肽	high	但是要去基态换基态里边,
2205	换基态	缓激肽	high	基态和换基态系统里边,
2210	换基态	缓激肽	high	也会促成换基态的降解,
2223	换基态	缓激肽	high	这个ACE同时还叫做换基态,
2261	级紧张	肌紧张	high	还能进一步降级紧张数三,
2320	盐皮质基素	盐皮质激素	high	叫盐皮质基素,
2369	吸血压	低血压	medium	呼吸血压增加,
2393	新血管中枢	心血管中枢	high	让盐水新血管中枢兴奋一点,
2514	支米班	致密斑	high	就是圆形效果70部那几个支米班
2524	支米班	致密斑	high	刺激支米班细胞
2561	胶感神经	交感神经	high	胶感神经和几个体液因素
2599	二茬分胺	儿茶酚胺	high	为什么都是和二茬分胺
2742	主动脉功	主动脉弓	high	解放痘和主动脉功呀
2887	康利尿激素	抗利尿激素	high	就是著名的康利尿激素
2891	康利尿激素	抗利尿激素	high	所以原来教材上康利尿激素ADH在圣诞讲就叫ADH
2897	康利尿激素	抗利尿激素	high	生理学中这个物质叫ADH康利尿激素
2919	夏秋脑	下丘脑	high	来自于夏秋脑的世上和和世旁说
2928	夏秋脑	下丘脑	high	通过夏秋脑垂体术去哪里了
2935	夏秋脑	下丘脑	high	夏秋脑合成好了以后
3012	超激化	超极化	high	内皮越性的超激化因子
3015	超激化	超极化	high	让细胞化成超激化
3068	超激化	超极化	high	叫内皮液性的超激化因子
3073	超激化	超极化	high	超激化物质
3077	辛房钠尿钛	心房钠尿肽	high	辛房钠尿钛
