行号	误识	纠正为	置信度	原句
4	关动力	原动力	medium	好同学们,咱们在第一节课讲了一下呼吸生理学的第一节肺通气的有关动力部分,所以那一会儿咱们很简单复习一下,学了一个通气的直接动力和原动力。
37	平行呼吸	平静呼吸	medium	一般用顺应性来度量或者衡量弹性阻力大线。这是平行呼吸的主要阻力,刚才看我,大概是占到同期总阻力的70%。
583	氢化可低松	氢化可的松	high	比如氢化可低松,
839	组织业	组织液	high	组织业生成的力量在哪里?
840	组织业	组织液	high	组织业生成,
841	组织业	组织液	high	肺间支里边也有组织业,
844	组织业	组织液	high	组织业生成的有鱼血路管压,
847	组织业	组织液	high	血管外面的组织业胶生压,
848	组织业	组织液	high	和组织业净水压,
852	组织业	组织液	high	就叫做血管外面组织业的,
860	组织业	组织液	high	组织业就把血管里边的水给抽出来,
1387	吸道阻力	气道阻力	medium	因为呼吸道阻力主要在这,
1433	非通气	肺通气	high	非通气的,
1478	呼起沫	呼吸膜	medium	呼起沫的肺泡,
1514	呼气沫	呼吸膜	medium	呼气沫,
1716	胜利学	生理学	high	这也是咱们胜利学,
