行号	误识	纠正为	置信度	原句
17	解抗剂	拮抗剂	high	如果十二指肠溃疡的话,给它吃个人一体冰呀,H2C解抗剂,或者吃个笨的抑制剂,奥米拉作,就能有效的。
89	趋极化	去极化	high	这就叫趋极化,
151	曲级化	去极化	high	节律性的一个曲级化波,
172	超级化	超极化	high	我就清理个超级化,
173	曲级化	去极化	high	工作如果不剧烈就清理曲级化,
313	性盖通道	型钙通道	high	爱的性盖通道盖内流区域化,
331	预点位	阈电位	high	到达预点位之后,
332	动作点位	动作电位	high	激发动作点位,
335	动作点位	动作电位	high	肌肉收缩是在动作点位基础之上的,
336	动作点位	动作电位	high	而动作点位又是发生在慢波的基础之上,
337	预点位	阈电位	high	有慢波才有机会到预点位,
338	预点位	阈电位	high	有机会预点位,
339	动作点位	动作电位	high	动作点位,
343	动作点位	动作电位	high	动作点位,
346	动作点位	动作电位	high	动作点位发生的频率就越高,
489	区计划	去极化	high	区计划一个时间需要,
496	区计划	去极化	high	是盖内流区计划的,
498	负极化	复极化	high	一般都是甲外有负极化,
825	神经管	神经元	medium	有个神经管
1026	醋胃液素	促胃液素	high	醋胃液素
1028	醋胰液素	促胰液素	high	醋胰液素
1036	醋胰液素	促胰液素	high	醋胰液素胰打囊
1042	氧分泌	旁分泌	medium	减性水氧分泌
1043	氧分泌	旁分泌	medium	和铭氧分泌
1050	醋胰液素	促胰液素	high	醋胰液素
1053	氧分泌	旁分泌	medium	减性水氧分泌
1055	氧分泌	旁分泌	medium	是铭氧分泌
1076	胰电分酶	胰淀粉酶	high	胰电分酶
1126	神经地质	神经递质	high	这也神经地质呀
1282	抑道素	胰岛素	high	你赶快跟那儿抑道素
1314	抑道素	胰岛素	high	促进抑道素的
1333	抑道素	胰岛素	high	和抑道素这个轴上
1337	抑道素	胰岛素	high	抑味态刺抑道素分泌
1341	抑道素	胰岛素	high	抑味态引发抑道素分泌
1351	抑道素	胰岛素	high	什么引发抑道素分泌
1386	孕肌素	孕激素	high	孕肌素刺激乳腺
1475	质子崩	质子泵	high	质子崩益之剂
1477	质子崩	质子泵	high	胃黏膜脾细胞的质子崩
1500	使用正	失用症	high	使用正常的
1690	醋乙液素	促胰液素	high	第一个就是醋乙液素
1692	醋乙液素	促胰液素	high	醋乙液素
1701	醋乙液素	促胰液素	high	醋乙液素和醋乙液素是一对
1701	醋乙液素	促胰液素	high	醋乙液素和醋乙液素是一对
1705	醋乙液素	促胰液素	high	醋乙液素到哪
1706	醋乙液素	促胰液素	high	醋乙液素到哪
1707	醋乙液素	促胰液素	high	醋乙液素进乙液的
1730	胃溃氧	胃溃疡	high	重老年人总是胃溃氧
1758	氧分泌	旁分泌	medium	刺激胃液解决食氧分泌
1762	疫分泌	自分泌	medium	促进胃代表免疫分泌
1764	复返亏	负反馈	high	是存在复返亏的
1786	复返亏	负反馈	high	所以他俩人直接存在复返亏
1787	复返亏	负反馈	high	复返亏的
1816	复返亏	负反馈	high	所以他们直接产生复返亏
1863	胃蛋白美元	胃蛋白酶原	high	加强胃蛋白美元
1876	氧分泌	旁分泌	medium	一个是胰液的酶氧分泌
1881	胃蛋白美元	胃蛋白酶原	high	胃蛋白美元的分泌
1993	脱液电分酶	唾液淀粉酶	high	另外一个脱液电分酶
