# 源音频：P04-生理学本科教学及考研基础课 p04 细胞3.m4a
# 时长：2812s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课在这个细胞的功能第二节,跨膜信号转导,我做了一个概述。
[00:00:18] 这一节的内容实际上慢慢学习就发现了,它的麻烦不是内容,是为什么细胞之间有一个信号转导。
[00:00:25] 所以理解这个转导,这两个字本身比理解内容写得更重要一些,不是内容不重要,这个内容实际上生理学和生化学它是重叠都要探讨的。
[00:00:36] 那么实际上在谈的这个话题我们说,因为机体是一个人体,是一个多细胞生物,系统和系统之间,细胞和细胞之间,器官器官之间,不断的进行信息交流,交感神经强而心脏活动加强一点,
[00:00:51] 迷子神经会让心脏活动减弱一点,大脑皮层想让肌肉收缩一下,什么中脑的一些合团会让瞳孔扩大缩小一下,让眼球转动一下,类似于这样。
[00:01:03] 这个神经系统活动它的一个想法,
[00:01:05] 就是说,肌肉怎么感知到的,感知到以后它又如何向你发生改变。
[00:01:10] 这个过程,所以实际上咱们一直说第二阶为什么比第一阶要困难一点,第一阶你只是谈具体一个物质,那粒子怎么从膜外能跑到膜内啊,假粒子从膜内怎么能跑到膜外啊,
[00:01:22] 我每天吃完饭之后就葡萄糖吸收以后,怎么能进入我的细胞内部,给细胞的代谢,提供能量。
[00:01:29] 它是具体一个物质转来转去的。
[00:01:32] 那么第二阶的麻烦就是两个细胞之间,
[00:01:34] 它进行一个信号转导,
[00:01:36] 就是类似于咱们两个人之间,
[00:01:38] 距离很远,咱们想说,
[00:01:40] 哥们儿,我请咱们一起相约去张家界玩一玩吧,
[00:01:43] 九寨沟,世界那么大,
[00:01:45] 我要去看看,
[00:01:46] 你怎么能让他知道,你发个微信,
[00:01:48] 打个电话,微博还留个言,
[00:01:51] 你类似于这样。
[00:01:52] 实际上问题是他的手机没电了,
[00:01:54] 你是发微信的,
[00:01:55] 他说他手机没电,或手机没信号,
[00:01:58] 能接受住,接受不了。
[00:02:00] 所以你的想法发出去以后,
[00:02:01] 你把你想约他去张家界,
[00:02:04] 九寨沟玩的这个想法,
[00:02:06] 变成几个文字,
[00:02:07] 哥们儿,郭庆咱们出去玩好不好?
[00:02:10] 文字就是你想法一个载体,
[00:02:13] 所以语言是思想体系的载体,
[00:02:15] 难怪一直中国有神话传说,
[00:02:18] 说我们中国老祖宗造出来中国字的时候,
[00:02:21] 一个文字汉字的时候,
[00:02:23] 惊天地,气鬼神,
[00:02:25] 因为你就能够把人的思想体系,
[00:02:27] 他的生活阅历,人生经验,
[00:02:30] 是把工具的制造技术等等,
[00:02:31] 一文字放是记录下来,
[00:02:33] 我们都去,
[00:02:34] 去读这个文字就能感受到,
[00:02:35] 这个镰刀,这个斧头应该这样造,
[00:02:39] 不是那样造,
[00:02:40] 炼铁,他炼的比我的好,
[00:02:42] 他怎么样,
[00:02:43] 把这个铁炉子给加热的,
[00:02:46] 有没有一个鼓风机往这边吹点风呀,
[00:02:49] 变成文字就记录下来,
[00:02:50] 在这之前咱们只是拿一个绳子,
[00:02:52] 过来击结,打一个结,
[00:02:55] 昨天我吃了一个馍,
[00:02:56] 一个馒头,我打一个结,
[00:02:58] 今天我吃了两个,打两个结,
[00:03:00] 击结,
[00:03:01] 所以文字非常恐怖,
[00:03:03] 因为文字,
[00:03:04] 很恐怖,
[00:03:04] 所以人就不小心呀,
[00:03:06] 宁可相信一个说法,
[00:03:08] 而不愿意相信事实,
[00:03:10] 这个在本科阶段还不太容易理解,
[00:03:12] 或不太容易掌握,
[00:03:13] 将来吧,
[00:03:14] 将来有机会你们好好学习,
[00:03:16] 读一个博士,
[00:03:17] 博士只有两个,
[00:03:18] 一个叫科学博士,
[00:03:19] 一个叫理学博士,
[00:03:20] 到那个时候你就能语言,
[00:03:22] 实际上,
[00:03:22] 我们学这么多,
[00:03:24] 学了两个字,
[00:03:24] 叫语言,
[00:03:26] 语言就是我们想法,
[00:03:28] 一个极好的载体,
[00:03:30] 我想什么,
[00:03:31] 我喜欢你,
[00:03:31] 不喜欢你,
[00:03:32] 我恨你是吧,
[00:03:33] 等等,
[00:03:34] 我记忽,
[00:03:34] 开大笑,
[00:03:35] 记忆度你,
[00:03:36] 是吧,
