行号	误识	纠正为	置信度	原句
166	巨石细胞	巨噬细胞	high	蛋核巨石细胞,
354	解抗剂	拮抗剂	high	叫ADP身体解抗剂,
509	鼻细胞	壁细胞	high	也长在胃黏膜鼻细胞上,
746	学校本聚集	血小板聚集	medium	是学校本聚集以后,
766	学校本聚集	血小板聚集	medium	你看学校本聚集,
776	学校本聚集	血小板聚集	medium	加完之后你让学校本聚集,
804	学校本聚集	血小板聚集	medium	学校本聚集以后呀,
886	正返回	正反馈	medium	正返回非常快,
1173	接抗剂	拮抗剂	high	改接抗剂,
1174	心脚痛	心绞痛	high	是能缓解或治疗心脚痛的,
1182	接抗剂	拮抗剂	high	该接抗剂是必须得有的药物,
1389	生理性知学	生理性止血	high	生理性知学,
1390	生理性知学	生理性止血	high	生理性知学这一节,
1396	生理性知学	生理性止血	high	咱们说生理性知学的概念背起来挺别的,
1406	生理性知学	生理性止血	high	这个现象就叫生理性知学,
1417	凝血瘾子	凝血因子	high	再吸附点凝血瘾子等等,
1524	积钙蛋白	肌钙蛋白	high	到处都是积钙蛋白,
1578	生理性知学	生理性止血	high	生理性知学这儿呀,
