# 源音频：P28-生理学本科教学及考研基础课 p28 呼吸-第二节（肺换气和组织换气）.m4a
# 时长：1056s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:00] 这样咱们就看呼吸这张的第二节肺换气和组织换气。
[00:00:05] 咱们刚才简单做了一句话的介绍,这一节咱们是以肺换气为主,组织换气它的原理和肺换气一样,只是说那个发生在细胞膜内外,咱们肺换气发生在呼吸膜两侧,吸血膨胀这一小块。
[00:00:19] 好,我们在细胞功能那一章第一节血管物质跨膜转运,你还记得气体分子怎么样?跨膜运输的单纯扩散。
[00:00:28] 所以原理比较简单,就是气体扩散的过程。
[00:00:30] 那要扩散的话,作为一个小分子的脂溶性气体分子,单纯扩散,它总是从浓度高的一侧向浓度低的一侧去扩散。
[00:00:39] 到呼吸生理学这一章里边,咱们有专业数据,气体扩散不扩散,咱们这不说浓度,咱们说分压。
[00:00:46] 为什么说分压?你知道,空气是个混合气体。
[00:00:49] 这个混合气体中,70%多,差不多78%就是氮气,剩下20%多一点是氧气,还有很少好说一点二氧化碳,一些多性气体等等。
[00:01:01] 这样的。那么这些气体,氧气,二氧化碳,氮气这些气体,在呼吸膜两侧都在发生交换。
[00:01:07] 怎么交换的?每一种气体交换的时候,只管它自己。
[00:01:11] 我们这样说,呼吸膜两侧该种气体的分压差,使它扩散的微移动。
[00:01:19] 所以氧气扩散,呼吸膜两侧有氧气分压差,可是老师,二氧化碳没有,二氧化碳没有是二氧化碳的事。
[00:01:26] 氧气能不能扩散?只看氧气的。
[00:01:28] 所以一定要注意分压的概念。
[00:01:30] 呼吸膜这儿,氧气要扩散,二氧化碳要扩散,氮气要扩散,它们要扩散,都各自看自己在呼吸膜两侧的分压差就好。
[00:01:39] 嗯,那么分压是什么概念?
[00:01:42] 所以这是中学应该学过,生理学这有用,咱们再听一下。
[00:01:45] 气体分压等于混合气体总的压力。
[00:01:49] 嗯。
[00:01:49] 去乘该气体在这个混合气体中压,所占的容积百分比,一边氧气占容积百分比的20%,那就大气压760乘以2,就是差不多100,150,152左右,这个样子。
[00:02:03] 但是在正常动脉,雪中,氧气的分压一般在100毫米平左右,还剩太低一点。
[00:02:09] 为什么?上节课学完你还记得不?
[00:02:11] 实际上真正和血液进行交换的不是新鲜空气,是肺内的残余气,残气,应该也跟医生讲。
[00:02:19] 功能与残气,功能与气量。
[00:02:21] 所以这样的话,我再炒起来500毫升,每次会运动的时候,并不能把肺泡气全部变化成新鲜空气,大约每一次就是更新七分之一左右。
[00:02:31] 这样的话,它的分压差比好不是太大,但是也足够换气使用了。
[00:02:36] 嗯。
[00:02:37] 所以这样重点是要学一个分压的概念,知道吗?
[00:02:39] 是容积百分比。
[00:02:41] 那么气体交换的时候,各自按自己的分压去进行。
[00:02:45] 这是一个概念。
[00:02:45] 第二个概念,有一个所谓的气体的扩散速。
[00:02:49] 一个混合气体中通过呼吸膜,它从膜一侧到另一侧,它这个扩散的速度怎么样?
[00:02:55] 受很多因素影响,包括压力差值呀,包括这个温度呀,等等,溶解度呀,它有很多很多概念,还包括气体本身分子量。
[00:03:03] 嗯。
[00:03:04] 在这个基础之上,除了这个温度,压力差,呼吸膜的通透性,呼吸膜面积,这些因素之外,那么就气体本身来说,氧气二氧化碳,
[00:03:15] 咱俩人在同样压力,同样面积,同样呼吸膜的厚度。
[00:03:19] 这个情况下,咱们俩人扩散怎么样?
[00:03:21] 所以,只是把气体分子,气体本身的力化特性拿出来,别的都不考虑,咱们都一样。
