行号	疑似误识	建议术语	原句
59	腺器官	腱器官	是甲状腺素,甲状腺器官,
111	释放核	室旁核	这个释放核能够合成缩工素,
125	蜜激素	雌激素	到处在合成蜂蜜激素,
129	蜜细胞	壁细胞	激素是内蜂蜜腺体或散载的内蜂蜜细胞所分泌一种高效能的生物活性物质,
202	胃蛋白胃元	胃蛋白酶原	胃蛋白胃元,
202	胃蛋白胃	胃蛋白酶	胃蛋白胃元,
203	胰蛋白胃元	胰蛋白酶原	胰蛋白胃元,
203	胰蛋白胃	胰蛋白酶	胰蛋白胃元,
284	肾肠腺素	肾上腺素	包括肾肠腺素,
291	肌激素	雌激素	泻肌激素,
509	能激素	凝集素	不能激素过来说
545	体化扩散	易化扩散	载体化扩散
818	到内分泌	胞内分泌	将来到内分泌的疾病
845	主席好	主细胞	医学一看毛主席好像把HTA的分泌节律背的比咱们还准确
954	代白磷酸化	蛋白磷酸化	该通过代白磷酸化
996	皮激素	雌激素	糖皮激素也能加强这么一个活动
1013	习细胞	壁细胞	慢慢通过咱们复习细胞那张第二节发现
1056	去激活	去极化	激活之后再去激活IF
1100	性基素	凝集素	水溶性基素
1102	性基素	凝集素	植溶性基素
1108	细细胞	壁细胞	细细胞表格
