# 源音频：P17-生理学本科教学及考研基础课 p17 循环-心肌电1.m4a
# 时长：2157s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好同学们,咱们下来就是正式进入心肌电的正题。
[00:00:14] 第一块先看工作细胞的跨膜电位、静息形成机制,这是咱们以后医学生涯中每天都会遭遇到的问题,问题比较重要,但是难度又特别大,你提前做好准备。
[00:00:28] 第一块咱们先看一下一个电活动的基本概念,就是静息电位。
[00:00:33] 所以我们在前面细胞电专门讲过,人体有三种细胞,接触适当刺激可以产生动作电位。
[00:00:40] 有基细细胞、神经元和内分泌线体细胞。
[00:00:45] 心肌细胞也是这样,心肌细胞咱们一般在学到心肌细胞动作电位的时候,代表人物就是心室筋。
[00:00:53] 但实际上你可以打开教学图一下,心房和心室肌细胞动作电位和心肌电位还有一点小小的区别,区别不大,一般是以心室肌细胞为例。
[00:01:04] 而像刚才咱们在谈到心肌细胞分类的时候,心室筋属于最典型的快反应的。
[00:01:10] 非自理细胞,这种概念你要先有,然后往下读。
[00:01:14] 人和哺乳类动物的心室筋细胞,它的近期电位,resting potential,约为-90毫伏。
[00:01:21] 你还记得在前面学过,神经细胞的近期电位-70,国际细胞-90,对了,心肌细胞-90。
[00:01:28] 这个-90毫伏,它不会出现在考题中,但-90毫伏这个数字就特别重要。
[00:01:33] 有同学就感觉说,老师,这个数字我怎么背回的?
[00:01:36] 医学,你学的多了就背回了。
[00:01:40] 这个原因是,你不熟悉整个的内容,你把整个的知识构架建立起来以后,填充数字非常容易。
[00:01:46] 有讲课讲,什么11.1,33.3,66.6,17.1,34.2,51.3,171,342,513。
[00:01:55] 时间久了,这些数字非常容易。
[00:01:57] 133-226,265,133-173,180-442,450-707,707以上。
[00:02:06] 这是讲什么?讲盛衰,讲唐建明的红症。
[00:02:09] 各种各样。
[00:02:10] 你时间久学医学之后,你脑子这边随便一蹦蹦出个三千五千个数字来,是没有任何问题的。
[00:02:17] 说实话,我得背那么多,你要做一个好病床医生就是这样。
[00:02:20] 蒙着一个老大爷进来,他说,大夫,给我砍个病。
[00:02:23] 脑子里啪一闪就几千个数据。
[00:02:25] 所以这一瞬间从这么多数据中抽取一个我需要的,来随时抬手就给老大爷确诊了。
[00:02:34] 所以为什么学医学非常困难?
[00:02:36] 医学,我印象中有很多医学大咖在谈一个话题。
[00:02:40] 就是我们医学所需要使用的思维方式,就不是理性的,就不是逻辑的,是有感而发的。
[00:02:49] 开个玩笑,是犯人类的。
[00:02:52] 你发现了没有?一个老大爷被抬进来之后,我们一眼看过去,老大爷是心梗,我们就按照心梗往下处理了。
