行号	误识	纠正为	置信度	原句
13	呼吸结率	呼吸节律	high	这里边有呼吸中枢和呼吸结率产生一些进展。
175	呼吸截律	呼吸节律	high	呼吸截律怎么形成的
225	感受去	感受器	medium	和肺的前章感受去传入
232	呼吸结率	呼吸节律	high	整个的呼吸中枢呼吸结率怎么形成
260	呼吸结率	呼吸节律	high	除了延随基本的呼吸结率
284	皮层脊髓术	皮层脊髓束	high	大脑皮层通过皮层脊髓术和皮层脑干术
284	皮层脑干术	皮层脑干束	high	大脑皮层通过皮层脊髓术和皮层脑干术
374	呼气中枢	呼吸中枢	medium	呼气中枢
563	主动脉宫	主动脉弓	high	主动脉体长在主动脉宫上
652	感受起	感受器	high	感受的是感受起细胞膜内的氢
685	碳收气	感受器	medium	进而刺激中枢二氧化碳收气
823	感受起	感受器	high	中枢的话感受起感受的是谁
893	感受起	感受器	high	他的话就感受起主要是对谁
985	前掌反射	牵张反射	high	著名的肺的前掌反射
991	前掌反射	牵张反射	high	我们称之为肺的前掌反射
1046	超气量	潮气量	high	密组神经能维持超气量的
