行号	疑似误识	建议术语	原句
8	理学呀	低血压	所以我们讲这一章内容总是开始要说一句话说,生理学呀,结构是公共的基础,而且老百姓都知道,所谓的牵一发而动全身。
13	心理失常	心律失常	像你的心理失常呀,甚至发生心肌梗死呀,这些很严重的临床后果。
209	种实验	正视眼	你能看到一种实验内容叫挖心灌溜,
242	脊细胞	壁细胞	拿一个心脊细胞,
566	心理失常	心律失常	你要一旦读过心理失常,
964	解反射	近反射	调解反射,
1014	意刺激	阈刺激	我们说叫新意刺激,
1481	叫反射	腱反射	那么什么叫反射啊?
1487	叫反射	腱反射	反射的结构基础叫反射弧,
1509	叫反射	腱反射	反射活有个基本的结构叫反射中枢,
1589	叫反射	腱反射	这个过程就叫反射,
2055	密细胞	壁细胞	掀取一个内封密细胞
2073	绪刺激	阈刺激	这个情绪刺激
2078	经性奋	性兴奋	交感神经性奋
2366	己调节	肌小节	自己调节活动
2377	蜜激素	雌激素	神经细胞合成蜂蜜激素
3058	时候强	视后像	排便有时候强调
3061	眠反射	腱反射	风眠反射
3156	得血压	低血压	他觉得血压高点才好
3387	始上课	视上核	也是刚才一开始上课之前说的
