# 源音频：P09-生理学本科教学及考研基础课 p09 肌细胞的收缩1.m4a
# 时长：6571s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:08] 好,同学们,咱们接下来拿一个整段的时间来学一学细胞这一章第四节,肌细胞的收缩。
[00:00:15] 可能到了这一节就有点医学的味道,你前面学物质狂暴转运、信号狂暴转导,甚至包括细胞的生物电,老找不到学习的感觉,第四节实际上就真正的进入医学体系了。
[00:00:28] 其实不是前面没进入,是你感觉不到你进入了。
[00:00:31] 这一节内容,作为老师这么多年,我从1993年开始讲课,27年了,老觉得这样的内容不难了,所以当老师世界就离开一个麻烦,什么麻烦,就是你老师觉得不难的,对同学来说不一定是这样。
[00:00:46] 这一节学到最后,就多少年之后,甚至一两年之后需要用这一节内容的时候,这一节一路的麻烦最大,因为好多东西,同学们拿不准,也会觉得是那样吧,是不是还一点不一样。
[00:01:01] 所以这一节内容,我想慢一点,讲细一点。
[00:01:06] 你知道人体不断的需要做各种各样的动作,眨眨眼眼,揉揉鼻子,吃点东西,走个路,跑个步,马拉松,都需要机器把手说来完成。
[00:01:17] 那么肌肉在人体是什么样子的?肌肉在人体有不同的描述。
[00:01:23] 在解剖学上,他喜欢把肌肉长在哪个地方,就叫什么类型,比方说骨骼肌,辅助在骨骼上,
[00:01:30] 让人产生
[00:01:31] 各种动作,姿势,活动,运动。
[00:01:35] 心肌当然就是心脏的构成了。
[00:01:38] 平滑肌主要构成内脏器官的管腔,等等,这个样子,气道平滑肌,膀胱平滑肌,消化道平滑肌,这些东西,内脏。
[00:01:47] 这是解剖学分类。
[00:01:49] 完了以后,学完解剖,咱们学这个组培,组织培的还学是在血液镜下,观察肌体的一个微细结构,解剖是一个大体的结构。
[00:01:58] 对了,这个肌肉内部,你问为什么有肌层?
[00:02:01] 什么黏膜呀,黏膜下,是吧,这个肌层,还外面还有浆膜层,这每个细胞的链接,什么方式进一链接的,还是什么疏松的,等等。
[00:02:13] 它是这样,所以组培学上,把血液镜底下观察,和肌肉的长轴,又垂直这种阴暗交替的条纹的,就叫横纹肌,横纹肌。
[00:02:25] 那么平滑肌,这一块,血液镜下看,没有横纹,没有横纹,有横纹是谁?
[00:02:31] 是骨骼和心肌。
[00:02:32] 这是组培学的分类。
[00:02:34] 生理学是研究功能的,我就发现人体这些肌肉,有一些大脑一想,它就能跟我的想法去走,我们就要随意去。
[00:02:43] 还有一些东西,比如说我想不想,它也能那样走,你比方说说,现在就好麻烦,现在歇会儿吧,歇不下来,这个样子,非随意去。
[00:02:53] 生理学上讲究结构是功能基础,为什么我有些肌肉就随意,有些肌肉就不随意,请你仔细研究会发现,
[00:03:01] 随意去接受着运动神经支配。
[00:03:05] 从这开始慢慢进入医学,为什么说,那么什么叫运动神经,学过解剖学同学们一般以为神经解剖学难,学了很美学一样,也重视,但是读不会。
[00:03:15] 生理学读完之后,神经生理学其实还是稀里糊涂的,这张内功难,但是你记住一句话,叫做总得有点东西拿得出手,我一点点分解下去,会点再说。
[00:03:26] 就从这一节开始,随意去接受运动神经,运动神经是谁?
[00:03:30] 具体说,就是解剖学上学过的,脊髓前脚的阿尔法运动神经元。
[00:03:38] 他支配的肌肉就随意的,我想要收缩收缩,不想要收缩就不收缩,设想,临床什么叫瘫痪,瘫痪就是我放上腿动一下,腿不动,腿不是我的。
[00:03:49] 设想瘫痪的时候就没腿,有腿,腿不听大脑皮森指挥了,就要瘫痪了,对了,不随意了。
[00:03:56] 这是最浅层次的,稍微深层次点就会发现什么?
[00:04:01] 发现大脑皮森指挥了,就会发现什么?
