行号	疑似误识	建议术语	原句
10	心理市场	心律失常	心理市场这些话题都来自于心血管系统的生理学的基本知识。
14	心理市场	心律失常	这一辈子到退休的时候恐怕最让你头大的依然还是内科学的心电图和心理市场。
18	习细胞	壁细胞	所以这样的话,我这两三年喜欢说句话,说要不是为了学习心机的电生理,那我干嘛学习细胞电生理呀。
20	能电位	锋电位	能电位,预电位这样一些话题,实际上就是想给细胞的,心机细胞的生物电,它的活动,打一个初步基础。
20	机细胞	壁细胞	能电位,预电位这样一些话题,实际上就是想给细胞的,心机细胞的生物电,它的活动,打一个初步基础。
21	机细胞	壁细胞	那么学完心机细胞的生物电,我们将来呀,给打开心电图这扇大门,给打开心理市场这一个非常难的一个大门,创造一个基础。
21	心理市场	心律失常	那么学完心机细胞的生物电,我们将来呀,给打开心电图这扇大门,给打开心理市场这一个非常难的一个大门,创造一个基础。
22	心理市场	心律失常	这个学习就是这样,可能你从大二学生你学什么也没学会,洗头苦涂背了点词,背完之后呀,到学到内科学,诊断学它的心电图心理市场。
25	学习到	血细胞	你会发现,学习到半年内科学,心电图心理市场没有学会,但是心电生理反而好像比越来好一点。
25	心理市场	心律失常	你会发现,学习到半年内科学,心电图心理市场没有学会,但是心电生理反而好像比越来好一点。
43	新知识	心指数	慢慢慢慢咱们学习专业可往前走,脑子里边就从原来一学一个小白,每天增加新知识。
82	心理失常	心律失常	输掉口血化药物,控制血压,然后适当处理心理失常。
92	心理失常	心律失常	要扛心衰药,扛高血压药,扛心理失常药,
94	心理失常	心律失常	加上慢慢的给诊断学学习,心电图学习,心理失常学习,
304	基细胞	壁细胞	一个基细胞,
306	蜜细胞	壁细胞	一个内蜂蜜细胞,
365	收缩细	收缩期	它不需要采用收缩细胞,
386	腺体细胞	前体细胞	内蜂蜜腺体细胞呀,
405	细细胞	壁细胞	那么实际上豆方结细细胞,
406	细细胞	壁细胞	方式结细细胞,
439	机细胞	壁细胞	都是个心机细胞,
606	心理失常	心律失常	就叫心理失常,
663	心理失常	心律失常	就会发生心理失常,
797	积细胞	壁细胞	吸食性房积细胞,
835	积细胞	壁细胞	新房积细胞,
842	机细胞	壁细胞	不同类型的新机细胞,
