行号	误识	纠正为	置信度	原句
6	复反馈	负反馈	high	它虽然也是里边反映了一个应该说比较独立的一个医学的思考模式,复反馈,下气后脑线垂体甲醛腺轴。
6	线垂体	腺垂体	high	它虽然也是里边反映了一个应该说比较独立的一个医学的思考模式,复反馈,下气后脑线垂体甲醛腺轴。
8	靶线轴	靶腺轴	high	你发现一个学生学了医学很多年之后,依然不知道甲醛腺负反馈,这个所谓的三条靶线轴四个促激素,实话实说,就老师这个角色来说,是很痛心的。
38	解抗剂	拮抗剂	high	给他吃个绿比格磷,我们传统意义上叫血小板ADP射体解抗剂,就能够有效的阻断血小板这个聚集和释放的正反馈。
153	八线轴	靶腺轴	high	咱们刚才讲的这个八线轴,
154	复返会	负反馈	medium	这个自动调节复返会,
156	线垂体	腺垂体	high	从下丘脑到线垂体,
161	假装线速	甲状腺素	high	你就叫假装线速,
162	假装线速	甲状腺素	high	假装线速,
166	复返会	负反馈	medium	生理学排名第一的复返会的一条路径,
293	皮脂醇	皮质醇	high	皮脂醇等等通过TRH
351	八线轴	靶腺轴	high	第一块是八线轴
428	八线轴	靶腺轴	high	这个八线轴
429	八线轴	靶腺轴	high	所以八线轴
433	复返会	负反馈	medium	就是个复返会
451	八线轴	靶腺轴	high	会接受着八线轴调控
453	八线轴	靶腺轴	high	八线轴能调控甲状腺
454	八线轴	靶腺轴	high	那么八线轴能调控甲状腺癌
462	八线轴	靶腺轴	high	咱们谈到八线轴
532	复返亏	负反馈	high	从下往上复返亏的
558	复返回	负反馈	medium	复返回作用越强
581	甲状腺组	甲状腺素	medium	对甲状腺组织的
586	复返亏	负反馈	high	这就叫复返亏
710	神经肌肉结头	神经肌肉接头	high	像神经肌肉结头处一样
771	复返回	负反馈	medium	所以刚才就利用这么一个复返回原理
774	复返回	负反馈	medium	那么越复返回一直TSH
859	下秋脑	下丘脑	high	下秋脑
882	复返会	负反馈	medium	复返会少了
943	机动剂	激动剂	high	也就是一个机动剂
956	复返窥	负反馈	high	又复返窥
1123	复返回	负反馈	medium	既能去复返回意志血水体
1124	去意志	去抑制	high	也能去意志下丘脑
1126	长返回	长反馈	medium	长返回
1130	长返回	长反馈	medium	到现在长返回
1137	复返回	负反馈	medium	经常还有一些复返回存在
1139	复返回	负反馈	medium	所以讲到复返回
1163	复返回	负反馈	medium	T3T4的复返回存
1325	甲状腺受	甲状腺轴	medium	在甲状腺受惠的病人身上
1467	复返会	负反馈	medium	这个复返会这么重要呀
