行号	误识	纠正为	置信度	原句
33	呼吸伤	呼吸商	high	你比如说呼吸伤,
499	呼吸伤	呼吸商	high	第三个就是呼吸伤,
500	呼吸伤	呼吸商	high	什么叫呼吸伤,
514	呼吸伤	呼吸商	high	然后咱们根据呼吸伤,
572	呼吸伤	呼吸商	high	它是呼吸伤,
603	呼吸伤	呼吸商	high	咱往后读呼吸伤,
604	呼吸伤	呼吸商	high	糖的呼吸伤是1,
612	呼吸伤	呼吸商	high	大概咱们的呼吸伤,
631	呼吸伤	呼吸商	high	用呼吸伤倒腿过来,
637	氧热加	氧热价	high	氧热加,
638	呼吸伤	呼吸商	high	呼吸伤,
695	呼吸伤	呼吸商	high	看呼吸伤本身就好,
696	呼吸伤	呼吸商	high	就是我说呼吸伤这个给你干嘛,
697	呼吸伤	呼吸商	high	你呼吸伤给你,
719	呼吸伤	呼吸商	high	非蛋白呼吸伤,
738	呼吸伤	呼吸商	high	因此实际上咱们这个呼吸伤啊,
739	呼吸伤	呼吸商	high	实际上是非蛋白呼吸伤,
759	呼吸伤	呼吸商	high	非蛋白呼吸伤,
761	呼吸伤	呼吸商	high	咱们所说的是那些呼吸伤,
780	呼吸伤	呼吸商	high	非蛋白呼吸伤的,
781	养热价	氧热价	high	这个概念和养热价,
785	呼吸伤	呼吸商	high	咱们的呼吸伤应该是在0.82,
801	养热价	氧热价	high	养热价正好是在20.1925,
806	呼吸伤	呼吸商	high	在0.82的呼吸伤情况下,
807	养热价	氧热价	high	咱们养热价是多少呀,
830	呼吸伤	呼吸商	high	咱们一般的呼吸伤是在0.82左右,
831	养热价	氧热价	high	这样对应的养热价是20.20,
861	氧氮量	氧含量	medium	根据氧氮量,
863	呼吸伤	呼吸商	high	然后计算出来非蛋白呼吸伤,
866	呼吸伤	呼吸商	high	非蛋白呼吸伤,
870	呼吸伤	呼吸商	high	混合食物一般是在0.82左右的非蛋白呼吸伤,
891	呼吸伤	呼吸商	high	但是你一定有一个呼吸伤,
892	呼吸伤	呼吸商	high	非蛋白呼吸伤,
901	呼吸伤	呼吸商	high	各自的呼吸伤,
907	呼吸伤	呼吸商	high	所以实际上有关呼吸伤这个话题呀,
914	呼吸伤	呼吸商	high	他的呼吸伤是什么样子的,
942	呼吸伤	呼吸商	high	他的呼吸伤,
954	呼吸伤	呼吸商	high	你说这个呼吸伤能不能大于1,
995	呼吸上	呼吸商	high	呼吸上就增大了,
1010	呼吸上	呼吸商	high	呼吸上可以变得小于1.7,
1090	呼吸伤	呼吸商	high	呼吸伤增大,
1092	呼吸伤	呼吸商	high	呼吸伤会增大,
1095	呼吸伤	呼吸商	high	呼吸伤可以小于0.71,
1103	呼吸伤	呼吸商	high	呼吸伤会增大,
1108	呼吸伤	呼吸商	high	呼吸伤和非代白呼吸伤,
1108	呼吸伤	呼吸商	high	呼吸伤和非代白呼吸伤,
1140	呼吸伤	呼吸商	high	这样有一个非蛋白呼吸伤,
1141	呼吸伤	呼吸商	high	还有一个呼吸伤大小变化的一些影响因素,
1143	呼吸伤	呼吸商	high	失衡影响呼吸伤,
1148	呼吸上	呼吸商	high	会导致呼吸上发生变化,
1158	呼吸上	呼吸商	high	在非蛋白呼吸上0.82的时候,
1163	呼吸上	呼吸商	high	叫混合膳食的呼吸上定义的0.82,
1401	分解合	肺结核	medium	肝脏的分解合成降解等等这些活动增强,
1490	呼吸伤	呼吸商	high	把基础状态的呼吸伤定于0.82,
1718	呼吸伤	呼吸商	high	再体会一下呼吸伤,
1720	呼吸伤	呼吸商	high	还要有呼吸伤,
1727	呼吸伤	呼吸商	high	就呼吸伤0.82的,
1738	呼吸伤	呼吸商	high	呼吸伤,
