行号	疑似误识	建议术语	原句
6	心理市场	心律失常	电活动确实是生理学很难的一个话题,但我们学好它的目的是给后面的心机电、心理市场、心电图给它去打基础,所以难也没有办法,先往下学。
9	机细胞	壁细胞	所以实际上我们就是这样,在第二章学的是一个基本的电活动规律,那么到了细胞、到了胸怀系统,心机细胞电活动呢,那显然就是一个很大的升级和加强。
24	速复计	壶腹嵴	在这段电位的过程中,细胞结束有个适当的刺激,膜电位发生一个快速区计划,又快速复计划,这一段我们称之为风电位。
55	去气化	去极化	而在动机电位去气化的时候,纳粒子越内流就越内流。
69	减慢摄	腱反射	在减慢摄血器的后半部分,
177	室三百	视蛋白	他都有学生出来,一下就上千人,一个教室三百多人。
349	有超级化	后超极化	这个点没有超级化,
352	有超级化	后超极化	这个没有超级化,
449	机细胞	壁细胞	心机细胞有同学学到虚化系统,
453	基细胞	壁细胞	心室基细胞进气电位怎么产生的,
622	半通道	慢通道	只复活了一半通道,
694	半通道	慢通道	只有一半通道是复活的,
742	心理失常	心律失常	心理失常怎么办,
