行号	误识	纠正为	置信度	原句
6	线垂体	腺垂体	high	因为一旦你有了一个内分泌的生理学概念之后,这里边你知道有个最大的内容,叫做把线轴,下丘脑,线垂体,然后到把线,
7	甲状线轴	甲状腺轴	high	所以说提三条把线轴,甲状线轴,肾上线皮质轴和性线。
20	八线轴	靶腺轴	high	姐姐讲了一个词,八线轴,而且到后面我要详细阐述一下,三条八线轴,四个促激素,
20	八线轴	靶腺轴	high	姐姐讲了一个词,八线轴,而且到后面我要详细阐述一下,三条八线轴,四个促激素,
21	下秋脑	下丘脑	high	这个内容放到第二节,我们要下秋脑和垂涕内分泌者,我们详细去探讨,
44	趋击反射	屈肌反射	high	被蒸炸了一下,一个趋击反射,很快速就实现了,就完成了,
164	醋胃液素	促胃液素	high	咱们比较熟悉的醋胃液素,
175	原具分泌	远距分泌	high	原具分泌经过血液运输,
283	暗类激素	胺类激素	high	包括你看暗类激素,
319	氨类激素	胺类激素	high	第一类就是氨类激素,
327	脚感神经	交感神经	high	脚感神经帛烧试法去甲生以后,
328	理细胞	粒细胞	high	如何对心理细胞发挥作用?
489	幻能作用	换能作用	high	幻能作用编码
528	此激素	雌激素	high	因此激素就是咱们说的第一信实
547	竞争性意志	竞争性抑制	high	竞争性意志
704	解抗作用	拮抗作用	high	解抗作用
753	运激素	孕激素	high	运激素
766	运激素	孕激素	high	运激素
932	部纯激素	固醇激素	medium	当内部纯激素进入细胞内
987	热受体	核受体	medium	进而被打热受体的数增加
1000	热受体	核受体	medium	实际上是能增加被打热受体数量的
1044	生长基素	生长激素	high	生长基素呀
1074	植类基素	脂类激素	high	植类基素的基因表达
1125	二查分胺	儿茶酚胺	high	这二查分胺
1135	二查分胺	儿茶酚胺	high	二查分胺
