行号	误识	纠正为	置信度	原句
5	房室严格	房室延搁	high	所以慢慢你触不解了一个概念,心脏有两个心房,两个心室,而且与房室严格这个现象存在,所以生理情况下心房和心室是不可能同步活动的。
43	内向正流	内向整流	high	而是著名的RQ1内向正流。
639	内脏平化剂	内脏平滑肌	high	内脏平化剂,
771	主动脉供	主动脉弓	high	从主动脉供出来以后,
789	主动脉供	主动脉弓	high	主动脉供反过来之后,
837	主动脉供	主动脉弓	high	不是长在主动脉供的同一个部位,
882	主动脉宫	主动脉弓	high	就主动脉宫这一块,
896	主动脉宫	主动脉弓	high	这些血管在主动脉宫上,
940	直解通路	直捷通路	high	直解通路和运回通路,
942	直解通路	直捷通路	high	关了关了你走直解通路呗,
1667	到血压	高血压	medium	所以你看到血压都已经下降了,
1776	主动脉宫	主动脉弓	high	从主动脉宫出来到微动脉之前,
2015	摄血期	射血期	high	心脏在摄血期,
2021	舒张四	舒张期	medium	舒张四个期,
2104	摄血分数	射血分数	high	摄血分数,
2114	收缩大	收缩压	medium	我是能亲自看到心脏舒张收缩大小变化的,
2118	摄血分数	射血分数	high	即能算出摄血分数,
2120	摄血分数	射血分数	high	一个人的心脏摄血分数LVEF小于40%的时候,
2149	收缩打	收缩压	medium	一收缩打进去了,
2206	收缩气	收缩期	high	收缩气的时候,
2208	舒张气	舒张期	high	舒张气的时候,
2264	心脏收缩期	心房收缩期	medium	心脏收缩期的时候,
2271	心脏收缩期	心房收缩期	medium	心脏收缩期的时候,
2566	舒张牙	舒张压	high	舒张牙应该是出现在下一个心动周期的等容收缩期末,
2723	书章器	舒张期	high	在心脏书章器的时候是那样,
2741	书章器	舒张期	high	可见书章器的时候,
2895	束张压	舒张压	high	一会束张压,
2980	输张压	舒张压	high	输张压还太低,
3161	收缩呀	收缩压	high	收缩呀,
3217	收缩器	收缩期	high	说明收缩器的时候,
3327	输上气	舒张期	medium	剩下三分之二血液输上气,
3415	舒张气	舒张期	high	保证舒张气,
3451	摩电位	膜电位	high	摩电位值越小,
3455	摩电位	膜电位	high	摩电位,
3460	摩电位	膜电位	high	摩电位,
