# 源音频：P65-生理学本科教学及考研基础课 p65 内分泌-第一节.m4a
# 时长：2127s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们这样拿一个整段时间来看一下生理学最后的一部分,内分泌。
[00:00:17] 所以有些教材的版本,我自己是喜欢把内分泌和生物脂肪一起,为什么?
[00:00:23] 因为一旦你有了一个内分泌的生理学概念之后,这里边你知道有个最大的内容,叫做把线轴,下丘脑,线垂体,然后到把线,
[00:00:35] 所以说提三条把线轴,甲状线轴,肾上线皮质轴和性线。
[00:00:42] 但是世界上生殖功能它有独立在一般意义上的内分泌之外,所以按咱们这个教材的话一般把生殖和内分泌分开的,这倒无所谓,
[00:00:51] 反正它作为一个重要内容,你首先在内分泌和生殖这一块有一个很精准的把线轴的概念,
[00:00:58] 这也是本科教学作为老师一定要强调的,就是你这块东西学完,它东西很碎,很杂,很乱。
[00:01:06] 大概咱们生理学有两张内容,一张是我看B站后面还有同学提问说是这个还缺着消化系统和能带的,
[00:01:15] 神经系统,雄怀系统,肾脏,细胞,这些内容都顾不上学习了,
[00:01:21] 我一边一直怎么那么关心消化系统,不是说不重要,因为正能够录课的时候因为工作需要和同学们一直要求,
[00:01:29] 所以咱们就得点时间,其实这一次我在录课的时候你也发现我是从训练开始到细胞,
[00:01:36] 其实补过来,因为后面我播到有用,甚至是太重要太急,我从那边跳过来讲,
[00:01:43] 这要我们这一次讲完内容,甚至以后我返回来就把消化行在就补上,缺不了,不害怕,
[00:01:49] 不害怕是到这个地方谈消化干嘛,消化这一张内容不难,难度不大,它特别琐碎,
[00:01:55] 所以就说你好像读完一遍一遍以后脑子里头一大堆,你老理不清楚消化系统学了哪些东西,
[00:02:01] 其实内分泌一样,其实一样,所以这张内容打开咱们谈内容,
[00:02:06] 姐姐讲了一个词,八线轴,而且到后面我要详细阐述一下,三条八线轴,四个促激素,
[00:02:13] 这个内容放到第二节,我们要下秋脑和垂涕内分泌者,我们详细去探讨,
[00:02:18] 所以好多好多内容,不是咱们初次读书或初次学习,想的那个样子,
[00:02:24] 这一次你要跟着一直听和听过来,你发现从细胞的生物变,到神经肌肉,
[00:02:30] 接头,然后到血液,甚至一个红细胞的生理,一个血管的生理,
[00:02:35] 咱们专门谈了几个内容,
[00:02:36] 什么华发里,甘肃,什么绿比格雷,阿斯匹林,
[00:02:40] 你发现你的审美的角度在变,内分泌一样的,内分泌很杂很乱,
[00:02:45] 但是又非常重要,你逃不掉,身体的生理功能活动,
[00:02:49] 神经调节,体液调节,子生调节,是啊,内分泌就是它的体液调节了,
[00:02:54] 它不是全部,但它显然是最重要的这一部分,没有问题,
[00:02:59] 这张内容大概有教材的话,变成什么六节,或者是再多一点,
[00:03:03] 我们就按照顺序吧,第一节叫做盖数,
[00:03:06] 到底内分泌这一张内容,这个话题要谈什么,
[00:03:10] 所以盖数这边谈说,内分泌系统和神经系统,
[00:03:13] 在功能上是紧密连接的,有相互作用,
[00:03:16] 共同实现对机体和器官的调节,维持内环境的相对稳定,
[00:03:22] 所以我们从虚论开始就讲,如果说神经调节,
[00:03:25] 它一反射弧的结构,快速精准,起效快,
[00:03:29] 持续时间短,效退也快,作用拔叠很准确,
[00:03:33] 这样一些特点,那么和它比较,
[00:03:35] 贴业调节,起效慢,它急速慢慢合成和释放,
[00:03:40] 作用时间长,作用范围广泛,这么个样子,
[00:03:43] 所以如果说神经调节,比如说被开水烫了一下,
[00:03:47] 被蒸炸了一下,一个趋击反射,很快速就实现了,就完成了,
[00:03:51] 那么贴业调节更多实现的是,生长发育,生殖,
[00:03:57] 代谢水平,这样一些调节,
[00:03:59] 所以它的作用相互,应该说是相互协同,
[00:04:05] 有更有侧重,这样比较合适,
[00:04:08] 但是慢慢慢慢从前面学过来,包括这一章,
[00:04:10] 你再往下读,你发现人体几乎哪一个激素,
[00:04:13] 或多或少,或直接或间接的,
[00:04:16] 都是在神经调控之下去实现的,
[00:04:19] 所以在早期的时候,
[00:04:21] 圣经学上讲一个词,说神经贴业调节,
[00:04:23] 慢慢这十多年就不特别强调,
[00:04:26] 因为世界上你要讲神经贴业调节的话,
[00:04:28] 没有哪个激素好像没有神经系统的参与,
[00:04:32] 内蜂蜜器官,咱们这一次学完,
[00:04:35] 是甲状腺素,甲状腺器官,
[00:04:38] 肯定是高度精密的,受交感神经支配的,
[00:04:42] 所以你慢慢读过内科学,你发现,
[00:04:44] 你只要能一直交感神经的活性,
[00:04:46] 比如说给它用一个β主体组织剂,普丹洛尔,
[00:04:49] 普丹洛尔这个药物,
[00:04:51] 能控制甲康的临床全部表现,
[00:04:55] 包括它的投眼,能改善症状,不能改善病情,
[00:05:00] 因为你用β主体组织剂阻断了β主体以后,
[00:05:02] 甲康临床表现没有了,
[00:05:04] 可是它甲状腺素水平还高,
[00:05:06] 可是甲状腺素你解决不掉,
[00:05:07] 所以你必须另外一个腾源要用甲基或丙基,
[00:05:10] 甲去弥作临床密钉,拿来抑制,
[00:05:15] 通过抑制酶系来减少T3T4的合成,
[00:05:18] 甚至转化和释放,
[00:05:21] 所以说β主体组织剂能改善症状,
[00:05:24] 不能改善病情,
[00:05:25] 只要甲康你要改善病情,
[00:05:27] 你还得用抑制甲状腺素合成的药物,
[00:05:30] 这是内科角度,外科当然更简单,
[00:05:32] 切了,没有甲状腺了,它就解决了,这样。
[00:05:36] 所以这个内容,
[00:05:37] 咱们就讲到这里,
[00:05:37] 打开的相互的一个概念。
[00:05:40] 那么作为机体重要的内蜂蜜腺体,
[00:05:43] 其实从重要性上讲,
[00:05:45] 脑垂体几乎就最重要的,
[00:05:47] 包括前眼和后眼,
[00:05:50] 蟹腿腿和神经垂体,
