行号	误识	纠正为	置信度	原句
30	几修课	脊休克	high	你如果能静下来听十分钟课,你也学一个几修课几动物,
42	见气关	腱器官	high	要是多的话,还能知道还有一个东西叫见气关。
45	缩内积纤维	梭内肌纤维	high	脊缩,它的缩内积纤维,会接受脊髓前脚伽马神经元研制配。
71	感受起	感受器	high	γ神经元通过支配缩内积,来改变肌肉的感受起急缩的敏感性,
144	运动前驱	运动前区	high	中央前方运动前驱,
265	肌羞科	脊休克	high	才明白什么是个肌羞科,
325	心理储备	心力储备	high	调动起来你的心理储备,
346	结抗积	拮抗剂	high	所以说钙结抗积,
356	结抗积	拮抗剂	high	钙结抗积CCB,
549	脊修刻	脊休克	high	叫脊修刻,
552	脊修刻	脊休克	high	它为什么就脊修刻了,
569	豆性结率	窦性节律	high	叫豆性结率,
611	即休克	脊休克	high	即休克了,
628	即休克	脊休克	high	即休克时间就越长,
635	即休克	脊休克	high	咱们一般做即休克的时候经常观察的是,
645	即休克	脊休克	high	即休克时间很短,
647	即休克	脊休克	high	即休克的时间就越长,
698	急休克	脊休克	high	麻醉药就是人为制造了一个可逆行一过性的急休克状态,
714	急休克	脊休克	high	就是可逆行一个人为制造的可逆行的急休克过程,
721	急休克	脊休克	high	再打麻醉药打了一个急休克,
727	急休克	脊休克	high	所以急休克的失业动物,
751	急休克	脊休克	high	急休克了,
772	脊锈科	脊休克	high	是脊锈科的患者,
773	脊锈科	脊休克	high	脊锈科的,
775	脊锈科	脊休克	high	说老师这东西脊锈科怎么还占了一亿尿,
784	脊锈科	脊休克	high	脊锈科了以后呀,
819	己修课	脊休克	high	所以己修课的时候,
823	己修课	脊休克	high	己修课活了,
829	己修课	脊休克	high	所以己修课,
832	己修课	脊休克	high	为什么己修课的动物会有这么四条表现,
833	己修课	脊休克	high	己修课的患者会有这四条表现,
847	己修课	脊休克	high	也是同样会发生己修课现象的,
852	己修课	脊休克	high	经常它的己修课时间会更长一点,
856	己修课	脊休克	high	己修课的时间长短也不一样,
862	己修课	脊休克	high	有关己修课的时间描述,
869	己修课	脊休克	high	己修课,
871	己修课	脊休克	high	己修课的时间,
887	己修课	脊休克	high	己修课时间最长,
891	己修课	脊休克	high	己修课早就恢复了,
898	己修课	脊休克	high	就是己修课恢复了,
907	己修课	脊休克	high	己修课恢复能恢复己随本身一些活动,
921	己修课	脊休克	high	己修课作为人在外科学上,
922	己修课	脊休克	high	也就是己修课持续时间两三天到五六七八周的,
1032	几休课	脊休克	high	刚才说几休课的时候,
1087	肌羞壳	脊休克	high	肌羞壳的恢复时间不一样,
1105	肌羞壳	脊休克	high	肌羞壳的时间会更长,
1130	痘性结率	窦性节律	high	痘性结率传不下去,
1141	急休科	脊休克	high	第二个是在急休科恢复的过程中,
1152	趋击反射	屈肌反射	high	先恢复趋击反射,
1154	趋击反射	屈肌反射	high	那肯定是趋击反射简单,
1169	趋击反射	屈肌反射	high	趋击反射,
1172	脊丘磕	脊休克	medium	在脊丘磕的时候,
1181	脊丘磕	脊休克	medium	而在脊丘磕恢复以后,
1191	脊丘磕	脊休克	medium	脊丘磕恢复以后的大小便,
1205	脊丘磕	脊休克	medium	脊丘磕恢复以后的大小便是失禁,
1206	脊丘磕	脊休克	medium	那么脊丘磕恢发生的时候是缝尿储留,
1255	急休卡	脊休克	medium	急休卡发生的时候,
1262	急休卡	脊休克	medium	现在急休卡恢复了,
1338	曲级反射	屈肌反射	high	完成一个曲级反射
1366	急休课	脊休克	high	急休课和急休课恢复
1366	急休课	脊休克	high	急休课和急休课恢复
1390	皮层几岁数	皮层脊髓束	high	你说皮层几岁数
1399	皮层几岁数	皮层脊髓束	high	那么皮层几岁数
1516	脊羞科	脊休克	high	脊羞科和脊羞科恢复的表现了
1516	脊羞科	脊休克	high	脊羞科和脊羞科恢复的表现了
1564	急休克	脊休克	high	急休克的时候
1570	急休克	脊休克	high	刚才的急休克都看到了啊
1605	腹室呼吸	腹式呼吸	high	但是腹室呼吸
1606	胸室呼吸	胸式呼吸	high	便且胸室呼吸消失
1633	肩反射	腱反射	high	跟肩反射活跃或抗净
1647	肩反射	腱反射	high	跟肩反射活跃或抗净
1694	后发方	后发放	high	后发方
1697	后发方	后发放	high	后发方
1698	趋激反射	屈肌反射	high	是趋激反射增强的典型表现
1700	后发方	后发放	high	这个冰正软就是后发方
1706	伏散式联系	辐散式联系	high	伏散式联系
1713	后发方	后发放	high	这就是一个典型的后发方的现象
1874	健反射	腱反射	high	临床看到的这个下肢健反射抗净病理数证阳性
1916	胸室呼吸	胸式呼吸	high	但是胸室呼吸消失
1917	胸室呼吸	胸式呼吸	high	胸室呼吸如果消失胸壁的起伏
