行号	误识	纠正为	置信度	原句
14	超激化	超极化	high	什么内皮素呀,什么内皮液性的舒张因子呀,内皮液性的超激化因子呀,这儿一些话题。
48	呼吸总	呼吸功	medium	呼吸总体上是什么?
49	呼吸总	呼吸功	medium	呼吸总体上是什么?
50	呼吸总	呼吸功	medium	呼吸总体上是什么?
51	呼吸总	呼吸功	medium	呼吸总体上是什么?
52	呼吸总	呼吸功	medium	呼吸总体上是什么?
53	呼吸总	呼吸功	medium	呼吸总体上是什么?
54	呼吸总	呼吸功	medium	呼吸总体上是什么?
55	呼吸总	呼吸功	medium	呼吸总体上是什么?
56	呼吸总	呼吸功	medium	呼吸总体上是什么?
57	呼吸总	呼吸功	medium	呼吸总体上是什么?
92	直解通路	直捷通路	high	迂回通路,直解通路,动静脉短路。
125	外乎气	外呼吸	medium	无外乎气体要进出,无外乎两个内容,
444	肺环气	肺换气	high	所以肺泡是肺环气的主要场所,
834	胸脖呛	胸膜腔	medium	胸脖呛得脏丝病病的,
1331	呼气膜	呼吸膜	medium	即使是在呼气膜
1337	呼气膜	呼吸膜	medium	我在呼气膜的时候
1341	呼气膜	呼吸膜	medium	那么在把呼气膜
1499	胸膜枪	胸膜腔	high	胸膜枪负压
1522	呼气膜	呼吸膜	medium	呼气膜的时候
