行号	误识	纠正为	置信度	原句
186	平衡点位	平衡电位	high	平衡点位是理想值,
187	静息点位	静息电位	high	静息点位是实际值,
193	静息点位	静息电位	high	静息点位和你用公式Nest公式算的那个平衡点位之间,
193	平衡点位	平衡电位	high	静息点位和你用公式Nest公式算的那个平衡点位之间,
227	复返馈	负反馈	high	男性生殖是整个一个复返馈,
229	复返馈	负反馈	high	复返馈的平衡,
749	原始卵胞	原始卵泡	medium	原始卵胞处在胎胎五个月的时候达到最多,
765	复返会	负反馈	medium	因为男性他复返会的一个生殖功能的复返会平衡,
765	复返会	负反馈	medium	因为男性他复返会的一个生殖功能的复返会平衡,
788	原始卵胞	原始卵泡	medium	原始卵胞的数量,
794	原始卵胞	原始卵泡	medium	使得原始卵胞被过度激活,
807	原始卵胞	原始卵泡	medium	刚才是第一部分是原始卵胞,
809	原始卵胞	原始卵泡	medium	上面原始卵胞,
811	初级卵胞	初级卵泡	medium	初级卵胞,
852	次级素	雌激素	high	为了减少体内次级素来源,
1258	蕴激素	孕激素	high	刺蕴激素
1259	复返回	负反馈	medium	加强复返回作用
1267	复返回	负反馈	medium	加强复返回了不是
1269	复返回	负反馈	medium	避孕药就是一个复返回的
1274	复返回	负反馈	medium	就是复返回
1275	复返回	负反馈	medium	复返回加强了以后
1392	次激素	雌激素	high	黄体来的次激素
1395	次激素	雌激素	high	次激素
1407	次激素	雌激素	high	同时也分泌次激素
1436	克里细胞	颗粒细胞	high	克里细胞
1499	复返会	负反馈	medium	复返会意志
1504	复返会	负反馈	medium	不再复返会意志
1507	下秋脑	下丘脑	high	下秋脑的
1583	母激素	促激素	medium	就分泌刺母激素
1584	母激素	促激素	medium	黄体继续分泌刺母激素
1593	孕肌素	孕激素	high	孕肌素主要是孕童
1597	孕肌素	孕激素	high	除刺激素和孕肌素之外
1601	益质素	抑制素	high	和益质素等等
1603	益质素	抑制素	high	益质素
1710	运激素	孕激素	high	所以你发现了黄体分别是运激素为主
1714	乙激素	雌激素	medium	雌激素和乙激素主要是与性激素结合蛋白
1741	乙激素	雌激素	medium	雌激素和乙激素的作用
1804	跨模信号转导	跨膜信号转导	high	通过跨模信号转导发挥快速效应
1848	磁基素	雌激素	high	磁基素是运机素的基础
1848	运机素	孕激素	high	磁基素是运机素的基础
1849	磁基素	雌激素	high	磁基素是作为背景来存在的
1850	运机素	孕激素	high	运机素适当在描绘一点红维蓝图
1854	磁基素	雌激素	high	磁基素是基础
1857	磁基素	雌激素	high	磁基素吧
1867	磁基素	雌激素	high	先看磁基素的
