行号	误识	纠正为	置信度	原句
311	系分泌	自分泌	medium	因为黄体系分泌两个激素
320	复返馈	负反馈	high	最典型的复返馈的概念
323	靶线轴	靶腺轴	high	人体有三条靶线轴
327	线垂体	腺垂体	high	线垂体
336	线垂体	腺垂体	high	叫下丘脑线垂体
345	靶线轴	靶腺轴	high	靶线轴的时候
348	线垂体	腺垂体	high	下丘脑线垂体靶线
353	线垂体	腺垂体	high	线垂体
360	复返亏	负反馈	high	是复返亏抑制的
365	复返亏	负反馈	high	这就是复返亏
370	八线轴	靶腺轴	high	对于八线轴
371	复返亏	负反馈	high	不是复返亏的
372	正返亏	正反馈	high	而是正返亏的
377	正返亏	正反馈	high	怎么就会正返亏
390	正返亏	正反馈	high	产生了正返亏
393	八线轴	靶腺轴	high	明明三条八线轴
394	醋激素	促激素	high	偏偏四个醋激素
403	复返亏	负反馈	high	FSH依然接受着传统的复返亏
404	八线轴	靶腺轴	high	和别的八线轴一样
405	正返亏	正反馈	high	LH就变成正返亏了
414	线锤体	腺垂体	high	线锤体释放LH
423	正返亏	正反馈	high	给我正返亏成的
431	正返亏	正反馈	high	因为咱哥俩是正返亏的
437	正返亏	正反馈	high	正返亏是有意义的
439	次激素	雌激素	high	四个次激素
443	次激素	雌激素	high	次激素第一次高峰
444	线锤体	腺垂体	high	对来自于线锤体的LH
445	正返亏	正反馈	high	产生了正返亏
448	次激素	雌激素	high	次激素第一次来
449	负返亏	负反馈	high	负返亏
455	次激素	雌激素	high	次激素第一次高峰
456	正返亏	正反馈	high	给正返亏了
464	负返亏	负反馈	high	就会负返亏的
468	次激素	雌激素	high	卵炮次激素
570	复返亏	负反馈	high	复返亏了
571	正反亏	正反馈	high	LH那边正反亏
572	正反亏	正反馈	high	正反亏的目的是
581	复返亏	负反馈	high	复返亏
665	复返回	负反馈	medium	复返回
667	复返回	负反馈	medium	一只素复返回
699	优势暖炮	优势卵泡	medium	什么叫优势暖炮
752	复反馈	负反馈	high	一个复反馈
766	复反馈	负反馈	high	心血中的复反馈
771	复反馈	负反馈	high	不再被人复反馈
1121	力细胞	粒细胞	high	来得系接力细胞
1123	熏激素	孕激素	medium	熏激素
1126	熏激素	孕激素	medium	熏激素哪来
1135	熏激素	孕激素	medium	熏激素是来自于
1190	形成熟	性成熟	high	发育为外形成熟的
1326	形成熟	性成熟	high	精细胞经过一系列形态的变化变成外形成熟
1329	形成熟	性成熟	high	形成成熟的外形成熟的精子
1393	稿屏障	睾屏障	high	通过所谓的血稿屏障
1739	优势软泡	优势卵泡	medium	优势软泡
1883	克里细胞	颗粒细胞	high	刚才说克里细胞
1943	肋骨醇激素	类固醇激素	high	固醇肋骨醇激素
2009	腹脂酶	辅脂酶	high	但没有腹脂酶干不成
2026	次居素	雌激素	medium	次居素有四个或者五个来源
2030	月经咒气	月经周期	high	什么叫月经咒气
2052	次居素	雌激素	medium	雄激素次居素
2083	脂肪激素	释放激素	medium	下丘脑处性线这组脂肪激素RH
2111	线垂体	腺垂体	high	你看这两个小线垂体激素
2209	下球脑	下丘脑	high	同时也移植下球脑分泌Ging IH
2236	克里细胞	颗粒细胞	high	克里细胞抑制素
2284	复反馈	负反馈	high	去向睾酮反回来复反馈
2355	磁力素	雌激素	medium	向磁力素转化
2357	复返会	负反馈	medium	对保鲜中复返会的
2414	靶线轴	靶腺轴	high	著名的三条靶线轴
2418	靶线轴	靶腺轴	high	在整个靶线轴活动
2419	靶线轴	靶腺轴	high	靶线轴的功能
2420	靶线轴	靶腺轴	high	和靶线轴的调控过程都不一样
2455	醋激素	促激素	high	原本叫做醋激素
2459	醋激素	促激素	high	有4个醋激素
2460	醋激素	促激素	high	3个非醋激素
2468	醋激素	促激素	high	醋激素
