行号	疑似误识	建议术语	原句
310	脚反射	腱反射	五个级的前脚反射,
311	脚反射	腱反射	趋脚反射,
317	高中枢	饱中枢	这个咱们一般认为下丘脑是内脏活动的最高中枢,
443	中式神经系统	中枢神经系统	在中式神经系统里,
448	中式神经系统	中枢神经系统	中式神经系统,
487	益细胞	壁细胞	有利益细胞,
490	霸细胞	壁细胞	还有灵霸细胞等等,
556	连接来	连接肽	是通过突出连接来进行信息交流的,
641	抑制部	抑制区	你知道什么叫中枢抑制部,
719	神经基有接头	神经肌肉接头	这神经基有接头,
773	基感蛋白	肌钙蛋白	就能处罚更多或更少的基感蛋白和粗细基色化锡,
777	登上自身调解	等长自身调节	登上自身调解,
912	感受刺	感受器	感受刺激,
917	影激素	凝集素	风影激素,
919	十方核	室旁核	你比如下秋脑的世上十方核,
923	影激素	凝集素	所以它还有一个这个风影激素的一个作用,
972	命纪元	凝集原	生命纪元之间不再有信息传递了,
1052	立长期	低常期	立长期,
1063	续计化	去极化	突然一续计化,
1066	续计化	去极化	把续计化完,
1346	部点微	阈电位	只会有局部点微,
1361	静气电位	静息电位	如何从静气电位到达预电位的,
1429	去电位	阈电位	就没法把膜电位一直从神经细胞负七毫伏进去电位啊,
1797	着细胞	主细胞	慢速运输的话是沿着细胞内部的微卦微似的生长,
1909	基细胞	壁细胞	甚至骨骼基细胞是不是也会合成一些营养因子来营养它的二反神经元元,
1931	周强运输	轴浆运输	周强运输,
1936	周强运输	轴浆运输	周强运输,
2090	狼狈节	郎飞结	动机电力只能产生在狼狈节之间跳跃式传导,
2092	神经较致	神经调质	神经较致细胞不能产生动作电力,
2097	风气连接	缝隙连接	甘不沾沟风气连接的方式存在的,
