行号	误识	纠正为	置信度	原句
5	粒子通道型受体	离子通道型受体	high	实际上这一块还有第三小块,咱们写的九版书印象中是写在第一部分,叫粒子通道型受体,这粒子通道受体界组的信号转导,说伴随着细胞膜和一些粒子通道呀,它的开放和关闭。
9	中板膜	终板膜	high	你要这个事情的话,在咱们细胞这一章的第四节,五个级细胞收缩,那个地方谈的一个神经基接头,那个地方的中板膜和N2型的也解说。
14	蛋白基酶	蛋白激酶	high	这个应该叫下游的物质,就是PKA,ACE来的蛋白基酶。
15	蛋白基酶	蛋白激酶	high	蛋白基酶在细胞膜上,该类似通道,这个不正合蛋白,通道是个蛋白质。
19	中板膜	终板膜	high	这个东西释放出来以后,诶,和中板膜和这个N2型的一线单解的受体,严解性的单解能受体,和它结合之后,中板膜突然对钠离子,对钾离子具有通透性了。
19	中板膜	终板膜	high	这个东西释放出来以后,诶,和中板膜和这个N2型的一线单解的受体,严解性的单解能受体,和它结合之后,中板膜突然对钠离子,对钾离子具有通透性了。
24	中板膜	终板膜	high	通道长在中板膜上怎么开放呢?
28	中板膜	终板膜	high	中板膜还是个通道,是需要结合化学物质才开放。
188	心脚痛	心绞痛	high	你说是不是变形心脚痛
333	生物链	生物电	medium	细胞生物链难不难
382	预电位	阈电位	high	到底什么叫做预电位
474	神经线微	神经纤维	high	枪武贼这个神经线微
492	神经线微	神经纤维	high	你要把一条神经线微放大十倍的话
497	神经线微	神经纤维	high	枪武贼这个神经线微
506	神经线微	神经纤维	high	这个神经线微的侧面
508	神经线微	神经纤维	high	放到神经线微的断端
522	细胞外野	细胞外液	high	所谓细胞外野环境
541	酸重度	酸中毒	high	呼吸性的酸重度
545	减重度	碱中毒	high	呼吸性的减重度
575	减重度	碱中毒	high	呼吸性减重度
587	减重度	碱中毒	high	减重度了怎么办
691	模片潜	膜片钳	high	模片潜质技术
950	电压前	电压钳	high	就用电压前的技术
975	超级化	超极化	high	说超级化
982	超级化	超极化	high	超级化
988	区级化	去极化	high	就叫区级化
989	区级化	去极化	high	叫区级化
991	反级化	反极化	high	还有反级化就好理解了
1001	区级化	去极化	high	快速的区级化过程
1002	区级化	去极化	high	膜区级化的时候
1019	反击化	反极化	high	我们叫做反击化
1020	反击化	反极化	high	那么在反击化的情况下
1029	负极化	复极化	high	现在还有负极化
1032	区级化	去极化	high	西方膜区级化以后
1036	负极化	复极化	high	这个过程叫负极化
1042	负极化	复极化	high	负极化是个什么东西
1046	去计划	去极化	high	就是说模的为去计划完成以后
1051	去计划	去极化	high	什么叫去计划
1054	超计划	超极化	high	什么叫超计划
1057	超计划	超极化	high	超计划
1058	去计划	去极化	high	去计划
1060	去计划	去极化	high	去计划了
1061	去计划	去极化	high	正在去计划
1064	负计划	复极化	high	而负计划
1067	负计划	复极化	high	我是负计划的
1069	负计划	复极化	high	是负计划完了没完
1071	去计划	去极化	high	我是去计划的
1074	去计划	去极化	high	去计划
1077	超计划	超极化	high	我超计划的
1078	超计划	超极化	high	所以超计划去计划
1078	去计划	去极化	high	所以超计划去计划
1081	负计划	复极化	high	但是负计划就一种
1082	负计划	复极化	high	负计划只能拿来描述
1085	去计划	去极化	high	你是在去计划的时候
1086	负计划	复极化	high	还是负计划的时候
1095	去计划	去极化	high	去计划
1097	负计划	复极化	high	负计划
1099	去计划	去极化	high	而去计划超计划
1099	超计划	超极化	high	而去计划超计划
1103	超计划	超极化	high	超计划
1104	去计划	去极化	high	去计划
1105	负计划	复极化	high	负计划
1106	反计划	反极化	high	反计划
1127	超计划	超极化	high	叫超计划
1129	去计划	去极化	high	叫去计划
1130	去计划	去极化	high	去计划也好
1131	负计划	复极化	high	负计划也好
1132	超计划	超极化	high	超计划也好
1133	去计划	去极化	high	去计划也好
1134	超计划	超极化	high	超计划也好
1135	超计划	超极化	high	超计划也好
1137	反计划	反极化	high	但是反计划就不同了
