行号	误识	纠正为	置信度	原句
4	体液调解	体液调节	high	好同学们,上一节和咱们讲了一下下丘脑和垂体,一个是二者之间的相互关系,第二个是下丘脑和垂体各自在内分泌或者说体液调解人体整个的一个激素,
5	线垂体	腺垂体	high	主要是内分泌的综合复杂的网络调控里面有一个作用,你可以把下丘脑和垂体,特别是线垂体,理解为是咱们整个TS的一个中枯的部分,所以在里面提出一个所谓的把线轴的概念,
6	线垂体	腺垂体	high	就是线垂体的三大粗激素,三大类,粗甲状线素,粗肾上线,脾质激素,就是TSH,ACTH,以及粗性线激素,实际上你知道它们是两个,FSH和LH,所以提出一个概念,三条把线轴,四个粗激素。
6	粗激素	促激素	high	就是线垂体的三大粗激素,三大类,粗甲状线素,粗肾上线,脾质激素,就是TSH,ACTH,以及粗性线激素,实际上你知道它们是两个,FSH和LH,所以提出一个概念,三条把线轴,四个粗激素。
6	甲状线素	甲状腺素	high	就是线垂体的三大粗激素,三大类,粗甲状线素,粗肾上线,脾质激素,就是TSH,ACTH,以及粗性线激素,实际上你知道它们是两个,FSH和LH,所以提出一个概念,三条把线轴,四个粗激素。
6	粗激素	促激素	high	就是线垂体的三大粗激素,三大类,粗甲状线素,粗肾上线,脾质激素,就是TSH,ACTH,以及粗性线激素,实际上你知道它们是两个,FSH和LH,所以提出一个概念,三条把线轴,四个粗激素。
7	线垂体	腺垂体	high	然后线垂体除了这个经典的四大粗激素之外,还有著名的生长激素,蜜乳素,以及粗黑素。
7	粗激素	促激素	high	然后线垂体除了这个经典的四大粗激素之外,还有著名的生长激素,蜜乳素,以及粗黑素。
8	粗激素	促激素	high	所以为了同学们能够有个比较清晰的认识,咱们还专门这几年一直想着讲一句话,MSH,粗黑素,粗黑素听起来是粗黑素,可不是粗激素,这个样子的。
440	通向转运	同向转运	high	那么纳和点的这个通向转运就实现不了了
501	甲状腺毒	甲状腺素	medium	更多届的所谓的甲状腺毒腺
546	复返溃	负反馈	high	复返溃
547	复返溃	负反馈	high	复返溃
548	复返溃	负反馈	high	复返溃
554	复返溃	负反馈	high	由于复返溃相式
555	复返溃	负反馈	high	形式取复返溃的意志
1068	复返亏	负反馈	high	复返亏
1501	钠甲泵	钠钾泵	high	钠甲泵酶的活性有关系
1867	猪乳症	侏儒症	high	猪乳症是身体不协调
