行号	误识	纠正为	置信度	原句
27	趋极反射	屈肌反射	high	从趋极反射对策,升级反射甚至,
30	趋极反射	屈肌反射	high	说趋极反射是一个多突出反射,
30	多突出反射	多突触反射	high	说趋极反射是一个多突出反射,
42	趋极反射	屈肌反射	high	趋极反射也是一个单突出反射,
42	单突出反射	单突触反射	high	趋极反射也是一个单突出反射,
213	同孔对光反射	瞳孔对光反射	high	同孔对光反射和交互性对光反射消失,
214	同孔对光反射	瞳孔对光反射	high	一侧同孔对光反射障碍,另一侧正常,
220	同孔对光反射	瞳孔对光反射	high	依侧同孔对光反射
262	神经全	神经元	medium	以至于把局部的血管、神经全部给压死了,
505	胶杆神经	交感神经	high	胶杆神经
516	胶杆神经	交感神经	high	而胶杆神经一行通过圣上线随制
551	脚感神经	交感神经	high	你打个脚才读一下,脚感神经兴奋的时候,不光是
584	神灵系统	神经系统	medium	下面这个地方有两个大的表格,大的表格已经讲了很多次了,包括咱们这一次讲神灵系统
593	胶杆神经	交感神经	high	我们胶杆神经
606	胶杆神经	交感神经	high	一谈到胶杆神经对骨骼基血管的时候
609	胶杆神经	交感神经	high	另外再谈一下胶杆神经通过神经随之
615	胶杆神经	交感神经	high	骨骼基血管收缩这个胶杆神经的活动什么时候能看到
668	胶改神经	交感神经	medium	胶改神经总是让消化器官的分泌也运动减弱
685	胶改神经	交感神经	medium	还有一名尿生殖器,尿生殖器胶改神经
694	副胶改神经	副交感神经	medium	副胶改神经让
709	胶改神经	交感神经	medium	皮肤,皮肤的话胶改神经
721	胶干神经	交感神经	high	内蜂蜜和代谢,胶干神经
758	胶钙神经	交感神经	medium	因为这发泄胶钙神经通过
797	脊修克	脊休克	high	导致脊修克
925	下球脑	下丘脑	high	特别是下球脑
1171	保重数	饱中枢	high	所以下圈道内脏活动最保重数
1217	战利产热	战栗产热	high	战利产热
1273	保中输	饱中枢	high	摄水中输呀保中输呀
1299	保中输	饱中枢	high	摄水中输保中输
1302	保中输	饱中枢	high	保中输跑坏了
