行号	误识	纠正为	置信度	原句
34	呼气膜	呼吸膜	medium	生吸气,平静呼气膜,静力吸气,所能吸入的最大的一个气体量。
37	呼气膜	呼吸膜	medium	就是平静呼气膜的时候,留在肺内依然没有呼出气量,大约是2500毫升左右。
48	解剖无效强	解剖无效腔	high	叫解剖无效强。
70	减重度	碱中毒	high	如果肺泡内部气体太新鲜的话,就会发生呼吸性减重度。
170	超气量	潮气量	high	还有声气气量,超气量加上补吸气量。
171	超气量	潮气量	high	还有声气气量,超气量加上补吸气量。
172	超气量	潮气量	high	还有声气气量,超气量加上补呼气量。
173	超气量	潮气量	high	还有声气气量,超气量加上补呼气量。
174	超气量	潮气量	high	还有声气气量,超气量加上补呼气量。
175	超气量	潮气量	high	还有声气气量,超气量加上补呼气量。
179	费总量	肺容量	medium	所以费总量等于什么?
180	费总量	肺容量	medium	费总量等于费活量,在加分担器,就是予气量。
180	费活量	肺活量	high	费总量等于费活量,在加分担器,就是予气量。
181	费总量	肺容量	medium	这两个加起来等于费总量,只这个样子。
286	心理储备	心力储备	high	你知道在胸怀还学过心理储备
292	心理储备	心力储备	high	心理储备就这样
331	解剖五小腔	解剖无效腔	high	叫做解剖五小腔
340	解剖五小腔	解剖无效腔	high	长脖鹿的解剖五小腔大
362	解剖五小腔	解剖无效腔	high	解剖五小腔
365	肺泡五小腔	肺泡无效腔	high	我们称之为肺泡五小腔
381	肺泡五小腔	肺泡无效腔	high	肺泡五小腔
385	肺泡五小腔	肺泡无效腔	high	肺泡五小腔
414	位换气	肺换气	medium	实力情况下肺的不同部位换气
439	解剖五效强	解剖无效腔	high	实际上这个五效强气量指的是解剖五效强150毫升
585	肺泡无效强	肺泡无效腔	high	肺泡无效强
598	呼吸宫	呼吸功	high	就是呼吸宫
621	呼吸宫	呼吸功	high	叫做呼吸宫
