行号	误识	纠正为	置信度	原句
12	感觉习惯	感觉器官	medium	感觉习惯。
283	神经调解	神经调节	high	神经调解的唯一方式是反射,
326	视感细胞	视杆细胞	high	把视感细胞外端
511	视追细胞	视锥细胞	high	视追细胞呀
521	视追细胞	视锥细胞	high	一个视追细胞的外端
524	视频度	视敏度	medium	视频度
528	视感细胞	视杆细胞	high	那么视感细胞外端很粗大
534	视追细胞	视锥细胞	high	一个视追细胞一个是视感细胞
534	视感细胞	视杆细胞	high	一个视追细胞一个是视感细胞
538	视感细胞	视杆细胞	high	视感细胞
545	视感细胞	视杆细胞	high	视感细胞
549	视感细胞	视杆细胞	high	明明这个视感细胞晚上才看东西什么光敏感度高
556	视追细胞	视锥细胞	high	所以强光刺激视追细胞才行动
563	视感细胞	视杆细胞	high	因为视感细胞外端膜的感光色素含量不高
565	视感细胞	视杆细胞	high	视感细胞内部的感光色素量大
568	力细胞	粒细胞	high	视力细胞感光色素的量比较少
573	视感细胞	视杆细胞	high	视感细胞反应大
574	力细胞	粒细胞	high	视力细胞反应小
576	视感细胞	视杆细胞	high	视感细胞
587	视感细胞	视杆细胞	high	视感细胞相当于
611	感受地	感受器	medium	转换产生感受地点位的一个关键部位
612	感受地	感受器	medium	那么产生感受地点位
616	视感细胞	视杆细胞	high	就到视感细胞视频细胞的
652	巨石细胞	巨噬细胞	high	有点类似于巨石细胞那个样子
657	化学突出	化学突触	high	既有化学突出也有电突出
657	电突出	电突触	high	既有化学突出也有电突出
658	电突出	电突触	high	电突出咱们这会学习
663	电突出	电突触	high	慢慢到了神经系统也有电突出
769	视追细胞	视锥细胞	high	视追细胞呈现所谓的单线式联系
774	视追细胞	视锥细胞	high	就是在讲这个地方的视追细胞
775	视追细胞	视锥细胞	high	视追细胞和神经结系统之间
778	视追细胞	视锥细胞	high	就说实际上也不可能一个视追细胞
781	视追细胞	视锥细胞	high	视追细胞和神经结系统的这种联系方式
783	视感细胞	视杆细胞	high	你看视感细胞画的
784	视感细胞	视杆细胞	high	最后是五个视感细胞会合到一个神经结系统
792	视感细胞	视杆细胞	high	我们一定说的不是视感细胞或视追细胞
792	视追细胞	视锥细胞	high	我们一定说的不是视感细胞或视追细胞
801	视感细胞	视杆细胞	high	视感细胞是聚合式联系的
807	视追细胞	视锥细胞	high	结构越简单的一个视追细胞有反应
810	视感细胞	视杆细胞	high	而很多个视感细胞反应
830	视感细胞	视杆细胞	high	而不叫做视感细胞
831	视追细胞	视锥细胞	high	视追细胞
850	视追细胞	视锥细胞	high	视追细胞
851	视追细胞	视锥细胞	high	视追细胞主要位于视网络的中央奥区
863	视追细胞	视锥细胞	high	视追细胞位于视网络的中央奥
865	视感细胞	视杆细胞	high	视感细胞位于视网络
870	视追细胞	视锥细胞	high	视追细胞
881	视感细胞	视杆细胞	high	视感细胞分布越少
907	视感细胞	视杆细胞	high	视感细胞最后到一个视隐解细胞
915	视感细胞	视杆细胞	high	视感细胞因为外端的
917	视感细胞	视杆细胞	high	所以说视感细胞是
926	视追细胞	视锥细胞	high	视追细胞光敏感度低
929	视感细胞	视杆细胞	high	视感细胞是
935	视追细胞	视锥细胞	high	那么可以说视追细胞
937	视感细胞	视杆细胞	high	视感细胞
942	视感细胞	视杆细胞	high	为什么视感细胞一个有颜色局一个没有
944	视感细胞	视杆细胞	high	如果说视感细胞只有一种
945	视感细胞	视杆细胞	high	一类视感细胞
951	视淡白	视蛋白	high	不同的视淡白
952	视黄泉	视黄醛	high	叫视黄泉
953	视感细胞	视杆细胞	high	那么视感细胞只有一种视淡白
953	视淡白	视蛋白	high	那么视感细胞只有一种视淡白
962	视感细胞	视杆细胞	high	这个视感细胞晚上看不见
991	感觉奇怪	感觉器官	medium	大学毕业很多年之后能想起来感觉奇怪的
1015	视网模	视网膜	high	接下来咱们看整个在视网模式上
1023	视黄泉	视黄醛	high	这个视黄泉
1024	视淡白	视蛋白	high	视淡白视黄泉
1024	视黄泉	视黄醛	high	视淡白视黄泉
1025	视黄泉	视黄醛	high	视黄泉在暗光情况下
1035	视黄泉	视黄醛	high	所以这个失一瞬和全反式的视黄泉
1044	视黄泉	视黄醛	high	这个全反式的视黄泉
1047	视黄泉	视黄醛	high	还能再回去通过视黄泉的一个位
1054	视淡白	视蛋白	high	还和视淡白结合着
1056	视黄泉	视黄醛	high	全反式的视黄泉可以往下走
1166	动作点位	动作电位	high	动作点位的拿着内流去计划,夹着内流复计划,这么一个基本的电视理学现象或者活动
1166	去计划	去极化	high	动作点位的拿着内流去计划,夹着内流复计划,这么一个基本的电视理学现象或者活动
1166	复计划	复极化	high	动作点位的拿着内流去计划,夹着内流复计划,这么一个基本的电视理学现象或者活动
1182	中板点位	终板电位	high	骨骼基细胞说中板点位
1202	中板点位	终板电位	high	除了中板点位当然是没有问题的
1204	视感细胞	视杆细胞	high	视感细胞这
1265	视感细胞	视杆细胞	high	视感细胞为例
1268	视感细胞	视杆细胞	high	主要是视感细胞外段按摩
1453	方式严格	房室延搁	high	讲方式严格
1642	超级化	超极化	high	就发生超级化
1645	区计划	去极化	high	好像一说细胞膜信封区计划
1646	区计划	去极化	high	把区计划和信封两个字
1648	区计划	去极化	high	所以还有同学在这边质疑说细胞膜区计划怎么就信封了
1655	预电位	阈电位	high	和它自己预电位的差距
1656	摩电位	膜电位	high	摩电位和预电位的差距小
1656	预电位	阈电位	high	摩电位和预电位的差距小
1659	摩电位	膜电位	high	摩电位和预电位差距大
1659	预电位	阈电位	high	摩电位和预电位差距大
1662	区计划	去极化	high	区计划
1664	超级化	超极化	high	超级化
1678	超级化	超极化	high	是超级化形式
1680	区计划	去极化	high	一般细胞模式区计划兴奋
1681	超级化	超极化	high	感光细胞是超级化性
1689	去计划	去极化	high	该去计划去计划
1689	去计划	去极化	high	该去计划去计划
1690	超级化	超极化	high	该超级化超级化
1690	超级化	超极化	high	该超级化超级化
1693	区计划	去极化	high	一般都是区计划兴奋
1694	超级化	超极化	high	感光细胞是超级化性
1697	去计划	去极化	high	也可以去计划
1698	超级化	超极化	high	也可以超级化
1701	去计划	去极化	high	想去计划就要想想
1712	腹塞米	呋塞米	high	腹塞米
1717	区计划	去极化	high	区计划兴奋
1718	超级化	超极化	high	超级化兴奋
1733	超级化	超极化	high	超级化
1736	超级化	超极化	high	该超级化超级化
1736	超级化	超极化	high	该超级化超级化
1744	超级化	超极化	high	另一个双极细胞超级化
1805	视追细胞	视锥细胞	high	视追细胞的感光化能机制和色觉
1806	视追细胞	视锥细胞	high	视追细胞刚才看从
1808	视追细胞	视锥细胞	high	在我们的人的视网膜上视追细胞不是一种
1810	视追细胞	视锥细胞	high	视追细胞应该是
1811	绿细胞	粒细胞	medium	有视红细胞视绿细胞视蓝细胞
1813	视追细胞	视锥细胞	high	三种视追细胞的视追色素的区别在于视蛋白的分子结构稍有不同
1823	视追细胞	视锥细胞	high	视追细胞对于三个
1827	视追细胞	视锥细胞	high	视追细胞不是一种
1830	视感细胞	视杆细胞	high	也是CGMP这个目前人民和视感细胞
1832	视追细胞	视锥细胞	high	视追细胞的功能特别就是分裂力强
1837	视追细胞	视锥细胞	high	视追细胞
1839	视感细胞	视杆细胞	high	视感细胞
1987	明视影	明适应	high	第一个就是明视影和暗视影
1987	暗视影	暗适应	high	第一个就是明视影和暗视影
1988	暗视影	暗适应	high	那么什么叫暗视影,生活中咱们都很熟知
2021	视追细胞	视锥细胞	high	视追细胞是白天看的东西
2024	视感细胞	视杆细胞	high	视感细胞
2035	视感细胞	视杆细胞	high	有一部分视感细胞在
2043	视感细胞	视杆细胞	high	为所不得的一些视感细胞
2047	视感细胞	视杆细胞	high	这一组视感细胞
2050	视感细胞	视杆细胞	high	露出视感细胞的
2052	视感细胞	视杆细胞	high	保护、受保护的视感细胞
2054	暗示影	暗适应	high	让我发生暗示影
2060	视感细胞	视杆细胞	high	逐渐的大量视感细胞
2062	暗示影	暗适应	high	就真正的暗示影了
2069	暗示影	暗适应	high	暗示影是两个实相
2077	暗示影	暗适应	high	这是暗示影
2088	明视影	明适应	high	明视影快暗示慢
2089	暗示影	暗适应	high	暗示影得合成
2091	明视影	明适应	high	明视影上仔细度是怎么了
2094	视感细胞	视杆细胞	high	视感细胞
2105	明视影	明适应	high	所以明视影
2107	暗示影	暗适应	high	暗示影
2109	暗视影	暗适应	high	暗视影时间长
2118	明示影	明适应	high	不至于老发生明示影
2122	视感细胞	视杆细胞	high	对视感细胞刺激
2131	按视影	暗适应	high	按视影
2242	绿细胞	粒细胞	medium	绿色视野最小说明是绿细胞在视网分布范围最小
2245	绿细胞	粒细胞	medium	白色视野红细胞绿细胞蓝细胞都没有了怎么看见白色
2478	明视影	明适应	high	这个地方不管怎么样咱们讲了一下明视影
2479	暗视影	暗适应	high	暗视影
