集号,标题,音频秒,转写秒,RTF,字数,分段,纠错,待复核,状态,备注
1,绪论,5482,543,0.0990,27223,3415,17,20,done,小样阶段完成
2,细胞1,6441,591,0.0917,29889,4168,51,35,done,小样阶段完成
3,细胞2,3608,416,0.1153,19370,2336,25,13,done,
4,细胞3,2812,279,0.0993,13815,1686,18,32,done,
5,细胞4,2071,221,0.1066,9102,1172,72,10,done,
6,细胞电1,5671,578,0.1020,29090,3230,204,39,done,
7,细胞电2,3037,304,0.1001,14496,1714,140,31,done,
8,电生理小结,1618,154,0.0951,8792,761,98,13,done,
9,肌细胞的收缩1,6571,672,0.1023,31068,4210,161,85,done,
10,肌细胞的收缩2,3329,358,0.1075,17396,2096,55,23,done,
11,血液生理第一节1-血液的构成,2417,223,0.0922,12350,1238,18,7,done,
12,血液生理第一节2-血液的理化特性,2078,198,0.0953,10818,1184,12,8,done,
13,血液生理第二节1-红细胞生理,4822,512,0.1062,26083,2774,28,17,done,
14,血液生理第二节2-血小板生理,2814,303,0.1077,15138,1663,18,11,done,
15,血液生理终章-血液凝固和血型,4774,462,0.0968,23446,2454,36,16,done,
16,循环-概述,1710,201,0.1173,8940,842,33,26,done,
17,循环-心肌电1,2157,206,0.0955,11469,1125,102,29,done,
18,循环-心肌电2,3370,340,0.1010,17739,1882,104,52,done,
19,循环-心肌电3,4533,462,0.1020,23334,2436,163,29,done,
20,循环-心脏机械活动周期,5004,503,0.1005,24306,3062,68,17,done,
21,血管生理1,5646,600,0.1063,29579,3518,35,15,done,
22,血管生理2,3142,302,0.0960,15810,1639,16,10,done,
23,血管生理3,1721,174,0.1010,9282,618,8,5,done,
24,循环-调节,5777,609,0.1054,29658,3287,72,46,done,
25,呼吸-第一节（肺通气的动力）,2998,303,0.1011,14697,1749,20,1,done,
26,呼吸-第一节（肺通气的阻力）,3167,296,0.0936,16127,1728,16,8,done,
27,呼吸-第一节（肺通气功能的指标）,1457,153,0.1050,7196,705,27,3,done,
28,呼吸-第二节（肺换气和组织换气）,1056,127,0.1200,5813,587,6,2,done,
29,呼吸-第三节（氧气的运输）,3506,332,0.0947,18361,1986,27,6,done,
30,呼吸-第三节（二氧化碳的运输）,1098,100,0.0913,5833,265,6,5,done,
31,呼吸-第四节（呼吸运动的调节）,1957,194,0.0993,8989,1102,16,9,done,
32,消化系统-概述1,2156,230,0.1067,11818,1241,14,15,done,
33,消化系统-概述2与口腔,3804,383,0.1008,19155,2435,57,25,done,
34,消化系统-胃,4480,498,0.1112,20902,3326,27,37,done,
35,消化系统-完结,4639,504,0.1086,23650,2840,70,34,done,
36,能量代谢,2829,290,0.1027,15437,1744,58,6,done,
37,体温调节,3081,317,0.1030,14713,1795,13,4,done,
38,肾脏生理1,3012,299,0.0992,15807,1378,34,14,done,
39,肾脏生理2-滤过,3323,321,0.0967,17542,1789,21,16,done,
40,肾脏生理3-小管的物质转运（1）,2378,234,0.0985,10834,1393,38,8,done,
41,肾脏生理4-小管的物质转运（2）,4423,452,0.1022,21706,2331,42,20,done,
42,肾脏生理5-尿液的浓缩,1701,143,0.0840,7628,851,23,6,done,
43,肾脏生理6,2814,242,0.0861,12875,1460,16,2,done,
44,肾脏生理7,2640,273,0.1032,13215,1500,54,21,done,
45,肾脏生理8-清除率,2980,324,0.1089,14631,1291,13,5,done,
46,感官1-感受器四大生理特性,2137,202,0.0947,10186,1086,33,17,done,
47,感官2-视觉器官（折光）,4966,492,0.0991,23464,2477,24,14,done,
48,感官3-视觉器官（感光）,5087,466,0.0915,24147,2722,154,24,done,
49,感官4-听觉器官,4435,435,0.0981,22027,2707,46,12,done,
50,神经系统1,3786,439,0.1160,19932,2104,67,30,done,
51,神经系统2,2956,290,0.0982,15325,1851,44,10,done,
52,神经系统3,2886,280,0.0968,13363,1830,78,10,done,
53,神经系统4-递质和受体,5273,543,0.1029,26728,2976,63,24,done,
54,神经系统5-中枢抑制,2283,206,0.0900,10645,1098,32,14,done,
55,神经系统6-感觉传入,2857,294,0.1028,13139,1487,46,35,done,
56,神经系统7-痛觉,3651,342,0.0936,17881,1846,24,15,done,
57,神经系统8-脊休克,3653,403,0.1104,18296,2061,80,23,done,
58,神经系统9-牵张反射,2422,264,0.1090,12268,1502,59,18,done,
59,神经系统10-去大脑僵直,3600,373,0.1037,18880,1952,74,8,done,
60,神经系统11-基底神经节,3446,338,0.0980,17670,2027,57,25,done,
61,神经系统12-小脑和大脑运动功能,2079,199,0.0957,10949,567,22,8,done,
62,神经系统13-第五节（内脏活动调节）,3447,317,0.0919,16913,1680,30,15,done,
63,神经系统14-觉醒与睡眠,2964,288,0.0972,14081,1749,16,9,done,
64,神经系统15-学习和记忆（完）,2988,320,0.1071,15355,2062,8,18,done,
65,内分泌-第一节,2127,225,0.1058,10651,1186,25,21,done,
66,内分泌-第二节（下丘脑和垂体）,3866,388,0.1005,20487,2269,49,29,done,
67,内分泌-第三节（甲状腺）,3084,332,0.1075,14384,2031,19,12,done,
68,内分泌-第三节（甲状腺的调节）,2340,246,0.1052,11732,1492,39,6,done,
69,内分泌-第四节（甲状旁腺）,1197,133,0.1107,5835,753,2,4,done,
70,内分泌-第五节（肾上腺）,3465,370,0.1069,18840,2118,71,62,done,
71,内分泌-第六节（胰岛的内分泌）,2130,205,0.0964,10557,1008,12,15,done,
72,生殖-1,3689,385,0.1044,17974,2496,74,13,done,
73,生殖-2(全部完结啦),5393,553,0.1026,25784,3094,117,15,done,
