行号	误识	纠正为	置信度	原句
5	负极化	复极化	high	极化、超极化、去极化、负极化、反极化、超摄这么一些话题。
7	负极化	复极化	high	什么东西啊,比如说,是这个负极化的时候,这样一个概念,负极化,
7	负极化	复极化	high	什么东西啊,比如说,是这个负极化的时候,这样一个概念,负极化,
9	负极化	复极化	high	如果说负极化只能是一个过程的话,你再去读这个去极化、超极化上节课强调,
19	封电位	锋电位	high	一个叫封电位,一个叫后电位,这个内容一会儿再学习,动作电位再学习。
23	摸电位	膜电位	high	摸电位逐步逐步从负七十,你看这个也负六十,负五十,是把零最后正二十,正三十,正五十,
24	区计化	去极化	high	绝对是变小的过程,叫区计化,所以区计化可以描述一个过程。
24	区计化	去极化	high	绝对是变小的过程,叫区计化,所以区计化可以描述一个过程。
29	摸电位	膜电位	high	因为在这个点上,现在摸电位只有五十个毫伏绝对值,
31	负极化	复极化	high	去极化过程发生的,反过来,摸去极化结束以后开始负极化,
32	负极化	复极化	high	那么负极化到这个地方,你发现,也有一个负五十,这我该怎么样个人说,
34	负极化	复极化	high	负极化过程中的,去极化状态,
35	负极化	复极化	high	说这我没听懂,你再往下看,继续负极化,哎,这个点头所指,负后电位,再往后面走,正后电位,
38	负极化	复极化	high	这个地方你该怎么来跟人说,这叫负极化过程中的,超极化状态,
43	预电位	阈电位	high	所以慢慢这一阶内,往后学就发现,这个进气电位,和一会儿在动作电位谈一刺的,预电位,
44	预电位	阈电位	high	它们之间有个差距,你比如说,我们一般认为一个细胞膜的预电位,绝对值啊,
46	预电位	阈电位	high	以这个细胞为例,进气电位是-70毫伏,那么所谓预电位就是-50毫伏,它两者之间差20个毫伏,
50	低长期	低常期	high	比平时要低,我们叫低长期,所以说想想,作为老师有时候讲一句话说,
51	去计划	去极化	high	输到用时方很少,说你去谈这么个进气电位,你给人讲一个去计划,复计划,超计划就完了,
51	复计划	复极化	high	输到用时方很少,说你去谈这么个进气电位,你给人讲一个去计划,复计划,超计划就完了,
51	超计划	超极化	high	输到用时方很少,说你去谈这么个进气电位,你给人讲一个去计划,复计划,超计划就完了,
66	去计划	去极化	high	慢慢你就懂了,不管他了,这再强调一次,去计划这样一个词,就像咱们文字上所描述一样,
67	去计划	去极化	high	去计划这样一个词,既能描述是细胞膜进系列位减小的过程,也能描述是一种状态,
68	复计划	复极化	high	而复计划一般只能拿来描述是一个过程,
69	复计划	复极化	high	没有结果复计划状态,只能是复计划的过程,
69	复计划	复极化	high	没有结果复计划状态,只能是复计划的过程,
70	去计划	去极化	high	去计划拉成以后,膜点位向进系列位恢复的过程,叫复计划,
70	膜点位	膜电位	high	去计划拉成以后,膜点位向进系列位恢复的过程,叫复计划,
70	复计划	复极化	high	去计划拉成以后,膜点位向进系列位恢复的过程,叫复计划,
71	复计划	复极化	high	复计划的过程中,既有去计划的状态或者阶段,也有超计划的状态或者阶段,
71	去计划	去极化	high	复计划的过程中,既有去计划的状态或者阶段,也有超计划的状态或者阶段,
71	超计划	超极化	high	复计划的过程中,既有去计划的状态或者阶段,也有超计划的状态或者阶段,
72	复计划	复极化	high	你看,就像诗意图所述,整个这一段都是复计划的过程,
73	去计划	去极化	high	这个过程中,你像这一块就是去计划状态的,但这一块就成超计划状态,
73	超计划	超极化	high	这个过程中,你像这一块就是去计划状态的,但这一块就成超计划状态,
110	静气电位	静息电位	medium	一个叫静气电位,
114	静气电位	静息电位	medium	静气电位总是负的多少号伏,
117	静气电位	静息电位	medium	第二个你看谷歌基细胞静气电位就负90号伏,
118	静气电位	静息电位	medium	神经细胞静气电位就是负70号伏,
122	静气电位	静息电位	medium	静气电位差别怎么那么大呢?
127	静气电位	静息电位	medium	一,静气电位是怎么产生的?
128	静气电位	静息电位	medium	二,为什么不同的细胞静气电位绝对是大小不一样?
193	甲漏通道	钾漏通道	high	甲漏通道,
209	甲漏通道	钾漏通道	high	甲离子外流有甲漏通道,
875	平衡点位	平衡电位	high	那的平衡点位是正的,
877	平衡点位	平衡电位	high	假的平衡点位是负的,
880	平衡点位	平衡电位	high	假平衡点位负90到负100,
881	平衡点位	平衡电位	high	那平衡点位就多少?
885	平衡点位	平衡电位	high	因为那的平衡点位只需要阻碍十二三倍,
887	平衡点位	平衡电位	high	而假平衡点位需要阻碍30倍浓度差,
901	平衡点位	平衡电位	high	平衡点位绝对是大小不一样,
902	平衡点位	平衡电位	high	因为平衡点位,
903	平衡点位	平衡电位	high	不同粒子的平衡点位,
908	平衡点位	平衡电位	high	这是所谓的平衡点位的概念,
909	平衡点位	平衡电位	high	平衡点位是算出来的,
910	静系点位	静息电位	high	静系点位是量出来的,
921	静系点位	静息电位	high	静系点位就更接近于哪一种粒子的平衡点位,
921	平衡点位	平衡电位	high	静系点位就更接近于哪一种粒子的平衡点位,
925	摩点位	膜电位	high	那平摩点位就负95毫伏,
926	平衡点位	平衡电位	high	完全等于那假的平衡点位了,
937	摩点位	膜电位	high	摩点位应该就非常接近负95毫伏,
940	摩点位	膜电位	high	那可能摩点位就像神经细胞一样,
950	静系点位	静息电位	high	静系点位总是接近EK,
967	平衡点位	平衡电位	high	咱们刚才为了学习平衡点位的产生,
1064	模电位	膜电位	high	那么模电位绝对之际略微小一点,
1068	模电位	膜电位	high	模电位就更靠近那个粒子的平衡电位,
1153	去几化	去极化	high	膜就发生去几化,
1207	超几化	超极化	high	摩尔超几化,
1210	去几化	去极化	high	摩尔去几化,
1292	去几化	去极化	high	那么高钾就去几化,
