行号	误识	纠正为	置信度	原句
72	米蛋白酶原	糜蛋白酶原	high	米蛋白酶原。
79	腹脂酶	辅脂酶	high	离开腹脂酶,你还干不了事。
83	腹脂酶	辅脂酶	high	需要腹脂酶的存在
85	腹脂酶	辅脂酶	high	那么胰脂酶和腹脂酶什么关系?我老说,
87	腹脂酶	辅脂酶	high	腹脂酶负责把胰脂酶粘到脂肪,你脂肪太滑,
89	腹脂酶	辅脂酶	high	它就站不住了。所以说,腹脂酶
95	胃代白酶原	胃蛋白酶原	medium	胃代白酶原是被盐酸,就是胃酸激活的。
96	胰代白酶原	胰蛋白酶原	medium	胰代白酶原是被肠基酶。
96	肠基酶	肠激酶	high	胰代白酶原是被肠基酶。
161	心交通	心绞痛	high	一个心交通病人心肌有一段,比如说切酱汁
182	灌脉循环	冠脉循环	high	理学生理学在这背,灌脉循环和其他的
184	自身调解	自身调节	high	都是自身调解的。
208	关心病	冠心病	high	这道关心病时刻很敏感的话,
226	复反馈	负反馈	high	发生复反馈。
257	复返亏	负反馈	high	给复返亏抑制的。
264	复返亏	负反馈	high	复返亏了。
555	复返窥	负反馈	high	把它给复返窥住了
587	生理性知学	生理性止血	high	要完成您学实现生理性知学过程
800	宁血酶	凝血酶	high	宁血酶远
801	宁血酶	凝血酶	high	激活之后叫宁血酶
873	减重度	碱中毒	high	减重度
977	凝血美	凝血酶	high	这部分凝血活命时间和凝血美缘时间
1392	凝血美	凝血酶	high	凝血美元时间
1492	纤维代白溶解	纤维蛋白溶解	medium	活化代白C还有促进纤维代白溶解的作用
1592	复返馈	负反馈	high	复返馈意识外围性运学途径
1600	复返馈	负反馈	high	产生复返馈
1623	节抗击	拮抗剂	high	所以这样你发现第1个环节抗击穴酶
1638	学习药	血细胞	medium	要不有时候想一想说如果你不抱着一点学习药理学和内科学的态度
1673	线位代白溶解	纤维蛋白溶解	medium	而增强线位代白溶解
1697	线位代白	纤维蛋白	medium	有一点小的线位代白也会降级掉
1704	血液凝素	血液凝固	medium	看一下影响血液凝固的因素包括血液凝素比如说
1730	减重度	碱中毒	high	加上又有减重度
1739	声力学	生理学	high	咱们学过呼吸声力学
1780	纤绒媒	纤溶酶	high	包括纤绒媒液激活物
1783	纤绒媒	纤溶酶	high	组织通讯来源的抗这个纤绒媒液激活物是吧
2129	表现性	表现型	high	决定A,B,O旋律系统的各种表现性来是血性基因
