行号	误识	纠正为	置信度	原句
37	收缩偶连	收缩耦联	high	什么神经肌肉接头呀,什么性魄收缩偶连呀,什么骨骼肌收缩的影响因素等等。
46	机动技	激动剂	high	你总是学完圣语学的受体以后,才能需要你学这本受体的机动技,结抗技。
46	结抗技	拮抗剂	high	你总是学完圣语学的受体以后,才能需要你学这本受体的机动技,结抗技。
51	结抗剂	拮抗剂	high	弥足太信奉,我用一个M对结抗剂,是把交感太信奉了。
54	结抗剂	拮抗剂	high	太信奉了,就用一个结抗剂。
56	结抗剂	拮抗剂	high	慢慢又有什么贝塔尔水机结抗剂,比如说彭奈洛尔呀,是吧,贝特勒克,中纪录萨米特洛尔呀,各种洛尔的。
153	分解运动	分节运动	high	分解运动,
180	分界运动	分节运动	high	那么小肠分界运动,
245	肠基酶	肠激酶	high	什么叫肠基酶,
593	微常激素	胃肠激素	high	之后微常激素在这边一直参与,
594	微常激素	胃肠激素	high	所以微常激素,
595	微常激素	胃肠激素	high	微常激素你对边没研究,
599	微常激素	胃肠激素	high	微常激素,
1118	预刺激	阈刺激	high	一般总是给一个预刺激,
