行号	疑似误识	建议术语	原句
56	基细胞	壁细胞	新房、新室基细胞动作电位,
60	波细胞	壁细胞	PaceMaker这个气波细胞,
411	衡点位	锋电位	摩点位距离甲的平衡点位
433	衡点位	锋电位	过一会儿是慢慢的纳越来越接近平衡点位
435	衡点位	锋电位	甲越来越越的平衡点位
600	集化区	易化区	区集化区集化
656	刺激区	雌激素	在一开始接触刺激区计化的时候
676	伏刺激	阈刺激	给它几伏,给它五伏刺激
831	腹刺激	阈刺激	你从腹中受到腹刺激给20毫伏刺激
831	伏刺激	阈刺激	你从腹中受到腹刺激给20毫伏刺激
833	伏刺激	阈刺激	腹中受到腹二是40毫伏刺激
886	部点位	阈电位	局部点位
970	衡点位	锋电位	让摩底位越来越远离甲的平衡点位
971	衡点位	锋电位	而区域化的过程越来越接近钠的平衡点位
978	衡点位	锋电位	靠你自己平衡点位了
982	衡点位	锋电位	达到个子平衡点位的时候
988	衡点位	锋电位	到自己平衡点位的时候没有驱动力了
991	衡点位	锋电位	平衡点位
999	衡点位	锋电位	平衡点位的差距
1002	衡点位	锋电位	和平衡点位的差距越小
1141	域化区	易化区	那内流区域化区域化更内流
1142	域化区	易化区	内流再区域化区域化再内流
1213	基细胞	壁细胞	你想基细胞
1215	腺体细胞	前体细胞	还有腺体细胞
1223	衡点位	锋电位	叫平衡点位
1229	衡点位	锋电位	能学会平衡点位预点位
1231	衡点位	锋电位	知道平衡点位谁和谁平衡
1338	体到周	胰岛轴	你看见是从包体到周围
1443	伏刺激	阈刺激	这个细胞1毫伏刺激兴奋
1451	预点内	阈电位	刺激到他自己的预点内
1499	基细胞	壁细胞	如果基细胞不兴奋不收缩
