行号	疑似误识	建议术语	原句
137	肌结长	肌紧张	画了一个肌结长度,
315	粗鸡丝	促激素	我这个西鸡丝粗鸡丝出来,
316	粗鸡丝	促激素	我找不见粗鸡丝,
321	粗鸡丝	促激素	去对面粗鸡丝了,
326	始复习	施呼吸	后面发现我的学生开始复习之后,
492	肌肉具	肌肉素	肌肉具有很好的弹性,
507	胃容积	肺容积	这个胃容积大了一点,
662	肌肉毒	肌肉素	这个时候瘫痪成肌肉毒素,
788	粗鸡丝	促激素	粗鸡丝、
794	粗鸡丝	促激素	搞得对面的粗鸡丝去了,
1055	粗鸡丝	促激素	这个粗鸡丝的横桥,
1100	到血压	高血压	遭遇到血压升高的时候,
1456	步刺激	阈刺激	第一步刺激
1479	械蛋白	铁蛋白	和CICR机械蛋白的结合位点
1497	机细胞	壁细胞	机细胞内部续集更多的钙
1553	记细胞	壁细胞	实际上平滑记细胞内部
1561	记细胞	壁细胞	不像谷歌记细胞
1568	记细胞	壁细胞	平滑记细胞内部没有锐盘
1607	机械欧	机械阈	形成一个机械欧连
1653	贸通道	慢通道	还有两种盖世贸通道
1901	去激活	去极化	去激活
1934	物传导	骨传导	根据性物传导的特征
1954	自动解离性	自动节律性	还具有自动解离性
