# 源音频：P68-生理学本科教学及考研基础课 p68 内分泌-第三节（甲状腺的调节）.m4a
# 时长：2340s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:11] 好,同学们,上一课咱们看了一下甲醛血素的合成、储存、运输以及甲醛血素的功能。
[00:00:19] 实际上,在内分泌这一章里边,咱们学完整个医学体系从解剖最后到内外科学、灵狂医学,甲醛腺管管是功的。
[00:00:28] 它虽然也是里边反映了一个应该说比较独立的一个医学的思考模式,复反馈,下气后脑线垂体甲醛腺轴。
[00:00:38] 所以有时候作为老师,在日常教学和同学们提问,就所谓的问种教学,平时聊天聊专业,不是聊人生和理想,是聊医学专业学习。
[00:00:50] 你发现一个学生学了医学很多年之后,依然不知道甲醛腺负反馈,这个所谓的三条靶线轴四个促激素,实话实说,就老师这个角色来说,是很痛心的。
[00:01:02] 我说您能理解这种意思吗?
[00:01:04] 就是说实际上你看起来好像貌似Loxalike,
[00:01:07] Loxalike,
[00:01:08] 貌似学得非常强大,给老师提供一个黄红烧的问题。
[00:01:13] 最后你一摸它基本的概念,肾脏不知道渗透命药和水灵药,感官不知道掩饰进物的时候才需要调节,原物平行光不用调。
[00:01:24] 对吧,这个声波的传导,怎么样从外耳到内耳,气传导骨传导,那么气传导中药还是骨传导中药,气传导有没有主药和次药途径呀?
[00:01:36] 中耳有没有增压效应呀?
[00:01:38] 为什么突然这样感慨,实际上挺感慨。
[00:01:41] 上节课我在晚上十一点多弄的时候,录完上了一些讲道写功能,其实讲道写功能调节,我也录了,那后点到软件,这个软件花钱买的还是进口软件,那给吞了,哎呀,仍心不足舌通香。
[00:01:55] 今天上午再录一次,那我就废话多一点,所以实际上你也发现,因为课程不是在教室里边哀哒啪啦啪啦哀哒,学识往下走,所以每一节课在开始之前总是带点废话。
[00:02:08] 不要讲废话,叫做前几节学习的小节,或者叫做临床医学这种思维模式的培养,大概更合适。
[00:02:18] 这么多年了,在网上我也活跃了,我自己没有活跃,我的课在网上也活跃了十几年了。
[00:02:24] 各种各样形式的盗版课,收费的不收费的,正版盗版的,鸡骨自己铺的,被鸡骨盗走的,被清选的,被烂七八糟的,反正我这就这样,因为知识它不管是一正版形式还是盗版形式,
